                           QSO        ion       Glon       Glat    maxvel_v_LSR            logN
                   1ES1553+113       CII*     21.909     43.964          49.322          13.071
                   1ES1553+113        CIV     21.909     43.964           1.355          14.539
                   1ES1553+113       FeII     21.909     43.964          52.320           8.630
                   1ES1553+113         NV     21.909     43.964         -16.632          13.956
                   1ES1553+113       NiII     21.909     43.964          -4.641          14.087
                   1ES1553+113        SII     21.909     43.964          -4.641          15.426
                   1ES1553+113       SiII     21.909     43.964          64.312          13.274
                   1ES1553+113       SiIV     21.909     43.964        -112.566          12.336
                   1H-2129-624       CII*    331.143    -42.523          22.932          14.077
                   1H-2129-624        CIV    331.143    -42.523          37.921          14.318
                   1H-2129-624       FeII    331.143    -42.523          16.936          14.130
                   1H-2129-624         NV    331.143    -42.523          10.940          13.612
                   1H-2129-624       NiII    331.143    -42.523          67.901          13.221
                   1H-2129-624        SII    331.143    -42.523           7.942          15.346
                   1H-2129-624       SiII    331.143    -42.523          10.940          15.296
                   1H-2129-624       SiIV    331.143    -42.523          28.928          13.686
                    1H1613-097       CII*      3.531     28.459          -7.456          14.809
                    1H1613-097        CIV      3.531     28.459        -142.363          14.080
                    1H1613-097         NV      3.531     28.459         -28.441          13.439
                    1H1613-097       NiII      3.531     28.459          13.530          14.072
                    1H1613-097        SII      3.531     28.459          49.505          14.473
                    1H1613-097       SiII      3.531     28.459        -112.383          13.409
                    1H1613-097       SiIV      3.531     28.459        -136.367          13.480
       2MASS-J10155924-2748289       CII*    265.659     23.593          66.334          13.633
       2MASS-J10155924-2748289        CIV    265.659     23.593          63.336          13.782
       2MASS-J10155924-2748289       FeII    265.659     23.593           9.374          15.587
       2MASS-J10155924-2748289         NV    265.659     23.593           6.376          13.497
       2MASS-J10155924-2748289        SII    265.659     23.593          54.343          14.927
       2MASS-J10155924-2748289       SiII    265.659     23.593         -86.560          12.631
       2MASS-J10155924-2748289       SiIV    265.659     23.593          72.330          13.110
       2MASX-J01013113+4229356       CII*    124.914    -20.340          84.520          14.378
       2MASX-J01013113+4229356        CIV    124.914    -20.340         -53.385          13.295
       2MASX-J01013113+4229356       FeII    124.914    -20.340         -47.389          11.507
       2MASX-J01013113+4229356       NiII    124.914    -20.340         -11.414          14.428
       2MASX-J01013113+4229356        SII    124.914    -20.340          51.542          13.787
       2MASX-J01013113+4229356       SiII    124.914    -20.340        -140.325          12.510
       2MASX-J01013113+4229356       SiIV    124.914    -20.340        -110.346          13.249
       2MASX-J10053271-2417161       CII*    261.230     24.851          60.045          14.359
       2MASX-J10053271-2417161        CIV    261.230     24.851          51.051          14.343
       2MASX-J10053271-2417161         NV    261.230     24.851         -17.901          14.023
       2MASX-J10053271-2417161       NiII    261.230     24.851          27.068          13.988
       2MASX-J10053271-2417161        SII    261.230     24.851          60.045          14.516
       2MASX-J10053271-2417161       SiII    261.230     24.851          36.062          15.102
       2MASX-J10053271-2417161       SiIV    261.230     24.851          78.033          12.962
         2XMM-J100420.0+051300       CII*    234.161     44.622          64.268          13.456
         2XMM-J100420.0+051300        CIV    234.161     44.622         -34.663          14.120
         2XMM-J100420.0+051300       SiII    234.161     44.622          70.264          14.081
         2XMM-J100420.0+051300       SiIV    234.161     44.622          64.268          13.315
         2XMM-J141348.3+440014        CIV     83.828     66.353         106.576          12.969
         2XMM-J141348.3+440014       NiII     83.828     66.353          -7.345          14.340
         2XMM-J141348.3+440014       SiII     83.828     66.353         -43.320          14.772
         2XMM-J141348.3+440014       SiIV     83.828     66.353         -61.308          13.646
                        3C-66A       CII*    140.143    -16.767         -30.362          14.579
                        3C-66A        CIV    140.143    -16.767         -24.366          13.156
                        3C-66A       FeII    140.143    -16.767          35.593           8.823
                        3C-66A       NiII    140.143    -16.767         -63.339          13.104
                        3C-66A        SII    140.143    -16.767         -15.372          15.804
                        3C-66A       SiII    140.143    -16.767        -135.289          12.780
                        3C-66A       SiIV    140.143    -16.767         -27.364          13.356
                         3C263       CII*    134.159     49.744         -60.569          13.777
                         3C263        CIV    134.159     49.744        -102.540          13.665
                         3C263       NiII    134.159     49.744         -12.602          13.737
                         3C263        SII    134.159     49.744         -51.575          14.994
                         3C263       SiIV    134.159     49.744         -27.592          13.759
                         3C273       CII*    289.951     64.360          32.242          13.711
                         3C273       FeII    289.951     64.360         -24.718          15.402
                         3C273         NV    289.951     64.360          -9.729          13.929
                         3C273       NiII    289.951     64.360           2.263          13.819
                         3C273        SII    289.951     64.360         -33.712          15.188
