                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                   1ES1553+113       CII*     21.909     43.964         -23.296           6.709
                   1ES1553+113        CIV     21.909     43.964          -6.080          11.849
                   1ES1553+113       FeII     21.909     43.964         -52.108           7.983
                   1ES1553+113         NV     21.909     43.964          -9.355          13.262
                   1ES1553+113       NiII     21.909     43.964          -9.936           5.451
                   1ES1553+113        SII     21.909     43.964          -6.182           5.956
                   1ES1553+113       SiII     21.909     43.964          -2.523           9.612
                   1ES1553+113       SiIV     21.909     43.964          -4.841          10.716
                   1H-2129-624       CII*    331.143    -42.523           1.037           4.473
                   1H-2129-624        CIV    331.143    -42.523          24.474           8.294
                   1H-2129-624       FeII    331.143    -42.523          54.090           4.562
                   1H-2129-624         NV    331.143    -42.523          14.859           9.645
                   1H-2129-624       NiII    331.143    -42.523           2.372           3.270
                   1H-2129-624        SII    331.143    -42.523           7.969           4.765
                   1H-2129-624       SiII    331.143    -42.523          23.943           8.411
                   1H-2129-624       SiIV    331.143    -42.523          44.420           7.501
                    1H1613-097       CII*      3.531     28.459         -22.757           5.591
                    1H1613-097        CIV      3.531     28.459         -10.080          13.033
                    1H1613-097         NV      3.531     28.459         -30.255           4.823
                    1H1613-097       NiII      3.531     28.459          -8.391           5.451
                    1H1613-097       SiII      3.531     28.459          -7.741           9.612
                    1H1613-097       SiIV      3.531     28.459         -13.015           5.358
       2MASS-J10155924-2748289       CII*    265.659     23.593         -18.825          10.064
       2MASS-J10155924-2748289        CIV    265.659     23.593         -16.264          13.033
       2MASS-J10155924-2748289       FeII    265.659     23.593          11.173          12.545
       2MASS-J10155924-2748289         NV    265.659     23.593          22.971           3.617
       2MASS-J10155924-2748289        SII    265.659     23.593           8.746           8.339
       2MASS-J10155924-2748289       SiII    265.659     23.593          39.210          14.418
       2MASS-J10155924-2748289       SiIV    265.659     23.593         -14.580           9.645
       2MASX-J01013113+4229356       CII*    124.914    -20.340          -9.229          13.418
       2MASX-J01013113+4229356        CIV    124.914    -20.340        -101.789           9.479
       2MASX-J01013113+4229356       FeII    124.914    -20.340          50.310           6.843
       2MASX-J01013113+4229356       NiII    124.914    -20.340           2.367           8.721
       2MASX-J01013113+4229356        SII    124.914    -20.340          -7.039           8.339
       2MASX-J01013113+4229356       SiII    124.914    -20.340         -63.354          12.015
       2MASX-J01013113+4229356       SiIV    124.914    -20.340         -22.969           9.645
       2MASX-J10053271-2417161       CII*    261.230     24.851          -7.936           7.827
       2MASX-J10053271-2417161        CIV    261.230     24.851          81.786          18.958
       2MASX-J10053271-2417161         NV    261.230     24.851          39.556          20.496
       2MASX-J10053271-2417161       NiII    261.230     24.851          -3.303           7.631
       2MASX-J10053271-2417161        SII    261.230     24.851          -5.842           8.339
       2MASX-J10053271-2417161       SiII    261.230     24.851          31.707          14.418
       2MASX-J10053271-2417161       SiIV    261.230     24.851          -9.515           8.573
         2XMM-J141348.3+440014        CIV     83.828     66.353         -41.960           9.479
         2XMM-J141348.3+440014       SiII     83.828     66.353         -12.437           9.612
         2XMM-J141348.3+440014       SiIV     83.828     66.353         -77.703           9.213
                        3C-66A       CII*    140.143    -16.767         -25.487           7.827
                        3C-66A        CIV    140.143    -16.767         -20.437           2.370
                        3C-66A       FeII    140.143    -16.767         -11.812           1.140
                        3C-66A       NiII    140.143    -16.767         -19.033           4.360
                        3C-66A        SII    140.143    -16.767         -18.144           5.956
                        3C-66A       SiII    140.143    -16.767         -63.707          10.814
                        3C-66A       SiIV    140.143    -16.767         -35.500           9.645
                         3C263       CII*    134.159     49.744          -5.539           7.827
                         3C263        CIV    134.159     49.744         -29.444           5.924
                         3C263       NiII    134.159     49.744         -44.060           7.631
                         3C263        SII    134.159     49.744          -9.378           5.956
                         3C263       SiIV    134.159     49.744         -35.307           7.501
                         3C273       CII*    289.951     64.360          23.005           4.473
                         3C273         NV    289.951     64.360           4.293          12.056
                         3C273       NiII    289.951     64.360          -8.757           7.631
                         3C273        SII    289.951     64.360         -22.646           5.956
                         3C273       SiIV    289.951     64.360         -29.639          10.716
                          3C48       CII*    133.963    -28.719          -0.806           5.591
                          3C48        CIV    133.963    -28.719         -13.248           9.479
                          3C48       NiII    133.963    -28.719         -12.412           8.721
                          3C48        SII    133.963    -28.719         -13.299           5.956
                          3C48       SiIV    133.963    -28.719         -27.918          10.716
                          3C57       CII*    173.077    -67.262         -10.869           3.355
                          3C57        CIV    173.077    -67.262         -16.202           9.479
                          3C57       FeII    173.077    -67.262          11.280           4.562
                          3C57       NiII    173.077    -67.262          17.859           7.631
                          3C57        SII    173.077    -67.262         -11.449           3.574
                          3C57       SiII    173.077    -67.262         -22.023           7.209
                          3C57       SiIV    173.077    -67.262         -27.264           6.430
                       4C25.01       CII*    114.072    -36.277           7.287           5.591
                       4C25.01        CIV    114.072    -36.277           4.591           9.479
                       4C25.01       FeII    114.072    -36.277         -21.797           5.702
                       4C25.01       NiII    114.072    -36.277          -3.341           3.270
                       4C25.01       SiII    114.072    -36.277         -15.549          12.015
