                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                   1ES1553+113       CII*     21.909     43.964         -14.100           6.300
                   1ES1553+113        CIV     21.909     43.964          -9.350          12.450
                   1ES1553+113       FeII     21.909     43.964         -59.600           7.800
                   1ES1553+113         NV     21.909     43.964         -21.900          13.100
                   1ES1553+113       NiII     21.909     43.964          -9.500           5.900
                   1ES1553+113        SII     21.909     43.964          -6.350           6.150
                   1ES1553+113       SiII     21.909     43.964          -8.200          10.200
                   1ES1553+113       SiIV     21.909     43.964          -8.050          11.150
                   1H-2129-624       CII*    331.143    -42.523           3.700           4.600
                   1H-2129-624        CIV    331.143    -42.523          32.600           8.100
                   1H-2129-624       FeII    331.143    -42.523          54.150           4.550
                   1H-2129-624         NV    331.143    -42.523          26.350           9.150
                   1H-2129-624       NiII    331.143    -42.523          -0.000           3.100
                   1H-2129-624        SII    331.143    -42.523          -3.300           4.200
                   1H-2129-624       SiII    331.143    -42.523          23.650           8.650
                   1H-2129-624       SiIV    331.143    -42.523          30.100           7.000
                    1H1613-097       CII*      3.531     28.459           2.250           5.150
                    1H1613-097        CIV      3.531     28.459         -11.050          13.250
                    1H1613-097         NV      3.531     28.459         -29.900           5.100
                    1H1613-097       NiII      3.531     28.459          -8.800           5.800
                    1H1613-097       SiII      3.531     28.459           0.400           9.700
                    1H1613-097       SiIV      3.531     28.459         -13.400           5.800
       2MASS-J10155924-2748289       CII*    265.659     23.593         -14.600          10.300
       2MASS-J10155924-2748289        CIV    265.659     23.593         -14.050          12.850
       2MASS-J10155924-2748289       FeII    265.659     23.593          11.550          12.950
       2MASS-J10155924-2748289         NV    265.659     23.593          21.050           3.850
       2MASS-J10155924-2748289        SII    265.659     23.593          -7.450           7.850
       2MASS-J10155924-2748289       SiII    265.659     23.593          53.550          14.750
       2MASS-J10155924-2748289       SiIV    265.659     23.593         -14.050           9.750
       2MASX-J01013113+4229356       CII*    124.914    -20.340          -9.200          13.400
       2MASX-J01013113+4229356        CIV    124.914    -20.340         -11.450           6.750
       2MASX-J01013113+4229356       FeII    124.914    -20.340          48.100           6.800
       2MASX-J01013113+4229356       NiII    124.914    -20.340          -6.650           8.450
       2MASX-J01013113+4229356        SII    124.914    -20.340         -23.600           8.200
