data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -5.2375 	  37.9768
-28.8574 	 -42.5230 	  10.9400 	 -55.0632
 3.5308 	  28.4585 	 -7.4497 	  23.1262
-94.3414 	  23.5932 	  35.3159 	  23.6289
 124.9137 	 -20.3398 	 -47.4066 	 -47.1611
-98.7698 	  24.8511 	  38.0489 	  28.7979
-125.8390 	  44.6222 	 -3.8684 	  35.8650
 140.1430 	 -16.7669 	 -27.3640 	 -39.7443
 114.0722 	 -36.2766 	  4.6495 	 -56.7813
 92.1385 	 -25.3368 	 -67.7062 	 -35.0213
-21.8166 	 -26.7112 	  22.8718 	 -72.3181
-64.9271 	 -57.8266 	 -2.3372 	 -2.2118
 94.0025 	  27.4170 	 -39.6249 	 -39.3052
 174.4627 	 -56.1555 	 -24.6027 	 -17.3480
-98.9753 	 -41.3746 	  14.7272 	  32.6526
-99.3069 	 -40.9014 	  13.1918 	  32.9519
 120.0257 	 -19.5089 	 -21.8407 	 -45.9798
 78.4261 	 -24.6985 	 -10.9842 	 -16.2274
-21.4885 	 -56.6295 	 -4.1015 	 -46.3031
-11.2816 	  51.3746 	 -20.1154 	 -49.3986
 35.9711 	 -29.8554 	 -4.1537 	  44.7841
 108.7632 	 -41.4245 	 -27.3174 	 -56.3781
 161.1387 	  42.8795 	 -38.1352 	 -31.3891
 123.0933 	 -45.4387 	 -17.7323 	 -56.6651
 2.7540 	  50.2640 	 -25.6485 	  7.9858
 63.6699 	 -29.0700 	  19.1205 	  1.5756
 91.4892 	  47.9536 	 -48.2711 	 -47.0112
 75.9894 	 -34.2225 	 -28.5284 	 -23.8793
 100.2997 	  53.4783 	 -44.6134 	 -50.7721
 98.2694 	  40.3757 	 -38.7579 	 -51.1544
 133.2357 	  42.4028 	 -31.7791 	 -53.8616
-72.5440 	  22.9475 	  7.3880 	 -7.0015
 83.0986 	 -45.4667 	 -21.2157 	 -39.2690
-179.1629 	 -59.4902 	 -24.1779 	 -11.7529
 10.3922 	  11.1635 	  23.6036 	  63.4947
 14.8922 	  50.1217 	 -42.2734 	  30.6090
 60.3421 	  42.9393 	 -6.8748 	 -8.1873
 107.3184 	 -45.3258 	 -35.3172 	 -55.7720
 138.2789 	  31.0327 	 -32.8977 	 -49.8120
-160.5093 	  33.1462 	 -16.5225 	  15.2378
 179.7861 	  51.7091 	 -30.2340 	 -11.6051
-113.4989 	  40.7487 	  6.9985 	  38.4800
-107.7237 	  49.8783 	  25.5993 	  32.5587
-92.3694 	  52.7453 	  5.6320 	  23.7614
 120.5556 	  58.0478 	 -50.1075 	 -50.4862
-16.0216 	  47.2062 	 -18.5632 	 -55.6067
 84.5149 	  42.1886 	 -48.7785 	 -39.7493
 40.5381 	 -40.9564 	 -3.6510 	  23.8091
 47.4732 	 -44.8152 	 -5.8357 	  9.4467
-155.0729 	 -41.7563 	  2.7865 	  18.2870
-86.5344 	 -30.6114 	  37.5558 	  19.5406
-102.0378 	 -28.5693 	 -7.6423 	  33.3827
-73.6316 	 -27.1584 	  13.7486 	 -0.9977
-51.4086 	  52.1613 	 -3.2980 	 -20.0275
-9.6269 	 -32.6008 	  20.3629 	 -57.2549
-86.8105 	  33.0796 	  9.8300 	  21.0262
-154.5155 	 -46.3249 	  6.3025 	  16.7685
 177.0833 	  39.9376 	 -12.6012 	 -12.8313
 33.8982 	  49.4575 	 -24.9960 	  21.9470
 38.4023 	 -43.3339 	 -5.4848 	  23.8323
-138.0213 	 -34.6503 	  4.8740 	  34.4730
-1.2673 	 -31.0031 	  22.6541 	 -21.8965
-14.1021 	 -58.3672 	 -6.9862 	 -44.8185
 106.6723 	 -34.6585 	 -17.7582 	 -53.9042
 117.0873 	 -31.5443 	 -33.3160 	 -55.3479
-98.7840 	 -40.9268 	  24.2958 	  32.6166
-4.8208 	 -50.8646 	  8.8806 	 -37.7038
 4.5093 	 -48.4647 	 -19.3414 	  15.8444
-46.7076 	 -44.8373 	 -1.8970 	 -30.9894
 121.2326 	 -25.4243 	 -26.2830 	 -51.6858
 122.7965 	 -27.2596 	 -21.0849 	 -53.0050
 128.7826 	 -23.9549 	 -28.3416 	 -49.8381
 138.7027 	 -29.6442 	  0.5669 	 -49.0373
 143.9810 	  28.0176 	 -26.2964 	 -44.8750
-121.4729 	  42.7859 	  3.3701 	  37.7020
-130.9152 	  58.9080 	  12.2908 	  22.4261
-160.1963 	  29.4163 	 -9.1370 	  16.2615
-143.1097 	  24.6341 	  15.0077 	  31.7136
-135.2466 	  28.3667 	 -23.7913 	  36.5375
 174.3152 	  45.5962 	 -4.4530 	 -16.8747
-134.6274 	  43.5395 	 -13.4703 	  33.0291
-126.6300 	  43.4835 	 -4.1654 	  36.2773
 136.6575 	  32.6778 	 -26.2370 	 -51.2623
 163.8954 	  48.5293 	 -53.9507 	 -28.2548
 120.1742 	 -17.1262 	 -36.7958 	 -43.2250
