data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -9.8794 	 -12.4912
-28.8574 	 -42.5230 	  28.9280 	 -3.3611
 3.5308 	  28.4585 	 -50.0778 	 -6.1473
-94.3414 	  23.5932 	  13.3101 	  20.4477
 124.9137 	 -20.3398 	 -46.2797 	 -35.7518
-98.7698 	  24.8511 	  28.2411 	  20.9901
-125.8390 	  44.6222 	  19.0661 	  9.0889
 140.1430 	 -16.7669 	 -27.3640 	 -33.9087
 134.1592 	  49.7440 	 -27.5920 	 -23.8521
 133.9626 	 -28.7194 	 -17.1363 	 -29.7829
 114.0722 	 -36.2766 	 -13.7200 	 -30.0737
 92.1385 	 -25.3368 	 -7.4612 	 -29.4664
-82.8231 	 -35.4212 	  8.6719 	  11.6757
-21.8166 	 -26.7112 	  1.3680 	 -4.4149
-64.9271 	 -57.8266 	  8.3563 	  0.0289
-161.5729 	  54.6252 	 -37.0640 	 -4.4085
 174.4627 	 -56.1555 	 -12.5972 	 -12.0801
-98.9753 	 -41.3746 	 -34.3481 	  11.6848
-99.3069 	 -40.9014 	  17.1289 	  11.9692
 120.0257 	 -19.5089 	 -24.9080 	 -36.7244
 122.2786 	 -23.1812 	 -36.5487 	 -34.4106
-93.0132 	 -41.9963 	 -16.4274 	  10.6924
-21.4885 	 -56.6295 	  4.5620 	 -6.7885
-85.6885 	 -27.3195 	  15.3683 	  15.6880
 114.4161 	 -18.4214 	 -64.9740 	 -37.3338
 123.7485 	 -50.1750 	 -22.8728 	 -25.3819
 110.9649 	 -28.3522 	 -19.6558 	 -32.3990
-11.2816 	  51.3746 	 -43.9981 	 -7.7899
 35.9711 	 -29.8554 	  26.1983 	 -10.8972
 108.7632 	 -41.4245 	 -1.7453 	 -28.7191
 161.1387 	  42.8795 	 -19.3986 	 -16.7955
 123.0933 	 -45.4387 	  5.5510 	 -26.7927
 148.8953 	 -29.7454 	  4.1517 	 -23.9647
 2.7540 	  50.2640 	 -14.0020 	 -10.0960
 63.6699 	 -29.0700 	  10.2523 	 -19.2175
 91.4892 	  47.9536 	 -71.7853 	 -26.1622
 75.9894 	 -34.2225 	 -33.7981 	 -24.2775
 100.2997 	  53.4783 	 -75.1028 	 -25.4307
 11.2091 	  54.6321 	 -34.1010 	 -12.1294
 98.2694 	  40.3757 	 -31.8619 	 -28.3463
 133.2357 	  42.4028 	 -54.6920 	 -25.9189
-72.5440 	  22.9475 	  14.3900 	  11.3552
 83.0986 	 -45.4667 	 -9.1585 	 -25.4513
-179.1629 	 -59.4902 	 -32.4553 	 -10.5438
 88.2156 	 -55.5642 	  17.7906 	 -24.2452
 10.3922 	  11.1635 	 -14.8219 	  5.3629
 14.8922 	  50.1217 	 -12.1550 	 -12.2207
 60.3421 	  42.9393 	 -31.7573 	 -20.7696
 107.3184 	 -45.3258 	  10.6019 	 -27.7003
 123.9075 	 -37.4378 	 -15.6275 	 -28.9655
 138.2789 	  31.0327 	 -66.5488 	 -27.7227
-160.5093 	  33.1462 	 -14.1500 	  4.0536
 179.7861 	  51.7091 	 -11.7615 	 -9.8892
-159.9165 	  53.2069 	 -77.6780 	 -3.4503
-113.4989 	  40.7487 	  7.9344 	  12.5300
-92.3694 	  52.7453 	  16.7363 	  5.3095
 120.5556 	  58.0478 	 -31.4764 	 -23.4180
 84.5149 	  42.1886 	 -24.9960 	 -26.0644
 40.5381 	 -40.9564 	  32.6289 	 -15.7084
 47.4732 	 -44.8152 	  5.2330 	 -17.9695
-155.0729 	 -41.7563 	 -1.9280 	  2.6699
-86.5344 	 -30.6114 	  32.0384 	  14.6059
-102.0378 	 -28.5693 	  10.6069 	  19.3462
-73.6316 	 -27.1584 	  65.2698 	  11.1872
-51.4086 	  52.1613 	 -3.2980 	 -0.4570
-9.6269 	 -32.6008 	  49.4475 	 -5.7142
-86.8105 	  33.0796 	  57.9966 	  13.6404
-154.5155 	 -46.3249 	  6.2496 	  0.9064
 33.8982 	  49.4575 	 -29.1467 	 -15.6971
-138.0213 	 -34.6503 	  46.5046 	  12.5346
-1.2673 	 -31.0031 	  39.6964 	 -6.3317
-14.1021 	 -58.3672 	  5.6720 	 -8.3079
 106.6723 	 -34.6585 	 -10.4100 	 -30.3494
 117.0873 	 -31.5443 	 -45.4701 	 -31.3994
-98.7840 	 -40.9268 	 -2.7020 	  11.9058
-4.8208 	 -50.8646 	  23.1214 	 -8.8557
 4.5093 	 -48.4647 	 -24.6295 	 -10.1442
-46.7076 	 -44.8373 	  12.6170 	  0.1683
 121.2326 	 -25.4243 	 -23.2850 	 -33.4365
 122.7965 	 -27.2596 	 -37.6898 	 -32.5149
 128.7826 	 -23.9549 	 -32.7405 	 -33.0458
 138.7027 	 -29.6442 	 -36.3326 	 -28.0234
 143.9810 	  28.0176 	 -64.6990 	 -26.5759
-121.4729 	  42.7859 	  35.6648 	  10.7388
-160.1963 	  29.4163 	  5.8530 	  5.9719
-143.1097 	  24.6341 	  2.3910 	  17.7004
 174.3152 	  45.5962 	 -6.5560 	 -11.3263
-134.6274 	  43.5395 	 -41.3905 	  8.0936
-126.6300 	  43.4835 	  23.2809 	  9.6428
 136.6575 	  32.6778 	 -44.0237 	 -27.7193
 163.8954 	  48.5293 	 -45.8890 	 -15.4927
 120.1742 	 -17.1262 	 -55.1861 	 -38.5621
