data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -9.8794 	 -12.5033
-28.8574 	 -42.5230 	  28.9280 	 -3.3189
 3.5308 	  28.4585 	 -50.0778 	 -6.1447
-94.3414 	  23.5932 	  13.3101 	  20.4951
 124.9137 	 -20.3398 	 -46.2797 	 -35.7751
-98.7698 	  24.8511 	  28.2411 	  21.0329
-125.8390 	  44.6222 	  19.0661 	  9.1003
 140.1430 	 -16.7669 	 -27.3640 	 -33.9341
 134.1592 	  49.7440 	 -27.5920 	 -23.8356
 133.9626 	 -28.7194 	 -17.1363 	 -29.7829
 114.0722 	 -36.2766 	 -13.7200 	 -30.0742
 92.1385 	 -25.3368 	 -7.4612 	 -29.4987
-82.8231 	 -35.4212 	  8.6719 	  11.7202
-21.8166 	 -26.7112 	  1.3680 	 -4.3760
-64.9271 	 -57.8266 	  8.3563 	  0.0636
-161.5729 	  54.6252 	 -37.0640 	 -4.3982
 174.4627 	 -56.1555 	 -12.5972 	 -12.0650
-98.9753 	 -41.3746 	 -34.3481 	  11.7131
-99.3069 	 -40.9014 	  17.1289 	  11.9975
 120.0257 	 -19.5089 	 -24.9080 	 -36.7532
 122.2786 	 -23.1812 	 -36.5487 	 -34.4277
-93.0132 	 -41.9963 	 -16.4274 	  10.7247
-21.4885 	 -56.6295 	  4.5620 	 -6.7601
-85.6885 	 -27.3195 	  15.3683 	  15.7370
 114.4161 	 -18.4214 	 -64.9740 	 -37.3695
 123.7485 	 -50.1750 	 -22.8728 	 -25.3681
 110.9649 	 -28.3522 	 -19.6558 	 -32.4127
-11.2816 	  51.3746 	 -43.9981 	 -7.7667
 35.9711 	 -29.8554 	  26.1983 	 -10.9336
 108.7632 	 -41.4245 	 -1.7453 	 -28.7182
 161.1387 	  42.8795 	 -19.3986 	 -16.7803
 123.0933 	 -45.4387 	  5.5510 	 -26.7811
 148.8953 	 -29.7454 	  4.1517 	 -23.9585
 2.7540 	  50.2640 	 -14.0020 	 -10.0856
 63.6699 	 -29.0700 	  10.2523 	 -19.2602
 91.4892 	  47.9536 	 -71.7853 	 -26.1671
 75.9894 	 -34.2225 	 -33.7981 	 -24.3086
 100.2997 	  53.4783 	 -75.1028 	 -25.4262
 11.2091 	  54.6321 	 -34.1010 	 -12.1243
 98.2694 	  40.3757 	 -31.8619 	 -28.3538
 133.2357 	  42.4028 	 -54.6920 	 -25.9053
-72.5440 	  22.9475 	  14.3900 	  11.4139
 83.0986 	 -45.4667 	 -9.1585 	 -25.4642
-179.1629 	 -59.4902 	 -32.4553 	 -10.5294
 88.2156 	 -55.5642 	  17.7906 	 -24.2453
 10.3922 	  11.1635 	 -14.8219 	  5.3765
 14.8922 	  50.1217 	 -12.1550 	 -12.2214
 60.3421 	  42.9393 	 -31.7573 	 -20.7964
 107.3184 	 -45.3258 	  10.6019 	 -27.6972
 123.9075 	 -37.4378 	 -15.6275 	 -28.9592
 138.2789 	  31.0327 	 -66.5488 	 -27.7177
-160.5093 	  33.1462 	 -14.1500 	  4.0615
 179.7861 	  51.7091 	 -11.7615 	 -9.8759
-159.9165 	  53.2069 	 -77.6780 	 -3.4407
-113.4989 	  40.7487 	  7.9344 	  12.5486
-92.3694 	  52.7453 	  16.7363 	  5.3366
 120.5556 	  58.0478 	 -31.4764 	 -23.4035
 84.5149 	  42.1886 	 -24.9960 	 -26.0800
 40.5381 	 -40.9564 	  32.6289 	 -15.7365
 47.4732 	 -44.8152 	  5.2330 	 -17.9944
-155.0729 	 -41.7563 	 -1.9280 	  2.6769
-86.5344 	 -30.6114 	  32.0384 	  14.6515
-102.0378 	 -28.5693 	  10.6069 	  19.3821
-73.6316 	 -27.1584 	  65.2698 	  11.2435
-51.4086 	  52.1613 	 -3.2980 	 -0.4153
-9.6269 	 -32.6008 	  49.4475 	 -5.6908
-86.8105 	  33.0796 	  57.9966 	  13.6839
-154.5155 	 -46.3249 	  6.2496 	  0.9138
 33.8982 	  49.4575 	 -29.1467 	 -15.7115
-138.0213 	 -34.6503 	  46.5046 	  12.5448
-1.2673 	 -31.0031 	  39.6964 	 -6.3211
-14.1021 	 -58.3672 	  5.6720 	 -8.2846
 106.6723 	 -34.6585 	 -10.4100 	 -30.3570
 117.0873 	 -31.5443 	 -45.4701 	 -31.4039
-98.7840 	 -40.9268 	 -2.7020 	  11.9345
-4.8208 	 -50.8646 	  23.1214 	 -8.8382
 4.5093 	 -48.4647 	 -24.6295 	 -10.1362
-46.7076 	 -44.8373 	  12.6170 	  0.2169
 121.2326 	 -25.4243 	 -23.2850 	 -33.4491
 122.7965 	 -27.2596 	 -37.6898 	 -32.5229
 128.7826 	 -23.9549 	 -32.7405 	 -33.0573
 138.7027 	 -29.6442 	 -36.3326 	 -28.0201
 143.9810 	  28.0176 	 -64.6990 	 -26.5732
-121.4729 	  42.7859 	  35.6648 	  10.7525
-160.1963 	  29.4163 	  5.8530 	  5.9809
-143.1097 	  24.6341 	  2.3910 	  17.7177
 174.3152 	  45.5962 	 -6.5560 	 -11.3128
-134.6274 	  43.5395 	 -41.3905 	  8.1023
-126.6300 	  43.4835 	  23.2809 	  9.6541
 136.6575 	  32.6778 	 -44.0237 	 -27.7128
 163.8954 	  48.5293 	 -45.8890 	 -15.4765
 120.1742 	 -17.1262 	 -55.1861 	 -38.5993
