data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -13.7108 	 -10.7097
-28.8574 	 -42.5230 	  22.9320 	 -7.9372
 3.5308 	  28.4585 	 -7.4560 	 -6.4062
-94.3414 	  23.5932 	 -12.4281 	  5.1420
 124.9137 	 -20.3398 	 -45.7238 	 -18.3221
-98.7698 	  24.8511 	  18.7863 	  5.2899
-125.8390 	  44.6222 	  8.0609 	 -2.1068
 140.1430 	 -16.7669 	 -30.3620 	 -16.8132
 134.1592 	  49.7440 	 -43.2911 	 -16.7153
 133.9626 	 -28.7194 	 -11.8304 	 -16.9467
 114.0722 	 -36.2766 	 -14.3729 	 -17.9116
 92.1385 	 -25.3368 	 -25.7990 	 -16.0057
-21.8166 	 -26.7112 	 -3.6096 	 -7.4502
-64.9271 	 -57.8266 	 -6.5283 	 -7.5761
-161.5729 	  54.6252 	  2.1954 	 -8.8416
 174.4627 	 -56.1555 	 -20.2920 	 -12.2585
-98.9753 	 -41.3746 	  22.0490 	 -0.8295
-99.3069 	 -40.9014 	 -33.0366 	 -0.6496
 120.0257 	 -19.5089 	 -33.9010 	 -18.6169
 122.2786 	 -23.1812 	 -26.3561 	 -18.1797
-85.6885 	 -27.3195 	  56.5266 	  2.3580
 114.4161 	 -18.4214 	 -25.2485 	 -18.7069
 123.7485 	 -50.1750 	 -7.4370 	 -17.3759
 110.9649 	 -28.3522 	 -3.3150 	 -17.9473
-11.2816 	  51.3746 	 -18.6298 	 -10.2056
 35.9711 	 -29.8554 	  14.2320 	 -7.2417
 108.7632 	 -41.4245 	 -14.0404 	 -17.8499
 161.1387 	  42.8795 	 -1.2250 	 -13.0268
 123.0933 	 -45.4387 	  1.1807 	 -17.5284
 148.8953 	 -29.7454 	  49.0905 	 -14.5646
 2.7540 	  50.2640 	 -16.1851 	 -10.8285
 63.6699 	 -29.0700 	 -37.4119 	 -11.2044
 91.4892 	  47.9536 	 -23.1500 	 -17.2631
 100.2997 	  53.4783 	 -30.8740 	 -17.5580
 11.2091 	  54.6321 	 -38.8739 	 -11.9821
 98.2694 	  40.3757 	 -32.5310 	 -17.4635
 133.2357 	  42.4028 	 -27.9106 	 -16.8805
-72.5440 	  22.9475 	 -34.7024 	  0.5025
 83.0986 	 -45.4667 	 -4.8182 	 -16.5942
-179.1629 	 -59.4902 	 -10.1959 	 -11.8649
 10.3922 	  11.1635 	  12.0509 	  11.0502
 14.8922 	  50.1217 	 -3.1610 	 -11.4944
 60.3421 	  42.9393 	 -11.2420 	 -13.9853
 107.3184 	 -45.3258 	 -3.3680 	 -17.8056
 123.9075 	 -37.4378 	 -4.7961 	 -17.6227
 138.2789 	  31.0327 	 -13.9878 	 -16.3567
-160.5093 	  33.1462 	 -8.1540 	 -2.8825
 179.7861 	  51.7091 	 -9.9973 	 -10.9304
-159.9165 	  53.2069 	 -29.7110 	 -8.3040
-113.4989 	  40.7487 	 -20.5328 	 -0.2526
-107.7237 	  49.8783 	 -8.4970 	 -3.5016
 120.5556 	  58.0478 	 -23.2359 	 -17.1825
 84.5149 	  42.1886 	 -12.7570 	 -16.4989
 40.5381 	 -40.9564 	  5.3022 	 -11.4166
 47.4732 	 -44.8152 	 -13.5080 	 -12.9635
-155.0729 	 -41.7563 	 -16.9180 	 -4.4982
-102.0378 	 -28.5693 	 -3.7490 	  4.1194
-73.6316 	 -27.1584 	  7.3928 	  0.0319
-51.4086 	  52.1613 	 -21.2860 	 -7.4524
-9.6269 	 -32.6008 	  11.7410 	 -7.6049
-86.8105 	  33.0796 	  3.8800 	  0.7876
 33.8982 	  49.4575 	 -16.6986 	 -12.6580
-1.2673 	 -31.0031 	 -16.4610 	 -7.1912
-14.1021 	 -58.3672 	 -12.5887 	 -10.9875
 106.6723 	 -34.6585 	 -8.6339 	 -17.7769
 117.0873 	 -31.5443 	  3.2588 	 -17.9517
-98.7840 	 -40.9268 	 -5.4386 	 -0.6861
-4.8208 	 -50.8646 	  2.6420 	 -10.5016
 4.5093 	 -48.4647 	 -7.1990 	 -10.6300
-46.7076 	 -44.8373 	  0.6250 	 -6.6875
 121.2326 	 -25.4243 	 -11.2930 	 -18.0709
 122.7965 	 -27.2596 	 -21.3354 	 -17.9211
 128.7826 	 -23.9549 	 -14.9762 	 -17.7009
 138.7027 	 -29.6442 	 -7.7440 	 -16.3082
 143.9810 	  28.0176 	 -17.0172 	 -15.4644
-121.4729 	  42.7859 	  15.0220 	 -1.2103
-130.9152 	  58.9080 	 -8.5501 	 -7.1167
-160.1963 	  29.4163 	 -24.1260 	 -1.5896
-143.1097 	  24.6341 	  11.3850 	  4.0817
 174.3152 	  45.5962 	 -6.2518 	 -10.9526
-134.6274 	  43.5395 	  10.8611 	 -2.3855
-126.6300 	  43.4835 	 -4.8398 	 -1.7378
 136.6575 	  32.6778 	 -27.8730 	 -16.5597
 163.8954 	  48.5293 	 -54.4088 	 -13.0408
 120.1742 	 -17.1262 	 -13.9911 	 -18.9893
