data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -16.6320 	 -15.3646
-28.8574 	 -42.5230 	  10.9400 	 -0.9607
 3.5308 	  28.4585 	 -28.4410 	 -7.5514
-94.3414 	  23.5932 	  6.3760 	  16.2577
-98.7698 	  24.8511 	 -17.9010 	  15.7019
 92.1385 	 -25.3368 	 -28.7970 	 -26.9952
-21.8166 	 -26.7112 	  9.4901 	  1.2624
-161.5729 	  54.6252 	  5.5991 	 -6.5027
-98.9753 	 -41.3746 	  15.3060 	  8.6737
-99.3069 	 -40.9014 	 -32.7370 	  8.8733
 120.0257 	 -19.5089 	  20.0610 	 -24.6020
 122.2786 	 -23.1812 	 -23.1650 	 -24.3199
-93.0132 	 -41.9963 	  13.3855 	  8.5162
-21.4885 	 -56.6295 	  7.6990 	 -6.5281
-85.6885 	 -27.3195 	 -13.4380 	  14.5714
 114.4161 	 -18.4214 	 -11.2280 	 -25.4286
 110.9649 	 -28.3522 	 -11.5981 	 -26.0942
-11.2816 	  51.3746 	 -37.9558 	 -7.6486
 35.9711 	 -29.8554 	  28.0721 	 -18.0008
 108.7632 	 -41.4245 	 -23.7040 	 -25.7115
 161.1387 	  42.8795 	 -13.2170 	 -14.8416
 148.8953 	 -29.7454 	 -4.6050 	 -17.7048
 2.7540 	  50.2640 	 -14.0020 	 -10.9730
 63.6699 	 -29.0700 	  0.2290 	 -24.3608
 91.4892 	  47.9536 	 -47.5575 	 -25.6438
 100.2997 	  53.4783 	 -79.0314 	 -24.5353
 11.2091 	  54.6321 	 -46.3845 	 -13.4705
 98.2694 	  40.3757 	  3.4440 	 -26.4529
 133.2357 	  42.4028 	 -0.7300 	 -21.9570
-72.5440 	  22.9475 	  25.3760 	  14.9025
 83.0986 	 -45.4667 	 -23.9660 	 -25.7960
-179.1629 	 -59.4902 	 -35.9780 	 -11.3319
 88.2156 	 -55.5642 	 -31.6159 	 -24.2690
 10.3922 	  11.1635 	 -27.8510 	 -5.9156
 14.8922 	  50.1217 	 -27.1440 	 -14.0103
 123.9075 	 -37.4378 	 -11.1520 	 -23.9779
-160.5093 	  33.1462 	 -2.8208 	 -0.4211
-159.9165 	  53.2069 	 -59.6910 	 -5.7591
-107.7237 	  49.8783 	  0.4970 	  4.3133
 84.5149 	  42.1886 	 -3.7630 	 -26.2192
 47.4732 	 -44.8152 	 -10.5100 	 -21.3944
-102.0378 	 -28.5693 	 -0.7510 	  14.0573
-73.6316 	 -27.1584 	  36.9310 	  13.5593
-51.4086 	  52.1613 	 -18.2880 	  0.5134
-9.6269 	 -32.6008 	  33.4145 	 -4.0743
-86.8105 	  33.0796 	  129.7930 	  12.2938
 33.8982 	  49.4575 	 -24.8651 	 -18.4499
-1.2673 	 -31.0031 	  10.5200 	 -6.4628
-14.1021 	 -58.3672 	  21.7889 	 -8.4371
 106.6723 	 -34.6585 	 -6.7470 	 -26.3643
-98.7840 	 -40.9268 	 -8.6980 	  8.8813
-4.8208 	 -50.8646 	  29.6230 	 -9.1522
 4.5093 	 -48.4647 	  19.7820 	 -11.1856
 121.2326 	 -25.4243 	 -83.2430 	 -24.5702
 138.7027 	 -29.6442 	 -40.7210 	 -20.6922
 143.9810 	  28.0176 	 -46.7110 	 -19.1084
-130.9152 	  58.9080 	  9.1680 	 -2.1642
-160.1963 	  29.4163 	 -15.1330 	  0.7667
-143.1097 	  24.6341 	  65.3470 	  8.0259
 174.3152 	  45.5962 	 -54.5230 	 -11.2239
-134.6274 	  43.5395 	  1.0819 	  3.2095
 136.6575 	  32.6778 	 -38.2280 	 -21.3075
 120.1742 	 -17.1262 	 -29.0154 	 -24.4834
