data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -16.6320 	 -14.7372
-28.8574 	 -42.5230 	  10.9400 	 -1.4061
 3.5308 	  28.4585 	 -28.4410 	 -7.2803
-94.3414 	  23.5932 	  6.3760 	  16.2271
-98.7698 	  24.8511 	 -17.9010 	  15.8570
 92.1385 	 -25.3368 	 -28.7970 	 -26.6761
-21.8166 	 -26.7112 	  9.4901 	  0.4172
-161.5729 	  54.6252 	  5.5991 	 -6.2183
-98.9753 	 -41.3746 	  15.3060 	  8.7265
-99.3069 	 -40.9014 	 -32.7370 	  8.9232
 120.0257 	 -19.5089 	  20.0610 	 -25.7192
 122.2786 	 -23.1812 	 -23.1650 	 -25.1580
-93.0132 	 -41.9963 	  13.3855 	  8.4244
-21.4885 	 -56.6295 	  7.6990 	 -6.5818
-85.6885 	 -27.3195 	 -13.4380 	  14.1788
 114.4161 	 -18.4214 	 -11.2280 	 -26.5152
 110.9649 	 -28.3522 	 -11.5981 	 -26.4214
-11.2816 	  51.3746 	 -37.9558 	 -7.6472
 35.9711 	 -29.8554 	  28.0721 	 -16.7079
 108.7632 	 -41.4245 	 -23.7040 	 -25.6434
 161.1387 	  42.8795 	 -13.2170 	 -14.9118
 148.8953 	 -29.7454 	 -4.6050 	 -18.2948
 2.7540 	  50.2640 	 -14.0020 	 -10.7471
 63.6699 	 -29.0700 	  0.2290 	 -23.1020
 91.4892 	  47.9536 	 -47.5575 	 -25.1960
 100.2997 	  53.4783 	 -79.0314 	 -24.2123
 11.2091 	  54.6321 	 -46.3845 	 -13.1284
 98.2694 	  40.3757 	  3.4440 	 -26.1692
 133.2357 	  42.4028 	 -0.7300 	 -22.1154
-72.5440 	  22.9475 	  25.3760 	  13.8423
 83.0986 	 -45.4667 	 -23.9660 	 -25.2227
-179.1629 	 -59.4902 	 -35.9780 	 -11.1283
 88.2156 	 -55.5642 	 -31.6159 	 -23.8451
 10.3922 	  11.1635 	 -27.8510 	 -4.5705
 14.8922 	  50.1217 	 -27.1440 	 -13.5852
 123.9075 	 -37.4378 	 -11.1520 	 -24.1610
-160.5093 	  33.1462 	 -2.8208 	  0.1294
-159.9165 	  53.2069 	 -59.6910 	 -5.4681
-107.7237 	  49.8783 	  0.4970 	  4.4477
 84.5149 	  42.1886 	 -3.7630 	 -25.6604
 47.4732 	 -44.8152 	 -10.5100 	 -20.5497
-102.0378 	 -28.5693 	 -0.7510 	  14.2662
-73.6316 	 -27.1584 	  36.9310 	  12.7151
-51.4086 	  52.1613 	 -18.2880 	  0.1897
-9.6269 	 -32.6008 	  33.4145 	 -4.2967
-86.8105 	  33.0796 	  129.7930 	  12.0026
 33.8982 	  49.4575 	 -24.8651 	 -17.7808
-1.2673 	 -31.0031 	  10.5200 	 -6.3922
-14.1021 	 -58.3672 	  21.7889 	 -8.3944
 106.6723 	 -34.6585 	 -6.7470 	 -26.3751
-98.7840 	 -40.9268 	 -8.6980 	  8.9211
-4.8208 	 -50.8646 	  29.6230 	 -9.0518
 4.5093 	 -48.4647 	  19.7820 	 -10.9292
 121.2326 	 -25.4243 	 -83.2430 	 -25.3398
 138.7027 	 -29.6442 	 -40.7210 	 -21.3415
 143.9810 	  28.0176 	 -46.7110 	 -19.8376
-130.9152 	  58.9080 	  9.1680 	 -1.9099
-160.1963 	  29.4163 	 -15.1330 	  1.4354
-143.1097 	  24.6341 	  65.3470 	  9.1942
 174.3152 	  45.5962 	 -54.5230 	 -11.1126
-134.6274 	  43.5395 	  1.0819 	  3.6944
 136.6575 	  32.6778 	 -38.2280 	 -21.8004
 120.1742 	 -17.1262 	 -29.0154 	 -25.8895
