data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -4.6410 	 -8.4155
-28.8574 	 -42.5230 	  7.9420 	 -3.2787
 3.5308 	  28.4585 	  3.9720 	 -4.3412
-94.3414 	  23.5932 	 -0.3873 	  12.3366
 124.9137 	 -20.3398 	 -28.9775 	 -24.1052
-98.7698 	  24.8511 	  7.6736 	  12.8465
 140.1430 	 -16.7669 	 -15.3720 	 -23.3786
 134.1592 	  49.7440 	 -29.6321 	 -16.1513
 133.9626 	 -28.7194 	 -18.2900 	 -20.0865
 92.1385 	 -25.3368 	 -13.9120 	 -18.9620
-82.8231 	 -35.4212 	  2.1629 	  6.3847
-21.8166 	 -26.7112 	  5.1297 	 -3.9391
-64.9271 	 -57.8266 	 -0.6889 	 -1.1721
 174.4627 	 -56.1555 	  3.6920 	 -8.6234
-98.9753 	 -41.3746 	  16.8299 	  6.5860
-99.3069 	 -40.9014 	  9.2340 	  6.7878
 120.0257 	 -19.5089 	 -68.5576 	 -24.6653
 122.2786 	 -23.1812 	 -21.2364 	 -23.0574
-93.0132 	 -41.9963 	  13.0320 	  5.8642
-21.4885 	 -56.6295 	 -10.2890 	 -5.4070
-85.6885 	 -27.3195 	  13.5294 	  9.0315
 114.4161 	 -18.4214 	 -5.0241 	 -24.8644
 123.7485 	 -50.1750 	 -13.4330 	 -17.0539
 110.9649 	 -28.3522 	 -18.9482 	 -21.4285
-11.2816 	  51.3746 	  0.8526 	 -5.9376
 35.9711 	 -29.8554 	  3.9881 	 -6.7087
 108.7632 	 -41.4245 	 -9.7696 	 -19.0236
 161.1387 	  42.8795 	 -8.7256 	 -11.6140
 123.0933 	 -45.4387 	 -8.7524 	 -17.9562
 148.8953 	 -29.7454 	 -7.6020 	 -16.3253
 2.7540 	  50.2640 	 -19.9980 	 -7.2431
 63.6699 	 -29.0700 	 -5.7670 	 -11.9163
 91.4892 	  47.9536 	 -39.4014 	 -17.2801
 100.2997 	  53.4783 	 -36.4358 	 -16.9587
 11.2091 	  54.6321 	 -10.1180 	 -8.5150
 98.2694 	  40.3757 	 -25.2954 	 -18.6367
 133.2357 	  42.4028 	 -22.4867 	 -17.4950
-72.5440 	  22.9475 	 -12.2484 	  5.8464
 83.0986 	 -45.4667 	 -8.9760 	 -16.6890
-179.1629 	 -59.4902 	 -8.7116 	 -7.6593
 10.3922 	  11.1635 	  8.1240 	  3.7364
 14.8922 	  50.1217 	  32.3919 	 -8.4568
 60.3421 	  42.9393 	 -13.0703 	 -13.4663
 107.3184 	 -45.3258 	 -15.6340 	 -18.4304
 123.9075 	 -37.4378 	 -11.8841 	 -19.3917
 138.2789 	  31.0327 	 -16.5810 	 -18.7375
-160.5093 	  33.1462 	  0.8400 	  2.3045
 179.7861 	  51.7091 	 -18.0588 	 -7.1605
-159.9165 	  53.2069 	 -32.7090 	 -3.0116
-113.4989 	  40.7487 	 -8.6930 	  7.3281
-107.7237 	  49.8783 	 -17.4910 	  3.8179
 120.5556 	  58.0478 	 -44.8414 	 -15.8596
 84.5149 	  42.1886 	 -47.4365 	 -17.0253
 47.4732 	 -44.8152 	  1.4820 	 -11.7391
-155.0729 	 -41.7563 	 -4.9260 	  1.1626
-102.0378 	 -28.5693 	  14.2390 	  11.7652
-73.6316 	 -27.1584 	  0.9560 	  5.8575
-51.4086 	  52.1613 	  5.6950 	 -1.5126
-9.6269 	 -32.6008 	  10.7606 	 -4.4474
-86.8105 	  33.0796 	  3.8800 	  7.7203
-154.5155 	 -46.3249 	 -16.5510 	 -0.0567
 33.8982 	  49.4575 	 -27.9940 	 -10.4968
-1.2673 	 -31.0031 	  4.8884 	 -4.6290
-14.1021 	 -58.3672 	 -9.3180 	 -6.3304
 106.6723 	 -34.6585 	 -21.7625 	 -19.9990
 117.0873 	 -31.5443 	 -16.4639 	 -20.8272
-98.7840 	 -40.9268 	  27.2770 	  6.7413
-4.8208 	 -50.8646 	  5.6400 	 -6.5452
 4.5093 	 -48.4647 	 -16.1930 	 -7.2276
-46.7076 	 -44.8373 	  0.6250 	 -1.1436
 121.2326 	 -25.4243 	 -17.2890 	 -22.3363
 122.7965 	 -27.2596 	 -15.0320 	 -21.7494
 128.7826 	 -23.9549 	 -19.0950 	 -22.3017
 138.7027 	 -29.6442 	 -16.7380 	 -18.9831
 143.9810 	  28.0176 	 -10.3392 	 -18.0920
-121.4729 	  42.7859 	  0.7280 	  6.2358
-130.9152 	  58.9080 	  16.4330 	 -0.5536
-160.1963 	  29.4163 	  8.8510 	  3.6547
-143.1097 	  24.6341 	  32.3700 	  11.6232
 174.3152 	  45.5962 	 -7.2740 	 -8.0342
-134.6274 	  43.5395 	  7.1880 	  4.5604
-126.6300 	  43.4835 	  26.0155 	  5.5022
 136.6575 	  32.6778 	 -14.8102 	 -18.6971
 163.8954 	  48.5293 	 -17.3418 	 -10.7785
 120.1742 	 -17.1262 	 -4.3938 	 -25.9517
