data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -4.6410 	 -8.7163
-28.8574 	 -42.5230 	  7.9420 	 -3.1403
 3.5308 	  28.4585 	  3.9720 	 -4.4613
-94.3414 	  23.5932 	 -0.3873 	  12.5284
 124.9137 	 -20.3398 	 -28.9775 	 -23.1756
-98.7698 	  24.8511 	  7.6736 	  12.8284
 140.1430 	 -16.7669 	 -15.3720 	 -21.9020
 134.1592 	  49.7440 	 -29.6321 	 -16.0755
 133.9626 	 -28.7194 	 -18.2900 	 -19.5116
 92.1385 	 -25.3368 	 -13.9120 	 -19.2921
-82.8231 	 -35.4212 	  2.1629 	  6.5931
-21.8166 	 -26.7112 	  5.1297 	 -3.6833
-64.9271 	 -57.8266 	 -0.6889 	 -1.1635
 174.4627 	 -56.1555 	  3.6920 	 -8.7311
-98.9753 	 -41.3746 	  16.8299 	  6.5017
-99.3069 	 -40.9014 	  9.2340 	  6.6918
 120.0257 	 -19.5089 	 -68.5576 	 -23.7947
 122.2786 	 -23.1812 	 -21.2364 	 -22.3747
-93.0132 	 -41.9963 	  13.0320 	  5.8522
-21.4885 	 -56.6295 	 -10.2890 	 -5.4411
-85.6885 	 -27.3195 	  13.5294 	  9.3655
 114.4161 	 -18.4214 	 -5.0241 	 -24.1880
 123.7485 	 -50.1750 	 -13.4330 	 -17.0444
 110.9649 	 -28.3522 	 -18.9482 	 -21.1832
-11.2816 	  51.3746 	  0.8526 	 -5.9919
 35.9711 	 -29.8554 	  3.9881 	 -7.2877
 108.7632 	 -41.4245 	 -9.7696 	 -19.0266
 161.1387 	  42.8795 	 -8.7256 	 -11.5168
 123.0933 	 -45.4387 	 -8.7524 	 -17.8719
 148.8953 	 -29.7454 	 -7.6020 	 -15.8332
 2.7540 	  50.2640 	 -19.9980 	 -7.3878
 63.6699 	 -29.0700 	 -5.7670 	 -12.6977
 91.4892 	  47.9536 	 -39.4014 	 -17.4798
 100.2997 	  53.4783 	 -36.4358 	 -17.1016
 11.2091 	  54.6321 	 -10.1180 	 -8.7146
 98.2694 	  40.3757 	 -25.2954 	 -18.7650
 133.2357 	  42.4028 	 -22.4867 	 -17.2784
-72.5440 	  22.9475 	 -12.2484 	  6.7126
 83.0986 	 -45.4667 	 -8.9760 	 -16.9806
-179.1629 	 -59.4902 	 -8.7116 	 -7.8031
 10.3922 	  11.1635 	  8.1240 	  4.9393
 14.8922 	  50.1217 	  32.3919 	 -8.6887
 60.3421 	  42.9393 	 -13.0703 	 -13.9272
 107.3184 	 -45.3258 	 -15.6340 	 -18.4346
 123.9075 	 -37.4378 	 -11.8841 	 -19.1322
 138.2789 	  31.0327 	 -16.5810 	 -18.2414
-160.5093 	  33.1462 	  0.8400 	  1.8527
 179.7861 	  51.7091 	 -18.0588 	 -7.2877
-159.9165 	  53.2069 	 -32.7090 	 -3.2444
-113.4989 	  40.7487 	 -8.6930 	  7.0629
-107.7237 	  49.8783 	 -17.4910 	  3.6227
 120.5556 	  58.0478 	 -44.8414 	 -15.8992
 84.5149 	  42.1886 	 -47.4365 	 -17.3222
 47.4732 	 -44.8152 	  1.4820 	 -12.1733
-155.0729 	 -41.7563 	 -4.9260 	  0.8113
-102.0378 	 -28.5693 	  14.2390 	  11.6708
-73.6316 	 -27.1584 	  0.9560 	  6.4635
-51.4086 	  52.1613 	  5.6950 	 -1.4173
-9.6269 	 -32.6008 	  10.7606 	 -4.4249
-86.8105 	  33.0796 	  3.8800 	  7.9061
-154.5155 	 -46.3249 	 -16.5510 	 -0.3843
 33.8982 	  49.4575 	 -27.9940 	 -10.8340
-1.2673 	 -31.0031 	  4.8884 	 -4.6984
-14.1021 	 -58.3672 	 -9.3180 	 -6.4056
 106.6723 	 -34.6585 	 -21.7625 	 -19.9648
 117.0873 	 -31.5443 	 -16.4639 	 -20.5894
-98.7840 	 -40.9268 	  27.2770 	  6.6505
-4.8208 	 -50.8646 	  5.6400 	 -6.6385
 4.5093 	 -48.4647 	 -16.1930 	 -7.3835
-46.7076 	 -44.8373 	  0.6250 	 -0.9418
 121.2326 	 -25.4243 	 -17.2890 	 -21.7912
 122.7965 	 -27.2596 	 -15.0320 	 -21.2314
 128.7826 	 -23.9549 	 -19.0950 	 -21.5090
 138.7027 	 -29.6442 	 -16.7380 	 -18.4085
 143.9810 	  28.0176 	 -10.3392 	 -17.4598
-121.4729 	  42.7859 	  0.7280 	  5.8923
-130.9152 	  58.9080 	  16.4330 	 -0.7952
-160.1963 	  29.4163 	  8.8510 	  3.1446
-143.1097 	  24.6341 	  32.3700 	  10.6915
 174.3152 	  45.5962 	 -7.2740 	 -8.1028
-134.6274 	  43.5395 	  7.1880 	  4.2077
-126.6300 	  43.4835 	  26.0155 	  5.1871
 136.6575 	  32.6778 	 -14.8102 	 -18.2669
 163.8954 	  48.5293 	 -17.3418 	 -10.7803
 120.1742 	 -17.1262 	 -4.3938 	 -24.9225
