data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -5.2375 	 -14.9791
-28.8574 	 -42.5230 	  10.9400 	 -4.9903
 3.5308 	  28.4585 	 -7.4497 	 -7.7487
-94.3414 	  23.5932 	  35.3159 	  18.3977
 124.9137 	 -20.3398 	 -47.4066 	 -33.5240
-98.7698 	  24.8511 	  38.0489 	  18.5281
-125.8390 	  44.6222 	 -3.8684 	  5.7272
 140.1430 	 -16.7669 	 -27.3640 	 -30.7015
 114.0722 	 -36.2766 	  4.6495 	 -30.4721
 92.1385 	 -25.3368 	 -67.7062 	 -30.1737
-21.8166 	 -26.7112 	  22.8718 	 -4.9234
-64.9271 	 -57.8266 	 -2.3372 	 -2.6391
 94.0025 	  27.4170 	 -39.6249 	 -30.4140
 174.4627 	 -56.1555 	 -24.6027 	 -14.5229
-98.9753 	 -41.3746 	  14.7272 	  8.8583
-99.3069 	 -40.9014 	  13.1918 	  9.1418
 120.0257 	 -19.5089 	 -21.8407 	 -34.5097
 78.4261 	 -24.6985 	 -10.9842 	 -25.9997
-21.4885 	 -56.6295 	 -4.1015 	 -9.2472
-11.2816 	  51.3746 	 -20.1154 	 -10.0890
 35.9711 	 -29.8554 	 -4.1537 	 -13.5674
 108.7632 	 -41.4245 	 -27.3174 	 -29.6938
 161.1387 	  42.8795 	 -38.1352 	 -18.1662
 123.0933 	 -45.4387 	 -17.7323 	 -27.8553
 2.7540 	  50.2640 	 -25.6485 	 -12.5022
 63.6699 	 -29.0700 	  19.1205 	 -21.7147
 91.4892 	  47.9536 	 -48.2711 	 -27.9674
 75.9894 	 -34.2225 	 -28.5284 	 -26.1967
 100.2997 	  53.4783 	 -44.6134 	 -27.3274
 98.2694 	  40.3757 	 -38.7579 	 -29.5665
 133.2357 	  42.4028 	 -31.7791 	 -26.6908
-72.5440 	  22.9475 	  7.3880 	  11.2846
 83.0986 	 -45.4667 	 -21.2157 	 -27.3780
-179.1629 	 -59.4902 	 -24.1779 	 -13.2202
 10.3922 	  11.1635 	  23.6036 	  5.6948
 14.8922 	  50.1217 	 -42.2734 	 -14.7521
 60.3421 	  42.9393 	 -6.8748 	 -23.2014
 107.3184 	 -45.3258 	 -35.3172 	 -28.9878
 138.2789 	  31.0327 	 -32.8977 	 -27.2750
-160.5093 	  33.1462 	 -16.5225 	  1.2282
 179.7861 	  51.7091 	 -30.2340 	 -12.3073
-113.4989 	  40.7487 	  6.9985 	  9.3066
-107.7237 	  49.8783 	  25.5993 	  4.2191
-92.3694 	  52.7453 	  5.6320 	  2.3893
 120.5556 	  58.0478 	 -50.1075 	 -25.3806
-16.0216 	  47.2062 	 -18.5632 	 -8.4162
 84.5149 	  42.1886 	 -48.7785 	 -27.8388
 40.5381 	 -40.9564 	 -3.6510 	 -18.3125
 47.4732 	 -44.8152 	 -5.8357 	 -20.5602
-155.0729 	 -41.7563 	  2.7865 	 -0.3534
-86.5344 	 -30.6114 	  37.5558 	  12.7640
-102.0378 	 -28.5693 	 -7.6423 	  16.6076
-73.6316 	 -27.1584 	  13.7486 	  10.4501
-51.4086 	  52.1613 	 -3.2980 	 -2.7212
-9.6269 	 -32.6008 	  20.3629 	 -7.0760
-86.8105 	  33.0796 	  9.8300 	  11.6359
-154.5155 	 -46.3249 	  6.3025 	 -2.1349
 177.0833 	  39.9376 	 -12.6012 	 -11.3009
 33.8982 	  49.4575 	 -24.9960 	 -18.3388
 38.4023 	 -43.3339 	 -5.4848 	 -18.3169
-138.0213 	 -34.6503 	  4.8740 	  9.0217
-1.2673 	 -31.0031 	  22.6541 	 -7.8799
-14.1021 	 -58.3672 	 -6.9862 	 -10.8655
 106.6723 	 -34.6585 	 -17.7582 	 -30.8517
 117.0873 	 -31.5443 	 -33.3160 	 -31.2176
-98.7840 	 -40.9268 	  24.2958 	  9.0951
-4.8208 	 -50.8646 	  8.8806 	 -11.1993
 4.5093 	 -48.4647 	 -19.3414 	 -12.5142
-46.7076 	 -44.8373 	 -1.8970 	 -1.5917
 121.2326 	 -25.4243 	 -26.2830 	 -32.2963
 122.7965 	 -27.2596 	 -21.0849 	 -31.6100
 128.7826 	 -23.9549 	 -28.3416 	 -31.4748
 138.7027 	 -29.6442 	  0.5669 	 -27.3922
 143.9810 	  28.0176 	 -26.2964 	 -25.8272
-121.4729 	  42.7859 	  3.3701 	  7.3956
-130.9152 	  58.9080 	  12.2908 	 -2.7184
-160.1963 	  29.4163 	 -9.1370 	  3.1001
-143.1097 	  24.6341 	  15.0077 	  13.8143
-135.2466 	  28.3667 	 -23.7913 	  13.8768
 174.3152 	  45.5962 	 -4.4530 	 -13.3257
-134.6274 	  43.5395 	 -13.4703 	  4.7207
-126.6300 	  43.4835 	 -4.1654 	  6.2665
 136.6575 	  32.6778 	 -26.2370 	 -27.4653
 163.8954 	  48.5293 	 -53.9507 	 -17.3121
 120.1742 	 -17.1262 	 -36.7958 	 -35.7241
