data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -13.7108 	  52.2405
-28.8574 	 -42.5230 	  22.9320 	 -65.7835
 3.5308 	  28.4585 	 -7.4560 	  27.5837
-94.3414 	  23.5932 	 -12.4281 	  12.6363
 124.9137 	 -20.3398 	 -45.7238 	 -37.2325
-98.7698 	  24.8511 	  18.7863 	  18.0613
-125.8390 	  44.6222 	  8.0609 	  27.8173
 140.1430 	 -16.7669 	 -30.3620 	 -32.5733
 134.1592 	  49.7440 	 -43.2911 	 -39.1320
 133.9626 	 -28.7194 	 -11.8304 	 -41.0080
 114.0722 	 -36.2766 	 -14.3729 	 -42.5031
 92.1385 	 -25.3368 	 -25.7990 	 -20.3823
-21.8166 	 -26.7112 	 -3.6096 	 -80.1132
-64.9271 	 -57.8266 	 -6.5283 	 -16.5652
-161.5729 	  54.6252 	  2.1954 	  5.1531
 174.4627 	 -56.1555 	 -20.2920 	 -13.0147
-98.9753 	 -41.3746 	  22.0490 	  20.7127
-99.3069 	 -40.9014 	 -33.0366 	  21.0678
 120.0257 	 -19.5089 	 -33.9010 	 -35.5923
 122.2786 	 -23.1812 	 -26.3561 	 -39.0021
-85.6885 	 -27.3195 	  56.5266 	  4.3458
 114.4161 	 -18.4214 	 -25.2485 	 -32.3502
 123.7485 	 -50.1750 	 -7.4370 	 -40.6991
 110.9649 	 -28.3522 	 -3.3150 	 -38.5407
-11.2816 	  51.3746 	 -18.6298 	 -54.6143
 35.9711 	 -29.8554 	  14.2320 	  59.5635
 108.7632 	 -41.4245 	 -14.0404 	 -40.6433
 161.1387 	  42.8795 	 -1.2250 	 -24.8714
 123.0933 	 -45.4387 	  1.1807 	 -42.7237
 148.8953 	 -29.7454 	  49.0905 	 -33.9618
 2.7540 	  50.2640 	 -16.1851 	  13.7645
 63.6699 	 -29.0700 	 -37.4119 	  18.2580
 91.4892 	  47.9536 	 -23.1500 	 -28.4631
 100.2997 	  53.4783 	 -30.8740 	 -32.9283
 11.2091 	  54.6321 	 -38.8739 	  34.6443
 98.2694 	  40.3757 	 -32.5310 	 -34.2310
 133.2357 	  42.4028 	 -27.9106 	 -41.9606
-72.5440 	  22.9475 	 -34.7024 	 -19.1065
 83.0986 	 -45.4667 	 -4.8182 	 -20.2227
-179.1629 	 -59.4902 	 -10.1959 	 -8.6412
 10.3922 	  11.1635 	  12.0509 	  68.7804
 14.8922 	  50.1217 	 -3.1610 	  43.2549
 60.3421 	  42.9393 	 -11.2420 	  11.2544
 107.3184 	 -45.3258 	 -3.3680 	 -39.4032
 123.9075 	 -37.4378 	 -4.7961 	 -44.0236
 138.2789 	  31.0327 	 -13.9878 	 -40.1265
-160.5093 	  33.1462 	 -8.1540 	  13.5273
 179.7861 	  51.7091 	 -9.9973 	 -8.5668
-159.9165 	  53.2069 	 -29.7110 	  6.9887
-113.4989 	  40.7487 	 -20.5328 	  28.4842
-107.7237 	  49.8783 	 -8.4970 	  21.7199
 120.5556 	  58.0478 	 -23.2359 	 -35.6605
 84.5149 	  42.1886 	 -12.7570 	 -21.2418
 40.5381 	 -40.9564 	  5.3022 	  41.4983
 47.4732 	 -44.8152 	 -13.5080 	  28.5515
-155.0729 	 -41.7563 	 -16.9180 	  15.6970
-102.0378 	 -28.5693 	 -3.7490 	  22.6124
-73.6316 	 -27.1584 	  7.3928 	 -13.6304
-51.4086 	  52.1613 	 -21.2860 	 -34.3360
-9.6269 	 -32.6008 	  11.7410 	 -61.1551
-86.8105 	  33.0796 	  3.8800 	  8.4391
 33.8982 	  49.4575 	 -16.6986 	  39.9529
-1.2673 	 -31.0031 	 -16.4610 	 -21.1253
-14.1021 	 -58.3672 	 -12.5887 	 -51.6618
 106.6723 	 -34.6585 	 -8.6339 	 -38.8860
 117.0873 	 -31.5443 	  3.2588 	 -42.2566
-98.7840 	 -40.9268 	 -5.4386 	  20.6707
-4.8208 	 -50.8646 	  2.6420 	 -39.1644
 4.5093 	 -48.4647 	 -7.1990 	  22.7827
-46.7076 	 -44.8373 	  0.6250 	 -44.6531
 121.2326 	 -25.4243 	 -11.2930 	 -40.2740
 122.7965 	 -27.2596 	 -21.3354 	 -41.4764
 128.7826 	 -23.9549 	 -14.9762 	 -39.7662
 138.7027 	 -29.6442 	 -7.7440 	 -39.6154
 143.9810 	  28.0176 	 -17.0172 	 -36.5700
-121.4729 	  42.7859 	  15.0220 	  28.9192
-130.9152 	  58.9080 	 -8.5501 	  15.9452
-160.1963 	  29.4163 	 -24.1260 	  14.4206
-143.1097 	  24.6341 	  11.3850 	  26.9185
 174.3152 	  45.5962 	 -6.2518 	 -12.9487
-134.6274 	  43.5395 	  10.8611 	  26.5320
-126.6300 	  43.4835 	 -4.8398 	  28.3594
 136.6575 	  32.6778 	 -27.8730 	 -41.0785
 163.8954 	  48.5293 	 -54.4088 	 -21.9887
 120.1742 	 -17.1262 	 -13.9911 	 -33.3658
