data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	  1.3550 	  47.1914
-28.8574 	 -42.5230 	  37.9210 	 -54.8955
 3.5308 	  28.4585 	 -55.5233 	  27.6195
-94.3414 	  23.5932 	  22.8626 	  21.7796
 124.9137 	 -20.3398 	 -32.8372 	 -41.2988
-98.7698 	  24.8511 	  51.0510 	  27.1921
-125.8390 	  44.6222 	 -34.6630 	  37.2022
 140.1430 	 -16.7669 	 -6.7137 	 -35.2445
 134.1592 	  49.7440 	 -49.2726 	 -42.5699
 133.9626 	 -28.7194 	 -33.2800 	 -44.5093
 114.0722 	 -36.2766 	 -12.8839 	 -48.1179
 92.1385 	 -25.3368 	  12.4358 	 -26.9865
-82.8231 	 -35.4212 	  19.4753 	  15.8456
-21.8166 	 -26.7112 	 -13.5130 	 -72.6673
-64.9271 	 -57.8266 	  21.1555 	 -2.0478
-161.5729 	  54.6252 	  3.7136 	  10.5304
 94.0025 	  27.4170 	 -19.8772 	 -31.0060
 174.4627 	 -56.1555 	 -20.2920 	 -10.8903
-98.9753 	 -41.3746 	 -7.3304 	  32.3225
-99.3069 	 -40.9014 	 -12.5351 	  32.5978
 120.0257 	 -19.5089 	 -12.9160 	 -40.0028
 78.4261 	 -24.6985 	  21.4265 	 -7.9676
 122.2786 	 -23.1812 	 -8.9007 	 -43.4111
-93.0132 	 -41.9963 	 -12.5287 	  27.7381
-21.4885 	 -56.6295 	  5.7457 	 -44.5821
-85.6885 	 -27.3195 	  33.8271 	  14.5889
 114.4161 	 -18.4214 	 -22.9690 	 -37.1052
 123.7485 	 -50.1750 	 -24.4844 	 -45.3415
 110.9649 	 -28.3522 	 -44.7868 	 -44.1158
-11.2816 	  51.3746 	 -58.4890 	 -46.5795
 35.9711 	 -29.8554 	 -2.5440 	  53.2302
 108.7632 	 -41.4245 	  6.1724 	 -46.8492
 161.1387 	  42.8795 	 -13.1585 	 -25.0361
 123.0933 	 -45.4387 	 -9.1347 	 -47.5167
 148.8953 	 -29.7454 	  22.0853 	 -35.8752
 2.7540 	  50.2640 	 -14.9824 	  14.6065
 63.6699 	 -29.0700 	  10.9980 	  10.6460
 91.4892 	  47.9536 	 -21.7107 	 -36.0968
 75.9894 	 -34.2225 	  3.8005 	 -14.1318
 100.2997 	  53.4783 	 -63.8510 	 -39.8071
 11.2091 	  54.6321 	 -37.0990 	  31.9870
 98.2694 	  40.3757 	 -33.6482 	 -41.2676
 133.2357 	  42.4028 	 -44.4610 	 -45.6320
-72.5440 	  22.9475 	  8.5979 	 -9.3607
 83.0986 	 -45.4667 	  5.9085 	 -28.3196
-179.1629 	 -59.4902 	 -38.7288 	 -5.5296
 88.2156 	 -55.5642 	  24.6809 	 -31.6839
 10.3922 	  11.1635 	 -2.4403 	  66.8086
 14.8922 	  50.1217 	 -65.7112 	  39.6246
 60.3421 	  42.9393 	 -30.3773 	  2.7638
 107.3184 	 -45.3258 	 -6.7265 	 -45.7757
 123.9075 	 -37.4378 	 -8.1540 	 -48.7046
 138.2789 	  31.0327 	 -39.7890 	 -43.2088
-160.5093 	  33.1462 	  0.8400 	  17.8379
 179.7861 	  51.7091 	 -19.9401 	 -5.8658
-159.9165 	  53.2069 	 -16.5814 	  12.5446
-113.4989 	  40.7487 	  3.2990 	  38.7863
-107.7237 	  49.8783 	  6.4920 	  33.3445
-92.3694 	  52.7453 	  21.6022 	  24.1238
 120.5556 	  58.0478 	 -32.6292 	 -40.3313
-16.0216 	  47.2062 	 -42.9723 	 -53.7717
 84.5149 	  42.1886 	 -41.4104 	 -29.1836
 40.5381 	 -40.9564 	  17.1945 	  34.0358
 47.4732 	 -44.8152 	 -0.1240 	  20.3956
-155.0729 	 -41.7563 	 -13.5640 	  21.3191
-86.5344 	 -30.6114 	  25.7458 	  17.9639
-102.0378 	 -28.5693 	  14.3183 	  32.1810
-73.6316 	 -27.1584 	  74.0384 	 -3.0634
-51.4086 	  52.1613 	  8.6930 	 -20.2711
-9.6269 	 -32.6008 	  55.7135 	 -55.5637
-86.8105 	  33.0796 	  56.6240 	  19.6360
-154.5155 	 -46.3249 	  2.3322 	  20.1699
 177.0833 	  39.9376 	 -81.1523 	 -7.9347
 33.8982 	  49.4575 	 -22.8111 	  32.7764
 38.4023 	 -43.3339 	  18.6284 	  34.2449
-138.0213 	 -34.6503 	  22.7831 	  35.6989
-1.2673 	 -31.0031 	  34.8741 	 -18.5985
-14.1021 	 -58.3672 	 -0.9545 	 -42.0686
 106.6723 	 -34.6585 	 -16.0412 	 -45.0829
 117.0873 	 -31.5443 	 -12.8572 	 -47.4517
-98.7840 	 -40.9268 	 -0.9002 	  32.2427
-4.8208 	 -50.8646 	  18.8528 	 -33.6114
 4.5093 	 -48.4647 	  10.6337 	  22.7614
-46.7076 	 -44.8373 	  24.6090 	 -31.6341
 121.2326 	 -25.4243 	 -33.5647 	 -44.8680
 122.7965 	 -27.2596 	 -40.1739 	 -46.0050
 128.7826 	 -23.9549 	 -25.3850 	 -43.6405
 138.7027 	 -29.6442 	 -10.7420 	 -42.6393
 143.9810 	  28.0176 	 -42.8551 	 -39.0210
-121.4729 	  42.7859 	 -8.2660 	  38.6221
-130.9152 	  58.9080 	  30.6603 	  25.3390
-160.1963 	  29.4163 	  12.3966 	  18.4666
-143.1097 	  24.6341 	  19.4511 	  32.3370
