data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -16.6320 	  40.0703
-28.8574 	 -42.5230 	  10.9400 	 -51.9495
 3.5308 	  28.4585 	 -28.4410 	  24.9764
-94.3414 	  23.5932 	  6.3760 	  24.9982
-98.7698 	  24.8511 	 -17.9010 	  30.3131
 92.1385 	 -25.3368 	 -28.7970 	 -33.3658
-21.8166 	 -26.7112 	  9.4901 	 -70.7437
-161.5729 	  54.6252 	  5.5991 	  9.2747
-98.9753 	 -41.3746 	  15.3060 	  35.8247
-99.3069 	 -40.9014 	 -32.7370 	  36.0803
 120.0257 	 -19.5089 	  20.0610 	 -44.4593
 122.2786 	 -23.1812 	 -23.1650 	 -48.2530
-93.0132 	 -41.9963 	  13.3855 	  31.5086
-21.4885 	 -56.6295 	  7.6990 	 -42.1899
-85.6885 	 -27.3195 	 -13.4380 	  18.2011
 114.4161 	 -18.4214 	 -11.2280 	 -41.6459
 110.9649 	 -28.3522 	 -11.5981 	 -50.1862
-11.2816 	  51.3746 	 -37.9558 	 -45.9762
 35.9711 	 -29.8554 	  28.0721 	  46.5823
 108.7632 	 -41.4245 	 -23.7040 	 -54.5217
 161.1387 	  42.8795 	 -13.2170 	 -29.0320
 148.8953 	 -29.7454 	 -4.6050 	 -39.8503
 2.7540 	  50.2640 	 -14.0020 	  10.7398
 63.6699 	 -29.0700 	  0.2290 	  3.2775
 91.4892 	  47.9536 	 -47.5575 	 -45.1981
 100.2997 	  53.4783 	 -79.0314 	 -48.8285
 11.2091 	  54.6321 	 -46.3845 	  25.6081
 98.2694 	  40.3757 	  3.4440 	 -49.3696
 133.2357 	  42.4028 	 -0.7300 	 -51.7948
-72.5440 	  22.9475 	  25.3760 	 -5.7436
 83.0986 	 -45.4667 	 -23.9660 	 -37.5162
-179.1629 	 -59.4902 	 -35.9780 	 -8.4996
 88.2156 	 -55.5642 	 -31.6159 	 -41.3828
 10.3922 	  11.1635 	 -27.8510 	  64.6732
 14.8922 	  50.1217 	 -27.1440 	  32.9325
 123.9075 	 -37.4378 	 -11.1520 	 -55.0806
-160.5093 	  33.1462 	 -2.8208 	  17.3904
-159.9165 	  53.2069 	 -59.6910 	  11.4840
-107.7237 	  49.8783 	  0.4970 	  36.3430
 84.5149 	  42.1886 	 -3.7630 	 -38.0084
 47.4732 	 -44.8152 	 -10.5100 	  11.2269
-102.0378 	 -28.5693 	 -0.7510 	  35.2983
-73.6316 	 -27.1584 	  36.9310 	  0.7518
-51.4086 	  52.1613 	 -18.2880 	 -15.8438
-9.6269 	 -32.6008 	  33.4145 	 -55.2225
-86.8105 	  33.0796 	  129.7930 	  23.4300
 33.8982 	  49.4575 	 -24.8651 	  23.8667
-1.2673 	 -31.0031 	  10.5200 	 -19.9818
-14.1021 	 -58.3672 	  21.7889 	 -40.8202
 106.6723 	 -34.6585 	 -6.7470 	 -52.1458
-98.7840 	 -40.9268 	 -8.6980 	  35.7499
-4.8208 	 -50.8646 	  29.6230 	 -34.5549
 4.5093 	 -48.4647 	  19.7820 	  18.4737
 121.2326 	 -25.4243 	 -83.2430 	 -50.0503
 138.7027 	 -29.6442 	 -40.7210 	 -47.2828
 143.9810 	  28.0176 	 -46.7110 	 -43.1622
-130.9152 	  58.9080 	  9.1680 	  26.4377
-160.1963 	  29.4163 	 -15.1330 	  18.1574
-143.1097 	  24.6341 	  65.3470 	  33.2483
 174.3152 	  45.5962 	 -54.5230 	 -14.2574
-134.6274 	  43.5395 	  1.0819 	  36.1008
 136.6575 	  32.6778 	 -38.2280 	 -49.4269
 120.1742 	 -17.1262 	 -29.0154 	 -41.7528
