data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -4.6410 	  50.5675
-28.8574 	 -42.5230 	  10.2500 	 -64.3211
 3.5308 	  28.4585 	  13.5300 	  27.1145
 124.9137 	 -20.3398 	 -11.4140 	 -38.3901
-98.7698 	  24.8511 	  9.5936 	  19.4516
 140.1430 	 -16.7669 	 -20.9135 	 -33.3977
 134.1592 	  49.7440 	 -12.6020 	 -40.5516
 133.9626 	 -28.7194 	 -0.3020 	 -42.1762
 114.0722 	 -36.2766 	 -5.6760 	 -44.1893
 92.1385 	 -25.3368 	 -7.8110 	 -22.1165
-82.8231 	 -35.4212 	 -0.8350 	  5.8302
-21.8166 	 -26.7112 	  23.6784 	 -79.0837
-64.9271 	 -57.8266 	  3.3690 	 -14.5829
-161.5729 	  54.6252 	 -40.6271 	  5.3958
 94.0025 	  27.4170 	 -79.4430 	 -26.1213
 174.4627 	 -56.1555 	 -11.2980 	 -13.4183
-98.9753 	 -41.3746 	 -11.6750 	  22.3290
-99.3069 	 -40.9014 	 -56.4414 	  22.6751
 120.0257 	 -19.5089 	 -6.9200 	 -36.8061
 78.4261 	 -24.6985 	 -23.7030 	 -2.7110
 122.2786 	 -23.1812 	 -23.1806 	 -40.2699
-93.0132 	 -41.9963 	  1.0399 	  17.3405
-21.4885 	 -56.6295 	 -1.2950 	 -54.4645
-85.6885 	 -27.3195 	 -7.4420 	  5.9137
 114.4161 	 -18.4214 	 -12.6119 	 -33.6166
 123.7485 	 -50.1750 	 -28.4220 	 -42.3575
 110.9649 	 -28.3522 	 -42.5761 	 -40.1131
-11.2816 	  51.3746 	 -4.5270 	 -53.8184
 35.9711 	 -29.8554 	  15.1739 	  57.8173
 108.7632 	 -41.4245 	 -11.7120 	 -42.5090
 161.1387 	  42.8795 	 -10.2190 	 -25.5747
 123.0933 	 -45.4387 	 -25.4103 	 -44.3602
 2.7540 	  50.2640 	  0.9880 	  13.1701
 63.6699 	 -29.0700 	 -13.9799 	  16.2724
 91.4892 	  47.9536 	 -11.1580 	 -30.6803
 75.9894 	 -34.2225 	 -10.9930 	 -8.3645
 100.2997 	  53.4783 	 -73.5790 	 -35.0537
 11.2091 	  54.6321 	 -19.1110 	  33.3256
 98.2694 	  40.3757 	 -43.6265 	 -36.2466
 133.2357 	  42.4028 	 -34.1045 	 -43.3429
-72.5440 	  22.9475 	  16.5665 	 -17.5595
 83.0986 	 -45.4667 	 -14.9720 	 -22.5037
-179.1629 	 -59.4902 	 -17.9910 	 -8.8837
 10.3922 	  11.1635 	  11.1220 	  68.1827
 60.3421 	  42.9393 	  0.7490 	  8.9241
 107.3184 	 -45.3258 	 -0.3700 	 -41.3463
 123.9075 	 -37.4378 	 -29.1390 	 -45.5417
 138.2789 	  31.0327 	 -26.8210 	 -41.2448
-160.5093 	  33.1462 	 -5.1560 	  13.8326
 179.7861 	  51.7091 	 -3.2530 	 -8.8137
-159.9165 	  53.2069 	 -47.6990 	  7.2807
-113.4989 	  40.7487 	 -14.6880 	  29.8536
-107.7237 	  49.8783 	 -38.4760 	  23.2285
-92.3694 	  52.7453 	 -21.3490 	  12.8183
 120.5556 	  58.0478 	 -19.1950 	 -37.3986
-16.0216 	  47.2062 	 -2.4780 	 -61.6942
 84.5149 	  42.1886 	 -18.7530 	 -23.4557
 40.5381 	 -40.9564 	 -3.6510 	  39.3902
 47.4732 	 -44.8152 	  10.4760 	  26.2649
-155.0729 	 -41.7563 	  4.0680 	  16.1381
-86.5344 	 -30.6114 	 -10.5690 	  8.7899
-102.0378 	 -28.5693 	 -0.7510 	  24.0256
-73.6316 	 -27.1584 	 -17.0898 	 -11.9952
-51.4086 	  52.1613 	  29.6790 	 -32.3796
-9.6269 	 -32.6008 	  2.2030 	 -60.5854
-86.8105 	  33.0796 	  21.8670 	  10.0994
-154.5155 	 -46.3249 	 -19.5490 	  14.6478
 177.0833 	  39.9376 	  0.6990 	 -10.0542
 33.8982 	  49.4575 	 -7.0080 	  37.8075
 38.4023 	 -43.3339 	  10.4620 	  39.5156
-1.2673 	 -31.0031 	  19.0029 	 -21.1375
-14.1021 	 -58.3672 	  5.6720 	 -50.6377
 106.6723 	 -34.6585 	  5.2450 	 -40.6656
 117.0873 	 -31.5443 	 -8.4040 	 -43.7979
-98.7840 	 -40.9268 	 -2.7020 	  22.2859
-4.8208 	 -50.8646 	 -0.3560 	 -38.8456
 4.5093 	 -48.4647 	 -7.1990 	  22.0394
-46.7076 	 -44.8373 	  3.6230 	 -42.8078
 121.2326 	 -25.4243 	 -23.2850 	 -41.6110
 122.7965 	 -27.2596 	 -30.0210 	 -42.8267
 128.7826 	 -23.9549 	 -28.0890 	 -40.9392
 138.7027 	 -29.6442 	 -28.7300 	 -40.7026
 143.9810 	  28.0176 	 -34.7190 	 -37.5209
-121.4729 	  42.7859 	 -17.2600 	  30.1435
-130.9152 	  58.9080 	 -29.8050 	  16.9251
-160.1963 	  29.4163 	 -6.1390 	  14.7305
-143.1097 	  24.6341 	  2.3910 	  27.5767
 174.3152 	  45.5962 	 -9.5540 	 -13.3199
-134.6274 	  43.5395 	 -4.8030 	  27.4708
 136.6575 	  32.6778 	 -24.2633 	 -42.2569
 120.1742 	 -17.1262 	 -14.0885 	 -34.5158
