data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -4.6410 	  51.6891
-28.8574 	 -42.5230 	  7.9420 	 -56.8018
 3.5308 	  28.4585 	  3.9720 	  30.4952
-94.3414 	  23.5932 	 -0.3873 	  15.1358
 124.9137 	 -20.3398 	 -28.9775 	 -34.5415
-98.7698 	  24.8511 	  7.6736 	  21.1413
 140.1430 	 -16.7669 	 -15.3720 	 -29.6549
 134.1592 	  49.7440 	 -29.6321 	 -39.7469
 133.9626 	 -28.7194 	 -18.2900 	 -39.5666
 92.1385 	 -25.3368 	 -13.9120 	 -18.7562
-82.8231 	 -35.4212 	  2.1629 	  12.0212
-21.8166 	 -26.7112 	  5.1297 	 -77.4618
-64.9271 	 -57.8266 	 -0.6889 	 -0.3583
 174.4627 	 -56.1555 	  3.6920 	 -8.9380
-98.9753 	 -41.3746 	  16.8299 	  30.4926
-99.3069 	 -40.9014 	  9.2340 	  30.6653
 120.0257 	 -19.5089 	 -68.5576 	 -32.6740
 122.2786 	 -23.1812 	 -21.2364 	 -36.8241
-93.0132 	 -41.9963 	  13.0320 	  25.8994
-21.4885 	 -56.6295 	 -10.2890 	 -43.2474
-85.6885 	 -27.3195 	  13.5294 	  8.5884
 114.4161 	 -18.4214 	 -5.0241 	 -29.1006
 123.7485 	 -50.1750 	 -13.4330 	 -42.3572
 110.9649 	 -28.3522 	 -18.9482 	 -37.5223
-11.2816 	  51.3746 	  0.8526 	 -46.0751
 35.9711 	 -29.8554 	  3.9881 	  60.7858
 108.7632 	 -41.4245 	 -9.7696 	 -42.3058
 161.1387 	  42.8795 	 -8.7256 	 -22.6690
 123.0933 	 -45.4387 	 -8.7524 	 -43.9744
 148.8953 	 -29.7454 	 -7.6020 	 -32.1821
 2.7540 	  50.2640 	 -19.9980 	  17.0094
 63.6699 	 -29.0700 	 -5.7670 	  18.8875
 91.4892 	  47.9536 	 -39.4014 	 -32.2500
 100.2997 	  53.4783 	 -36.4358 	 -36.9546
 11.2091 	  54.6321 	 -10.1180 	  34.6979
 98.2694 	  40.3757 	 -25.2954 	 -36.2168
 133.2357 	  42.4028 	 -22.4867 	 -42.0957
-72.5440 	  22.9475 	 -12.2484 	 -17.0644
 83.0986 	 -45.4667 	 -8.9760 	 -23.8848
-179.1629 	 -59.4902 	 -8.7116 	 -3.5624
 10.3922 	  11.1635 	  8.1240 	  72.5612
 14.8922 	  50.1217 	  32.3919 	  42.9867
 60.3421 	  42.9393 	 -13.0703 	  7.9777
 107.3184 	 -45.3258 	 -15.6340 	 -41.7998
 123.9075 	 -37.4378 	 -11.8841 	 -44.1944
 138.2789 	  31.0327 	 -16.5810 	 -38.8229
-160.5093 	  33.1462 	  0.8400 	  17.6779
 179.7861 	  51.7091 	 -18.0588 	 -4.0673
-159.9165 	  53.2069 	 -32.7090 	  14.0505
-113.4989 	  40.7487 	 -8.6930 	  37.2862
-107.7237 	  49.8783 	 -17.4910 	  33.5487
 120.5556 	  58.0478 	 -44.8414 	 -38.1324
 84.5149 	  42.1886 	 -47.4365 	 -24.1318
 47.4732 	 -44.8152 	  1.4820 	  25.2277
-155.0729 	 -41.7563 	 -4.9260 	  21.6955
-102.0378 	 -28.5693 	  14.2390 	  27.2929
-73.6316 	 -27.1584 	  0.9560 	 -9.4912
-51.4086 	  52.1613 	  5.6950 	 -19.9657
-9.6269 	 -32.6008 	  10.7606 	 -57.4726
-86.8105 	  33.0796 	  3.8800 	  15.2888
-154.5155 	 -46.3249 	 -16.5510 	  20.9750
 33.8982 	  49.4575 	 -27.9940 	  36.6021
-1.2673 	 -31.0031 	  4.8884 	 -18.1983
-14.1021 	 -58.3672 	 -9.3180 	 -40.4232
 106.6723 	 -34.6585 	 -21.7625 	 -39.3383
 117.0873 	 -31.5443 	 -16.4639 	 -41.7439
-98.7840 	 -40.9268 	  27.2770 	  30.3009
-4.8208 	 -50.8646 	  5.6400 	 -32.7134
 4.5093 	 -48.4647 	 -16.1930 	  25.4739
-46.7076 	 -44.8373 	  0.6250 	 -33.2355
 121.2326 	 -25.4243 	 -17.2890 	 -38.5242
 122.7965 	 -27.2596 	 -15.0320 	 -40.0433
 128.7826 	 -23.9549 	 -19.0950 	 -37.7114
 138.7027 	 -29.6442 	 -16.7380 	 -38.1507
 143.9810 	  28.0176 	 -10.3392 	 -34.8046
-121.4729 	  42.7859 	  0.7280 	  37.8062
-130.9152 	  58.9080 	  16.4330 	  27.1460
-160.1963 	  29.4163 	  8.8510 	  17.9192
-143.1097 	  24.6341 	  32.3700 	  29.6692
 174.3152 	  45.5962 	 -7.2740 	 -9.4055
-134.6274 	  43.5395 	  7.1880 	  34.5990
-126.6300 	  43.4835 	  26.0155 	  37.0497
 136.6575 	  32.6778 	 -14.8102 	 -40.0150
 163.8954 	  48.5293 	 -17.3418 	 -19.4391
 120.1742 	 -17.1262 	 -4.3938 	 -29.9597
