data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -9.8794 	  44.5533
-28.8574 	 -42.5230 	  28.9280 	 -55.0771
 3.5308 	  28.4585 	 -50.0778 	  24.0478
-94.3414 	  23.5932 	  13.3101 	  30.6934
 124.9137 	 -20.3398 	 -46.2797 	 -50.4012
-98.7698 	  24.8511 	  28.2411 	  35.0490
-125.8390 	  44.6222 	  19.0661 	  35.0372
 140.1430 	 -16.7669 	 -27.3640 	 -43.1992
 134.1592 	  49.7440 	 -27.5920 	 -42.6667
 133.9626 	 -28.7194 	 -17.1363 	 -49.8785
 114.0722 	 -36.2766 	 -13.7200 	 -52.0859
 92.1385 	 -25.3368 	 -7.4612 	 -37.0297
-82.8231 	 -35.4212 	  8.6719 	  18.4411
-21.8166 	 -26.7112 	  1.3680 	 -66.0772
-64.9271 	 -57.8266 	  8.3563 	 -10.7263
-161.5729 	  54.6252 	 -37.0640 	  7.5113
 174.4627 	 -56.1555 	 -12.5972 	 -12.4617
-98.9753 	 -41.3746 	 -34.3481 	  31.4819
-99.3069 	 -40.9014 	  17.1289 	  31.9792
 120.0257 	 -19.5089 	 -24.9080 	 -50.0577
 122.2786 	 -23.1812 	 -36.5487 	 -51.7750
-93.0132 	 -41.9963 	 -16.4274 	  26.6441
-21.4885 	 -56.6295 	  4.5620 	 -50.5907
-85.6885 	 -27.3195 	  15.3683 	  21.8232
 114.4161 	 -18.4214 	 -64.9740 	 -48.3332
 123.7485 	 -50.1750 	 -22.8728 	 -44.9839
 110.9649 	 -28.3522 	 -19.6558 	 -51.4238
-11.2816 	  51.3746 	 -43.9981 	 -49.2180
 35.9711 	 -29.8554 	  26.1983 	  44.6243
 108.7632 	 -41.4245 	 -1.7453 	 -48.9972
 161.1387 	  42.8795 	 -19.3986 	 -26.6304
 123.0933 	 -45.4387 	  5.5510 	 -48.3836
 148.8953 	 -29.7454 	  4.1517 	 -39.7399
 2.7540 	  50.2640 	 -14.0020 	  12.6949
 63.6699 	 -29.0700 	  10.2523 	  1.4525
 91.4892 	  47.9536 	 -71.7853 	 -35.6644
 75.9894 	 -34.2225 	 -33.7981 	 -20.2387
 100.2997 	  53.4783 	 -75.1028 	 -37.6557
 11.2091 	  54.6321 	 -34.1010 	  31.8455
 98.2694 	  40.3757 	 -31.8619 	 -43.9433
 133.2357 	  42.4028 	 -54.6920 	 -47.3449
-72.5440 	  22.9475 	  14.3900 	  1.1905
 83.0986 	 -45.4667 	 -9.1585 	 -28.8667
-179.1629 	 -59.4902 	 -32.4553 	 -7.6100
 88.2156 	 -55.5642 	  17.7906 	 -28.4054
 10.3922 	  11.1635 	 -14.8219 	  57.7009
 14.8922 	  50.1217 	 -12.1550 	  38.6197
 60.3421 	  42.9393 	 -31.7573 	  0.8159
 107.3184 	 -45.3258 	  10.6019 	 -46.5097
 123.9075 	 -37.4378 	 -15.6275 	 -51.9623
 138.2789 	  31.0327 	 -66.5488 	 -47.6096
-160.5093 	  33.1462 	 -14.1500 	  17.8002
 179.7861 	  51.7091 	 -11.7615 	 -7.6907
-159.9165 	  53.2069 	 -77.6780 	  9.5845
-113.4989 	  40.7487 	  7.9344 	  38.0822
-92.3694 	  52.7453 	  16.7363 	  18.2167
 120.5556 	  58.0478 	 -31.4764 	 -38.0909
 84.5149 	  42.1886 	 -24.9960 	 -31.1989
 40.5381 	 -40.9564 	  32.6289 	  30.6638
 47.4732 	 -44.8152 	  5.2330 	  19.0804
-155.0729 	 -41.7563 	 -1.9280 	  19.9349
-86.5344 	 -30.6114 	  32.0384 	  23.2072
-102.0378 	 -28.5693 	  10.6069 	  37.7587
-73.6316 	 -27.1584 	  65.2698 	  4.7879
-51.4086 	  52.1613 	 -3.2980 	 -26.2267
-9.6269 	 -32.6008 	  49.4475 	 -53.0390
-86.8105 	  33.0796 	  57.9966 	  23.4423
-154.5155 	 -46.3249 	  6.2496 	  17.9799
 33.8982 	  49.4575 	 -29.1467 	  33.0397
-138.0213 	 -34.6503 	  46.5046 	  36.5457
-1.2673 	 -31.0031 	  39.6964 	 -18.7513
-14.1021 	 -58.3672 	  5.6720 	 -47.5872
 106.6723 	 -34.6585 	 -10.4100 	 -49.9607
 117.0873 	 -31.5443 	 -45.4701 	 -53.0729
-98.7840 	 -40.9268 	 -2.7020 	  31.6176
-4.8208 	 -50.8646 	  23.1214 	 -35.4979
 4.5093 	 -48.4647 	 -24.6295 	  20.6980
-46.7076 	 -44.8373 	  12.6170 	 -33.6040
 121.2326 	 -25.4243 	 -23.2850 	 -52.4939
 122.7965 	 -27.2596 	 -37.6898 	 -52.8087
 128.7826 	 -23.9549 	 -32.7405 	 -51.0077
 138.7027 	 -29.6442 	 -36.3326 	 -47.3644
 143.9810 	  28.0176 	 -64.6990 	 -43.6793
-121.4729 	  42.7859 	  35.6648 	  37.0755
-160.1963 	  29.4163 	  5.8530 	  19.1074
-143.1097 	  24.6341 	  2.3910 	  35.9219
 174.3152 	  45.5962 	 -6.5560 	 -12.8232
-134.6274 	  43.5395 	 -41.3905 	  33.0462
-126.6300 	  43.4835 	  23.2809 	  35.7795
 136.6575 	  32.6778 	 -44.0237 	 -48.4315
 163.8954 	  48.5293 	 -45.8890 	 -22.8432
 120.1742 	 -17.1262 	 -55.1861 	 -48.6186
