data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	  1.3550 	 -10.9027
-28.8574 	 -42.5230 	  37.9210 	 -0.3998
 3.5308 	  28.4585 	 -55.5233 	 -5.0799
-94.3414 	  23.5932 	  22.8626 	  16.8060
 124.9137 	 -20.3398 	 -32.8372 	 -25.2269
-98.7698 	  24.8511 	  51.0510 	  16.8415
-125.8390 	  44.6222 	 -34.6630 	  7.3265
 140.1430 	 -16.7669 	 -6.7137 	 -22.8060
 134.1592 	  49.7440 	 -49.2726 	 -18.2275
 133.9626 	 -28.7194 	 -33.2800 	 -21.6161
 114.0722 	 -36.2766 	 -12.8839 	 -23.1319
 92.1385 	 -25.3368 	  12.4358 	 -23.8241
-82.8231 	 -35.4212 	  19.4753 	  11.2177
-21.8166 	 -26.7112 	 -13.5130 	 -0.2363
-64.9271 	 -57.8266 	  21.1555 	  1.7519
-161.5729 	  54.6252 	  3.7136 	 -3.1391
 94.0025 	  27.4170 	 -19.8772 	 -23.9167
 174.4627 	 -56.1555 	 -20.2920 	 -9.0403
-98.9753 	 -41.3746 	 -7.3304 	  10.2712
-99.3069 	 -40.9014 	 -12.5351 	  10.4687
 120.0257 	 -19.5089 	 -12.9160 	 -26.0482
 78.4261 	 -24.6985 	  21.4265 	 -21.2523
 122.2786 	 -23.1812 	 -8.9007 	 -24.8326
-93.0132 	 -41.9963 	 -12.5287 	  9.8008
-21.4885 	 -56.6295 	  5.7457 	 -4.0959
-85.6885 	 -27.3195 	  33.8271 	  14.1910
 114.4161 	 -18.4214 	 -22.9690 	 -26.6730
 123.7485 	 -50.1750 	 -24.4844 	 -19.6222
 110.9649 	 -28.3522 	 -44.7868 	 -24.5987
-11.2816 	  51.3746 	 -58.4890 	 -5.1481
 35.9711 	 -29.8554 	 -2.5440 	 -11.9088
 108.7632 	 -41.4245 	  6.1724 	 -22.5083
 161.1387 	  42.8795 	 -13.1585 	 -12.4749
 123.0933 	 -45.4387 	 -9.1347 	 -20.6138
 148.8953 	 -29.7454 	  22.0853 	 -17.2228
 2.7540 	  50.2640 	 -14.9824 	 -7.6886
 63.6699 	 -29.0700 	  10.9980 	 -18.2767
 91.4892 	  47.9536 	 -21.7107 	 -21.2419
 75.9894 	 -34.2225 	  3.8005 	 -21.0317
 100.2997 	  53.4783 	 -63.8510 	 -20.2982
 11.2091 	  54.6321 	 -37.0990 	 -9.6022
 98.2694 	  40.3757 	 -33.6482 	 -22.7178
 133.2357 	  42.4028 	 -44.4610 	 -19.5921
-72.5440 	  22.9475 	  8.5979 	  12.3685
 83.0986 	 -45.4667 	  5.9085 	 -21.0777
-179.1629 	 -59.4902 	 -38.7288 	 -7.8451
 88.2156 	 -55.5642 	  24.6809 	 -19.6378
 10.3922 	  11.1635 	 -2.4403 	 -0.4433
 14.8922 	  50.1217 	 -65.7112 	 -9.9966
 60.3421 	  42.9393 	 -30.3773 	 -18.2606
 107.3184 	 -45.3258 	 -6.7265 	 -21.8415
 123.9075 	 -37.4378 	 -8.1540 	 -21.9362
 138.2789 	  31.0327 	 -39.7890 	 -20.1962
-160.5093 	  33.1462 	  0.8400 	  2.6777
 179.7861 	  51.7091 	 -19.9401 	 -7.3663
-159.9165 	  53.2069 	 -16.5814 	 -2.4242
-113.4989 	  40.7487 	  3.2990 	  10.2323
-107.7237 	  49.8783 	  6.4920 	  6.6757
-92.3694 	  52.7453 	  21.6022 	  5.5409
 120.5556 	  58.0478 	 -32.6292 	 -18.2562
-16.0216 	  47.2062 	 -42.9723 	 -3.6673
 84.5149 	  42.1886 	 -41.4104 	 -21.6110
 40.5381 	 -40.9564 	  17.1945 	 -14.4460
 47.4732 	 -44.8152 	 -0.1240 	 -15.9592
-155.0729 	 -41.7563 	 -13.5640 	  1.9439
-86.5344 	 -30.6114 	  25.7458 	  13.2781
-102.0378 	 -28.5693 	  14.3183 	  15.5477
-73.6316 	 -27.1584 	  74.0384 	  11.8545
-51.4086 	  52.1613 	  8.6930 	  1.7189
-9.6269 	 -32.6008 	  55.7135 	 -3.1160
-86.8105 	  33.0796 	  56.6240 	  12.4986
-154.5155 	 -46.3249 	  2.3322 	  0.7548
 177.0833 	  39.9376 	 -81.1523 	 -7.0188
 33.8982 	  49.4575 	 -22.8111 	 -13.5293
 38.4023 	 -43.3339 	  18.6284 	 -14.1671
-138.0213 	 -34.6503 	  22.7831 	  9.1434
-1.2673 	 -31.0031 	  34.8741 	 -4.5532
-14.1021 	 -58.3672 	 -0.9545 	 -5.5847
 106.6723 	 -34.6585 	 -16.0412 	 -23.6754
 117.0873 	 -31.5443 	 -12.8572 	 -23.7168
-98.7840 	 -40.9268 	 -0.9002 	  10.4465
-4.8208 	 -50.8646 	  18.8528 	 -6.3065
 4.5093 	 -48.4647 	  10.6337 	 -7.8523
-46.7076 	 -44.8373 	  24.6090 	  2.6859
 121.2326 	 -25.4243 	 -33.5647 	 -24.4579
 122.7965 	 -27.2596 	 -40.1739 	 -23.8976
 128.7826 	 -23.9549 	 -25.3850 	 -23.6464
 138.7027 	 -29.6442 	 -10.7420 	 -20.2984
 143.9810 	  28.0176 	 -42.8551 	 -19.0265
-121.4729 	  42.7859 	 -8.2660 	  8.6450
-130.9152 	  58.9080 	  30.6603 	  1.0304
-160.1963 	  29.4163 	  12.3966 	  3.9262
-143.1097 	  24.6341 	  19.4511 	  12.0686
-135.2466 	  28.3667 	 -9.1208 	  12.5291
 174.3152 	  45.5962 	 -27.6729 	 -8.4341
-134.6274 	  43.5395 	  31.6443 	  6.3227
-126.6300 	  43.4835 	  23.1027 	  7.6841
 136.6575 	  32.6778 	 -31.3808 	 -20.3473
 163.8954 	  48.5293 	 -58.2165 	 -11.5954
 120.1742 	 -17.1262 	 -24.5370 	 -26.8514
