data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -16.6320 	 -15.2248
-28.8574 	 -42.5230 	  10.9400 	 -1.0562
 3.5308 	  28.4585 	 -28.4410 	 -7.4928
-94.3414 	  23.5932 	  6.3760 	  16.2026
-98.7698 	  24.8511 	 -17.9010 	  15.6866
 92.1385 	 -25.3368 	 -28.7970 	 -26.8721
-21.8166 	 -26.7112 	  9.4901 	  1.0906
-161.5729 	  54.6252 	  5.5991 	 -6.4490
-98.9753 	 -41.3746 	  15.3060 	  8.6474
-99.3069 	 -40.9014 	 -32.7370 	  8.8482
 120.0257 	 -19.5089 	  20.0610 	 -24.7912
 122.2786 	 -23.1812 	 -23.1650 	 -24.4593
-93.0132 	 -41.9963 	  13.3855 	  8.4671
-21.4885 	 -56.6295 	  7.6990 	 -6.5397
-85.6885 	 -27.3195 	 -13.4380 	  14.4473
 114.4161 	 -18.4214 	 -11.2280 	 -25.5898
 110.9649 	 -28.3522 	 -11.5981 	 -26.1057
-11.2816 	  51.3746 	 -37.9558 	 -7.6456
 35.9711 	 -29.8554 	  28.0721 	 -17.7246
 108.7632 	 -41.4245 	 -23.7040 	 -25.6493
 161.1387 	  42.8795 	 -13.2170 	 -14.8369
 148.8953 	 -29.7454 	 -4.6050 	 -17.8010
 2.7540 	  50.2640 	 -14.0020 	 -10.9196
 63.6699 	 -29.0700 	  0.2290 	 -24.0702
 91.4892 	  47.9536 	 -47.5575 	 -25.5180
 100.2997 	  53.4783 	 -79.0314 	 -24.4331
 11.2091 	  54.6321 	 -46.3845 	 -13.3902
 98.2694 	  40.3757 	  3.4440 	 -26.3511
 133.2357 	  42.4028 	 -0.7300 	 -21.9557
-72.5440 	  22.9475 	  25.3760 	  14.6480
 83.0986 	 -45.4667 	 -23.9660 	 -25.6430
-179.1629 	 -59.4902 	 -35.9780 	 -11.2837
 88.2156 	 -55.5642 	 -31.6159 	 -24.1449
 10.3922 	  11.1635 	 -27.8510 	 -5.6797
 14.8922 	  50.1217 	 -27.1440 	 -13.9119
 123.9075 	 -37.4378 	 -11.1520 	 -23.9852
-160.5093 	  33.1462 	 -2.8208 	 -0.3181
-159.9165 	  53.2069 	 -59.6910 	 -5.7036
-107.7237 	  49.8783 	  0.4970 	  4.3160
 84.5149 	  42.1886 	 -3.7630 	 -26.0645
 47.4732 	 -44.8152 	 -10.5100 	 -21.1951
-102.0378 	 -28.5693 	 -0.7510 	  14.0589
-73.6316 	 -27.1584 	  36.9310 	  13.3514
-51.4086 	  52.1613 	 -18.2880 	  0.4345
-9.6269 	 -32.6008 	  33.4145 	 -4.1174
-86.8105 	  33.0796 	  129.7930 	  12.1960
 33.8982 	  49.4575 	 -24.8651 	 -18.2939
-1.2673 	 -31.0031 	  10.5200 	 -6.4445
-14.1021 	 -58.3672 	  21.7889 	 -8.4261
 106.6723 	 -34.6585 	 -6.7470 	 -26.3158
-98.7840 	 -40.9268 	 -8.6980 	  8.8540
-4.8208 	 -50.8646 	  29.6230 	 -9.1269
 4.5093 	 -48.4647 	  19.7820 	 -11.1253
 121.2326 	 -25.4243 	 -83.2430 	 -24.6728
 138.7027 	 -29.6442 	 -40.7210 	 -20.7944
 143.9810 	  28.0176 	 -46.7110 	 -19.2289
-130.9152 	  58.9080 	  9.1680 	 -2.1281
-160.1963 	  29.4163 	 -15.1330 	  0.8897
-143.1097 	  24.6341 	  65.3470 	  8.2382
 174.3152 	  45.5962 	 -54.5230 	 -11.1929
-134.6274 	  43.5395 	  1.0819 	  3.2811
 136.6575 	  32.6778 	 -38.2280 	 -21.3779
 120.1742 	 -17.1262 	 -29.0154 	 -24.7288
