data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -4.6410 	 -8.6874
-28.8574 	 -42.5230 	  7.9420 	 -3.0908
 3.5308 	  28.4585 	  3.9720 	 -4.4682
-94.3414 	  23.5932 	 -0.3873 	  12.1664
 124.9137 	 -20.3398 	 -28.9775 	 -23.2236
-98.7698 	  24.8511 	  7.6736 	  12.5458
 140.1430 	 -16.7669 	 -15.3720 	 -22.2538
 134.1592 	  49.7440 	 -29.6321 	 -16.0118
 133.9626 	 -28.7194 	 -18.2900 	 -19.5398
 92.1385 	 -25.3368 	 -13.9120 	 -18.9089
-82.8231 	 -35.4212 	  2.1629 	  6.4268
-21.8166 	 -26.7112 	  5.1297 	 -3.4824
-64.9271 	 -57.8266 	 -0.6889 	 -1.1663
 174.4627 	 -56.1555 	  3.6920 	 -8.6816
-98.9753 	 -41.3746 	  16.8299 	  6.4190
-99.3069 	 -40.9014 	  9.2340 	  6.6069
 120.0257 	 -19.5089 	 -68.5576 	 -23.7700
 122.2786 	 -23.1812 	 -21.2364 	 -22.3491
-93.0132 	 -41.9963 	  13.0320 	  5.7615
-21.4885 	 -56.6295 	 -10.2890 	 -5.3998
-85.6885 	 -27.3195 	  13.5294 	  9.0529
 114.4161 	 -18.4214 	 -5.0241 	 -24.0522
 123.7485 	 -50.1750 	 -13.4330 	 -16.9613
 110.9649 	 -28.3522 	 -18.9482 	 -21.0189
-11.2816 	  51.3746 	  0.8526 	 -5.9450
 35.9711 	 -29.8554 	  3.9881 	 -7.3157
 108.7632 	 -41.4245 	 -9.7696 	 -18.8955
 161.1387 	  42.8795 	 -8.7256 	 -11.4951
 123.0933 	 -45.4387 	 -8.7524 	 -17.7894
 148.8953 	 -29.7454 	 -7.6020 	 -15.8984
 2.7540 	  50.2640 	 -19.9980 	 -7.3429
 63.6699 	 -29.0700 	 -5.7670 	 -12.4426
 91.4892 	  47.9536 	 -39.4014 	 -17.3372
 100.2997 	  53.4783 	 -36.4358 	 -16.9850
 11.2091 	  54.6321 	 -10.1180 	 -8.6642
 98.2694 	  40.3757 	 -25.2954 	 -18.5967
 133.2357 	  42.4028 	 -22.4867 	 -17.2283
-72.5440 	  22.9475 	 -12.2484 	  6.2597
 83.0986 	 -45.4667 	 -8.9760 	 -16.8233
-179.1629 	 -59.4902 	 -8.7116 	 -7.7521
 10.3922 	  11.1635 	  8.1240 	  3.0238
 14.8922 	  50.1217 	  32.3919 	 -8.6446
 60.3421 	  42.9393 	 -13.0703 	 -13.7977
 107.3184 	 -45.3258 	 -15.6340 	 -18.3094
 123.9075 	 -37.4378 	 -11.8841 	 -19.0614
 138.2789 	  31.0327 	 -16.5810 	 -18.2683
-160.5093 	  33.1462 	  0.8400 	  1.9443
 179.7861 	  51.7091 	 -18.0588 	 -7.2412
-159.9165 	  53.2069 	 -32.7090 	 -3.1967
-113.4989 	  40.7487 	 -8.6930 	  7.0251
-107.7237 	  49.8783 	 -17.4910 	  3.5992
 120.5556 	  58.0478 	 -44.8414 	 -15.8121
 84.5149 	  42.1886 	 -47.4365 	 -17.1459
 47.4732 	 -44.8152 	  1.4820 	 -12.0886
-155.0729 	 -41.7563 	 -4.9260 	  0.8738
-102.0378 	 -28.5693 	  14.2390 	  11.4826
-73.6316 	 -27.1584 	  0.9560 	  6.1551
-51.4086 	  52.1613 	  5.6950 	 -1.4159
-9.6269 	 -32.6008 	  10.7606 	 -4.3403
-86.8105 	  33.0796 	  3.8800 	  7.7101
-154.5155 	 -46.3249 	 -16.5510 	 -0.3313
 33.8982 	  49.4575 	 -27.9940 	 -10.7749
-1.2673 	 -31.0031 	  4.8884 	 -4.6586
-14.1021 	 -58.3672 	 -9.3180 	 -6.3601
 106.6723 	 -34.6585 	 -21.7625 	 -19.7992
 117.0873 	 -31.5443 	 -16.4639 	 -20.4845
-98.7840 	 -40.9268 	  27.2770 	  6.5643
-4.8208 	 -50.8646 	  5.6400 	 -6.5917
 4.5093 	 -48.4647 	 -16.1930 	 -7.3410
-46.7076 	 -44.8373 	  0.6250 	 -0.9405
 121.2326 	 -25.4243 	 -17.2890 	 -21.7376
 122.7965 	 -27.2596 	 -15.0320 	 -21.1848
 128.7826 	 -23.9549 	 -19.0950 	 -21.5514
 138.7027 	 -29.6442 	 -16.7380 	 -18.4505
 143.9810 	  28.0176 	 -10.3392 	 -17.5382
-121.4729 	  42.7859 	  0.7280 	  5.8869
-130.9152 	  58.9080 	  16.4330 	 -0.7695
-160.1963 	  29.4163 	  8.8510 	  3.2605
-143.1097 	  24.6341 	  32.3700 	  10.8689
 174.3152 	  45.5962 	 -7.2740 	 -8.0654
-134.6274 	  43.5395 	  7.1880 	  4.2397
-126.6300 	  43.4835 	  26.0155 	  5.1981
 136.6575 	  32.6778 	 -14.8102 	 -18.2741
 163.8954 	  48.5293 	 -17.3418 	 -10.7425
 120.1742 	 -17.1262 	 -4.3938 	 -24.9387
