data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -5.2375 	 -16.1381
-28.8574 	 -42.5230 	  10.9400 	 -3.7979
 3.5308 	  28.4585 	 -7.4497 	 -8.0199
-94.3414 	  23.5932 	  35.3159 	  18.5210
 124.9137 	 -20.3398 	 -47.4066 	 -30.2678
-98.7698 	  24.8511 	  38.0489 	  18.3148
-125.8390 	  44.6222 	 -3.8684 	  5.4074
 140.1430 	 -16.7669 	 -27.3640 	 -25.9165
 114.0722 	 -36.2766 	  4.6495 	 -30.3514
 92.1385 	 -25.3368 	 -67.7062 	 -30.8486
-21.8166 	 -26.7112 	  22.8718 	 -3.9019
-64.9271 	 -57.8266 	 -2.3372 	 -1.6752
 94.0025 	  27.4170 	 -39.6249 	 -31.0563
 174.4627 	 -56.1555 	 -24.6027 	 -14.6741
-98.9753 	 -41.3746 	  14.7272 	  9.4102
-99.3069 	 -40.9014 	  13.1918 	  9.6720
 120.0257 	 -19.5089 	 -21.8407 	 -31.2868
 78.4261 	 -24.6985 	 -10.9842 	 -27.9162
-21.4885 	 -56.6295 	 -4.1015 	 -8.7743
-11.2816 	  51.3746 	 -20.1154 	 -9.8212
 35.9711 	 -29.8554 	 -4.1537 	 -15.6969
 108.7632 	 -41.4245 	 -27.3174 	 -30.0903
 161.1387 	  42.8795 	 -38.1352 	 -17.9137
 123.0933 	 -45.4387 	 -17.7323 	 -27.9370
 2.7540 	  50.2640 	 -25.6485 	 -12.7743
 63.6699 	 -29.0700 	  19.1205 	 -24.3067
 91.4892 	  47.9536 	 -48.2711 	 -29.1102
 75.9894 	 -34.2225 	 -28.5284 	 -28.1534
 100.2997 	  53.4783 	 -44.6134 	 -28.1995
 98.2694 	  40.3757 	 -38.7579 	 -30.4096
 133.2357 	  42.4028 	 -31.7791 	 -26.3895
-72.5440 	  22.9475 	  7.3880 	  13.4856
 83.0986 	 -45.4667 	 -21.2157 	 -28.8179
-179.1629 	 -59.4902 	 -24.1779 	 -13.4019
 10.3922 	  11.1635 	  23.6036 	  23.2918
 14.8922 	  50.1217 	 -42.2734 	 -15.5012
 60.3421 	  42.9393 	 -6.8748 	 -25.1963
 107.3184 	 -45.3258 	 -35.3172 	 -29.5626
 138.2789 	  31.0327 	 -32.8977 	 -25.8741
-160.5093 	  33.1462 	 -16.5225 	  0.2149
 179.7861 	  51.7091 	 -30.2340 	 -12.4699
-113.4989 	  40.7487 	  6.9985 	  9.2038
-107.7237 	  49.8783 	  25.5993 	  4.5490
-92.3694 	  52.7453 	  5.6320 	  3.1262
 120.5556 	  58.0478 	 -50.1075 	 -25.8654
-16.0216 	  47.2062 	 -18.5632 	 -7.8781
 84.5149 	  42.1886 	 -48.7785 	 -29.2865
 40.5381 	 -40.9564 	 -3.6510 	 -20.2200
 47.4732 	 -44.8152 	 -5.8357 	 -22.4184
-155.0729 	 -41.7563 	  2.7865 	 -1.0193
-86.5344 	 -30.6114 	  37.5558 	  13.9158
-102.0378 	 -28.5693 	 -7.6423 	  16.4449
-73.6316 	 -27.1584 	  13.7486 	  12.4950
-51.4086 	  52.1613 	 -3.2980 	 -1.5013
-9.6269 	 -32.6008 	  20.3629 	 -6.6454
-86.8105 	  33.0796 	  9.8300 	  12.7828
-154.5155 	 -46.3249 	  6.3025 	 -2.6208
 177.0833 	  39.9376 	 -12.6012 	 -11.3470
 33.8982 	  49.4575 	 -24.9960 	 -19.7222
 38.4023 	 -43.3339 	 -5.4848 	 -20.0664
-138.0213 	 -34.6503 	  4.8740 	  7.7967
-1.2673 	 -31.0031 	  22.6541 	 -7.9186
-14.1021 	 -58.3672 	 -6.9862 	 -10.6363
 106.6723 	 -34.6585 	 -17.7582 	 -31.0187
 117.0873 	 -31.5443 	 -33.3160 	 -30.5257
-98.7840 	 -40.9268 	  24.2958 	  9.6499
-4.8208 	 -50.8646 	  8.8806 	 -11.1720
 4.5093 	 -48.4647 	 -19.3414 	 -12.8633
-46.7076 	 -44.8373 	 -1.8970 	 -0.0404
 121.2326 	 -25.4243 	 -26.2830 	 -30.4887
 122.7965 	 -27.2596 	 -21.0849 	 -30.0461
 128.7826 	 -23.9549 	 -28.3416 	 -29.0238
 138.7027 	 -29.6442 	  0.5669 	 -25.8028
 143.9810 	  28.0176 	 -26.2964 	 -24.0290
-121.4729 	  42.7859 	  3.3701 	  7.1071
-130.9152 	  58.9080 	  12.2908 	 -2.7266
-160.1963 	  29.4163 	 -9.1370 	  1.8000
-143.1097 	  24.6341 	  15.0077 	  11.2446
-135.2466 	  28.3667 	 -23.7913 	  11.9226
 174.3152 	  45.5962 	 -4.4530 	 -13.3721
-134.6274 	  43.5395 	 -13.4703 	  4.1779
-126.6300 	  43.4835 	 -4.1654 	  5.8738
 136.6575 	  32.6778 	 -26.2370 	 -26.2773
 163.8954 	  48.5293 	 -53.9507 	 -17.2742
 120.1742 	 -17.1262 	 -36.7958 	 -31.5728
