data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	  1.3550 	 -10.7414
-28.8574 	 -42.5230 	  37.9210 	 -0.5211
 3.5308 	  28.4585 	 -55.5233 	 -5.0182
-94.3414 	  23.5932 	  22.8626 	  16.7587
 124.9137 	 -20.3398 	 -32.8372 	 -25.6397
-98.7698 	  24.8511 	  51.0510 	  16.8963
-125.8390 	  44.6222 	 -34.6630 	  7.4588
 140.1430 	 -16.7669 	 -6.7137 	 -23.4278
 134.1592 	  49.7440 	 -49.2726 	 -18.2879
 133.9626 	 -28.7194 	 -33.2800 	 -21.8946
 114.0722 	 -36.2766 	 -12.8839 	 -23.1726
 92.1385 	 -25.3368 	  12.4358 	 -23.6797
-82.8231 	 -35.4212 	  19.4753 	  11.1109
-21.8166 	 -26.7112 	 -13.5130 	 -0.4419
-64.9271 	 -57.8266 	  21.1555 	  1.7117
-161.5729 	  54.6252 	  3.7136 	 -3.0643
 94.0025 	  27.4170 	 -19.8772 	 -23.8176
 174.4627 	 -56.1555 	 -20.2920 	 -9.0043
-98.9753 	 -41.3746 	 -7.3304 	  10.3157
-99.3069 	 -40.9014 	 -12.5351 	  10.4868
 120.0257 	 -19.5089 	 -12.9160 	 -26.3867
 78.4261 	 -24.6985 	  21.4265 	 -20.9502
 122.2786 	 -23.1812 	 -8.9007 	 -25.0862
-93.0132 	 -41.9963 	 -12.5287 	  9.7495
-21.4885 	 -56.6295 	  5.7457 	 -4.1168
-85.6885 	 -27.3195 	  33.8271 	  14.0623
 114.4161 	 -18.4214 	 -22.9690 	 -26.9807
 123.7485 	 -50.1750 	 -24.4844 	 -19.6266
 110.9649 	 -28.3522 	 -44.7868 	 -24.6642
-11.2816 	  51.3746 	 -58.4890 	 -5.1526
 35.9711 	 -29.8554 	 -2.5440 	 -11.5699
 108.7632 	 -41.4245 	  6.1724 	 -22.5487
 161.1387 	  42.8795 	 -13.1585 	 -12.4974
 123.0933 	 -45.4387 	 -9.1347 	 -20.6451
 148.8953 	 -29.7454 	  22.0853 	 -17.4402
 2.7540 	  50.2640 	 -14.9824 	 -7.6355
 63.6699 	 -29.0700 	  10.9980 	 -17.9160
 91.4892 	  47.9536 	 -21.7107 	 -21.1488
 75.9894 	 -34.2225 	  3.8005 	 -20.8038
 100.2997 	  53.4783 	 -63.8510 	 -20.2376
 11.2091 	  54.6321 	 -37.0990 	 -9.5193
 98.2694 	  40.3757 	 -33.6482 	 -22.6784
 133.2357 	  42.4028 	 -44.4610 	 -19.6614
-72.5440 	  22.9475 	  8.5979 	  12.0137
 83.0986 	 -45.4667 	  5.9085 	 -20.9355
-179.1629 	 -59.4902 	 -38.7288 	 -7.7987
 88.2156 	 -55.5642 	  24.6809 	 -19.5492
 10.3922 	  11.1635 	 -2.4403 	 -0.2666
 14.8922 	  50.1217 	 -65.7112 	 -9.8918
 60.3421 	  42.9393 	 -30.3773 	 -18.0290
 107.3184 	 -45.3258 	 -6.7265 	 -21.8635
 123.9075 	 -37.4378 	 -8.1540 	 -22.0700
 138.2789 	  31.0327 	 -39.7890 	 -20.4772
-160.5093 	  33.1462 	  0.8400 	  2.8654
 179.7861 	  51.7091 	 -19.9401 	 -7.3251
-159.9165 	  53.2069 	 -16.5814 	 -2.3404
-113.4989 	  40.7487 	  3.2990 	  10.3224
-107.7237 	  49.8783 	  6.4920 	  6.7566
-92.3694 	  52.7453 	  21.6022 	  5.5201
 120.5556 	  58.0478 	 -32.6292 	 -18.2610
-16.0216 	  47.2062 	 -42.9723 	 -3.7039
 84.5149 	  42.1886 	 -41.4104 	 -21.4546
 40.5381 	 -40.9564 	  17.1945 	 -14.2024
 47.4732 	 -44.8152 	 -0.1240 	 -15.7352
-155.0729 	 -41.7563 	 -13.5640 	  2.0896
-86.5344 	 -30.6114 	  25.7458 	  13.1647
-102.0378 	 -28.5693 	  14.3183 	  15.6022
-73.6316 	 -27.1584 	  74.0384 	  11.5844
-51.4086 	  52.1613 	  8.6930 	  1.6230
-9.6269 	 -32.6008 	  55.7135 	 -3.1768
-86.8105 	  33.0796 	  56.6240 	  12.4063
-154.5155 	 -46.3249 	  2.3322 	  0.8633
 177.0833 	  39.9376 	 -81.1523 	 -7.0003
 33.8982 	  49.4575 	 -22.8111 	 -13.3563
 38.4023 	 -43.3339 	  18.6284 	 -13.9499
-138.0213 	 -34.6503 	  22.7831 	  9.3715
-1.2673 	 -31.0031 	  34.8741 	 -4.5395
-14.1021 	 -58.3672 	 -0.9545 	 -5.5800
 106.6723 	 -34.6585 	 -16.0412 	 -23.6948
 117.0873 	 -31.5443 	 -12.8572 	 -23.8429
-98.7840 	 -40.9268 	 -0.9002 	  10.4628
-4.8208 	 -50.8646 	  18.8528 	 -6.2865
 4.5093 	 -48.4647 	  10.6337 	 -7.7915
-46.7076 	 -44.8373 	  24.6090 	  2.5375
 121.2326 	 -25.4243 	 -33.5647 	 -24.6770
 122.7965 	 -27.2596 	 -40.1739 	 -24.1498
 128.7826 	 -23.9549 	 -25.3850 	 -24.0077
 138.7027 	 -29.6442 	 -10.7420 	 -20.5184
 143.9810 	  28.0176 	 -42.8551 	 -19.2592
-121.4729 	  42.7859 	 -8.2660 	  8.7809
-130.9152 	  58.9080 	  30.6603 	  1.0668
-160.1963 	  29.4163 	  12.3966 	  4.1455
-143.1097 	  24.6341 	  19.4511 	  12.4450
-135.2466 	  28.3667 	 -9.1208 	  12.8005
 174.3152 	  45.5962 	 -27.6729 	 -8.4191
-134.6274 	  43.5395 	  31.6443 	  6.4719
-126.6300 	  43.4835 	  23.1027 	  7.8152
 136.6575 	  32.6778 	 -31.3808 	 -20.5640
 163.8954 	  48.5293 	 -58.2165 	 -11.5949
 120.1742 	 -17.1262 	 -24.5370 	 -27.2915
