data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -10.6359 	 -14.0940
-28.8574 	 -42.5230 	  16.9360 	  6.9272
-94.3414 	  23.5932 	  9.3740 	  30.2299
 124.9137 	 -20.3398 	 -14.2371 	 -32.9497
 140.1430 	 -16.7669 	  35.5930 	 -27.8245
 114.0722 	 -36.2766 	 -35.6550 	 -31.7008
 92.1385 	 -25.3368 	  4.1800 	 -35.6906
-82.8231 	 -35.4212 	 -14.9488 	  24.3452
-21.8166 	 -26.7112 	  21.6367 	  7.0413
-99.3069 	 -40.9014 	  111.1630 	  22.2452
 120.0257 	 -19.5089 	 -21.9311 	 -34.5239
 114.4161 	 -18.4214 	 -21.6680 	 -35.9187
-11.2816 	  51.3746 	  1.4690 	 -1.6030
 35.9711 	 -29.8554 	 -6.8279 	 -20.1305
 123.0933 	 -45.4387 	 -30.4240 	 -27.0273
 148.8953 	 -29.7454 	 -33.7671 	 -21.2917
 2.7540 	  50.2640 	 -2.0100 	 -6.6900
 98.2694 	  40.3757 	 -14.5444 	 -32.0662
 133.2357 	  42.4028 	 -105.6570 	 -25.1928
 88.2156 	 -55.5642 	 -13.7500 	 -26.2508
 10.3922 	  11.1635 	  5.8612 	 -5.4454
 14.8922 	  50.1217 	  35.8120 	 -11.2148
 60.3421 	  42.9393 	 -2.7306 	 -26.9611
-113.4989 	  40.7487 	  27.2597 	  20.8635
-107.7237 	  49.8783 	  8.9197 	  16.7151
 120.5556 	  58.0478 	 -129.6633 	 -22.9010
 84.5149 	  42.1886 	 -24.7687 	 -31.1589
-86.5344 	 -30.6114 	  55.3966 	  26.8228
-102.0378 	 -28.5693 	  5.2450 	  28.0748
-51.4086 	  52.1613 	 -31.6876 	  10.7916
-9.6269 	 -32.6008 	  38.3187 	  0.5462
-86.8105 	  33.0796 	  132.7896 	  25.7719
-154.5155 	 -46.3249 	 -7.5570 	  5.9005
 33.8982 	  49.4575 	 -36.9870 	 -17.9294
-1.2673 	 -31.0031 	 -57.0402 	 -3.1863
-14.1021 	 -58.3672 	 -48.2864 	 -1.8702
 106.6723 	 -34.6585 	 -47.4115 	 -33.1822
 117.0873 	 -31.5443 	 -23.3930 	 -32.3647
-98.7840 	 -40.9268 	 -2.7020 	  22.2531
 4.5093 	 -48.4647 	  94.7163 	 -7.2555
-46.7076 	 -44.8373 	 -2.3729 	  12.4293
 122.7965 	 -27.2596 	  104.8815 	 -31.9868
 128.7826 	 -23.9549 	 -22.0930 	 -30.9082
 138.7027 	 -29.6442 	 -25.7320 	 -26.0212
 143.9810 	  28.0176 	  1.7150 	 -23.8929
-130.9152 	  58.9080 	 -20.2151 	  8.0190
-160.1963 	  29.4163 	 -3.1410 	  8.1362
-143.1097 	  24.6341 	  26.3740 	  18.7536
-134.6274 	  43.5395 	  43.1612 	  14.2542
-126.6300 	  43.4835 	  24.0849 	  16.6529
 163.8954 	  48.5293 	 -117.8377 	 -12.4575
 120.1742 	 -17.1262 	 -147.4516 	 -35.0843
