data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -9.8794 	 -12.2823
-28.8574 	 -42.5230 	  28.9280 	 -3.5573
 3.5308 	  28.4585 	 -50.0778 	 -6.0532
-94.3414 	  23.5932 	  13.3101 	  20.5213
 124.9137 	 -20.3398 	 -46.2797 	 -36.2376
-98.7698 	  24.8511 	  28.2411 	  21.1578
-125.8390 	  44.6222 	  19.0661 	  9.1792
 140.1430 	 -16.7669 	 -27.3640 	 -34.4982
 134.1592 	  49.7440 	 -27.5920 	 -23.8295
 133.9626 	 -28.7194 	 -17.1363 	 -30.0633
 114.0722 	 -36.2766 	 -13.7200 	 -30.1747
 92.1385 	 -25.3368 	 -7.4612 	 -29.4715
-82.8231 	 -35.4212 	  8.6719 	  11.5726
-21.8166 	 -26.7112 	  1.3680 	 -4.8378
-64.9271 	 -57.8266 	  8.3563 	 -0.0861
-161.5729 	  54.6252 	 -37.0640 	 -4.3376
 174.4627 	 -56.1555 	 -12.5972 	 -12.0499
-98.9753 	 -41.3746 	 -34.3481 	  11.6489
-99.3069 	 -40.9014 	  17.1289 	  11.9806
 120.0257 	 -19.5089 	 -24.9080 	 -37.1609
 122.2786 	 -23.1812 	 -36.5487 	 -34.8259
-93.0132 	 -41.9963 	 -16.4274 	  10.6462
-21.4885 	 -56.6295 	  4.5620 	 -6.8457
-85.6885 	 -27.3195 	  15.3683 	  15.6289
 114.4161 	 -18.4214 	 -64.9740 	 -37.8307
 123.7485 	 -50.1750 	 -22.8728 	 -25.3782
 110.9649 	 -28.3522 	 -19.6558 	 -32.5262
-11.2816 	  51.3746 	 -43.9981 	 -7.8235
 35.9711 	 -29.8554 	  26.1983 	 -10.3761
 108.7632 	 -41.4245 	 -1.7453 	 -28.6814
 161.1387 	  42.8795 	 -19.3986 	 -16.8268
 123.0933 	 -45.4387 	  5.5510 	 -26.7852
 148.8953 	 -29.7454 	  4.1517 	 -24.1583
 2.7540 	  50.2640 	 -14.0020 	 -10.0414
 63.6699 	 -29.0700 	  10.2523 	 -18.8125
 91.4892 	  47.9536 	 -71.7853 	 -26.0110
 75.9894 	 -34.2225 	 -33.7981 	 -24.0598
 100.2997 	  53.4783 	 -75.1028 	 -25.3364
 11.2091 	  54.6321 	 -34.1010 	 -12.0318
 98.2694 	  40.3757 	 -31.8619 	 -28.2717
 133.2357 	  42.4028 	 -54.6920 	 -26.0386
-72.5440 	  22.9475 	  14.3900 	  11.0719
 83.0986 	 -45.4667 	 -9.1585 	 -25.2710
-179.1629 	 -59.4902 	 -32.4553 	 -10.5031
 88.2156 	 -55.5642 	  17.7906 	 -24.0989
 10.3922 	  11.1635 	 -14.8219 	  6.3765
 14.8922 	  50.1217 	 -12.1550 	 -12.0881
 60.3421 	  42.9393 	 -31.7573 	 -20.4824
 107.3184 	 -45.3258 	  10.6019 	 -27.6241
 123.9075 	 -37.4378 	 -15.6275 	 -29.0095
 138.2789 	  31.0327 	 -66.5488 	 -27.8850
-160.5093 	  33.1462 	 -14.1500 	  4.1924
 179.7861 	  51.7091 	 -11.7615 	 -9.8529
-159.9165 	  53.2069 	 -77.6780 	 -3.3974
-113.4989 	  40.7487 	  7.9344 	  12.5980
-92.3694 	  52.7453 	  16.7363 	  5.2612
 120.5556 	  58.0478 	 -31.4764 	 -23.3436
 84.5149 	  42.1886 	 -24.9960 	 -25.9176
 40.5381 	 -40.9564 	  32.6289 	 -15.3753
 47.4732 	 -44.8152 	  5.2330 	 -17.6762
-155.0729 	 -41.7563 	 -1.9280 	  2.7983
-86.5344 	 -30.6114 	  32.0384 	  14.5487
-102.0378 	 -28.5693 	  10.6069 	  19.4517
-73.6316 	 -27.1584 	  65.2698 	  10.9439
-51.4086 	  52.1613 	 -3.2980 	 -0.6097
-9.6269 	 -32.6008 	  49.4475 	 -5.8465
-86.8105 	  33.0796 	  57.9966 	  13.5427
-154.5155 	 -46.3249 	  6.2496 	  0.9736
 33.8982 	  49.4575 	 -29.1467 	 -15.4716
-138.0213 	 -34.6503 	  46.5046 	  12.7806
-1.2673 	 -31.0031 	  39.6964 	 -6.3288
-14.1021 	 -58.3672 	  5.6720 	 -8.3283
 106.6723 	 -34.6585 	 -10.4100 	 -30.4364
 117.0873 	 -31.5443 	 -45.4701 	 -31.6075
-98.7840 	 -40.9268 	 -2.7020 	  11.9172
-4.8208 	 -50.8646 	  23.1214 	 -8.8511
 4.5093 	 -48.4647 	 -24.6295 	 -10.0759
-46.7076 	 -44.8373 	  12.6170 	 -0.0592
 121.2326 	 -25.4243 	 -23.2850 	 -33.6990
 122.7965 	 -27.2596 	 -37.6898 	 -32.7637
 128.7826 	 -23.9549 	 -32.7405 	 -33.4181
 138.7027 	 -29.6442 	 -36.3326 	 -28.2804
 143.9810 	  28.0176 	 -64.6990 	 -26.8428
-121.4729 	  42.7859 	  35.6648 	  10.8245
-160.1963 	  29.4163 	  5.8530 	  6.1610
-143.1097 	  24.6341 	  2.3910 	  18.0252
 174.3152 	  45.5962 	 -6.5560 	 -11.3086
-134.6274 	  43.5395 	 -41.3905 	  8.2447
-126.6300 	  43.4835 	  23.2809 	  9.7759
 136.6575 	  32.6778 	 -44.0237 	 -27.9508
 163.8954 	  48.5293 	 -45.8890 	 -15.5022
 120.1742 	 -17.1262 	 -55.1861 	 -39.1869
