data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -16.6320 	 -15.3171
-28.8574 	 -42.5230 	  10.9400 	 -1.0003
 3.5308 	  28.4585 	 -28.4410 	 -7.5320
-94.3414 	  23.5932 	  6.3760 	  16.2573
-98.7698 	  24.8511 	 -17.9010 	  15.7176
 92.1385 	 -25.3368 	 -28.7970 	 -26.9723
-21.8166 	 -26.7112 	  9.4901 	  1.1920
-161.5729 	  54.6252 	  5.5991 	 -6.4824
-98.9753 	 -41.3746 	  15.3060 	  8.6754
-99.3069 	 -40.9014 	 -32.7370 	  8.8757
 120.0257 	 -19.5089 	  20.0610 	 -24.7150
 122.2786 	 -23.1812 	 -23.1650 	 -24.4087
-93.0132 	 -41.9963 	  13.3855 	  8.5077
-21.4885 	 -56.6295 	  7.6990 	 -6.5365
-85.6885 	 -27.3195 	 -13.4380 	  14.5379
 114.4161 	 -18.4214 	 -11.2280 	 -25.5316
 110.9649 	 -28.3522 	 -11.5981 	 -26.1276
-11.2816 	  51.3746 	 -37.9558 	 -7.6521
 35.9711 	 -29.8554 	  28.0721 	 -17.8988
 108.7632 	 -41.4245 	 -23.7040 	 -25.7100
 161.1387 	  42.8795 	 -13.2170 	 -14.8530
 148.8953 	 -29.7454 	 -4.6050 	 -17.7648
 2.7540 	  50.2640 	 -14.0020 	 -10.9581
 63.6699 	 -29.0700 	  0.2290 	 -24.2603
 91.4892 	  47.9536 	 -47.5575 	 -25.6138
 100.2997 	  53.4783 	 -79.0314 	 -24.5141
 11.2091 	  54.6321 	 -46.3845 	 -13.4463
 98.2694 	  40.3757 	  3.4440 	 -26.4351
 133.2357 	  42.4028 	 -0.7300 	 -21.9779
-72.5440 	  22.9475 	  25.3760 	  14.8139
 83.0986 	 -45.4667 	 -23.9660 	 -25.7544
-179.1629 	 -59.4902 	 -35.9780 	 -11.3192
 88.2156 	 -55.5642 	 -31.6159 	 -24.2377
 10.3922 	  11.1635 	 -27.8510 	 -5.8237
 14.8922 	  50.1217 	 -27.1440 	 -13.9791
 123.9075 	 -37.4378 	 -11.1520 	 -24.0054
-160.5093 	  33.1462 	 -2.8208 	 -0.3736
-159.9165 	  53.2069 	 -59.6910 	 -5.7373
-107.7237 	  49.8783 	  0.4970 	  4.3232
 84.5149 	  42.1886 	 -3.7630 	 -26.1777
 47.4732 	 -44.8152 	 -10.5100 	 -21.3276
-102.0378 	 -28.5693 	 -0.7510 	  14.0778
-73.6316 	 -27.1584 	  36.9310 	  13.4881
-51.4086 	  52.1613 	 -18.2880 	  0.4831
-9.6269 	 -32.6008 	  33.4145 	 -4.0949
-86.8105 	  33.0796 	  129.7930 	  12.2685
 33.8982 	  49.4575 	 -24.8651 	 -18.3984
-1.2673 	 -31.0031 	  10.5200 	 -6.4594
-14.1021 	 -58.3672 	  21.7889 	 -8.4377
 106.6723 	 -34.6585 	 -6.7470 	 -26.3705
-98.7840 	 -40.9268 	 -8.6980 	  8.8828
-4.8208 	 -50.8646 	  29.6230 	 -9.1476
 4.5093 	 -48.4647 	  19.7820 	 -11.1680
 121.2326 	 -25.4243 	 -83.2430 	 -24.6424
 138.7027 	 -29.6442 	 -40.7210 	 -20.7584
 143.9810 	  28.0176 	 -46.7110 	 -19.1810
-130.9152 	  58.9080 	  9.1680 	 -2.1465
-160.1963 	  29.4163 	 -15.1330 	  0.8241
-143.1097 	  24.6341 	  65.3470 	  8.1311
 174.3152 	  45.5962 	 -54.5230 	 -11.2194
-134.6274 	  43.5395 	  1.0819 	  3.2480
 136.6575 	  32.6778 	 -38.2280 	 -21.3601
 120.1742 	 -17.1262 	 -29.0154 	 -24.6229
