data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -16.6320 	  55.1990
-28.8570 	 -42.5230 	  22.9320 	 -66.9779
 3.5310 	  28.4590 	 -7.4560 	  29.2522
-94.3410 	  23.5930 	 -17.6080 	  9.2036
 124.9140 	 -20.3400 	 -62.3790 	 -33.5760
-98.7700 	  24.8510 	 -17.9010 	  14.9163
-125.8390 	  44.6220 	 -10.6800 	  27.4710
 140.1430 	 -16.7670 	 -30.3620 	 -29.6005
 134.1590 	  49.7440 	 -60.5690 	 -37.0099
 133.9630 	 -28.7190 	  2.6960 	 -38.1236
 114.0720 	 -36.2770 	  0.3200 	 -39.2850
 92.1380 	 -25.3370 	 -25.7990 	 -15.7989
-21.8170 	 -26.7110 	  8.9480 	 -82.5345
-64.9270 	 -57.8270 	 -11.6210 	 -16.2652
-161.5730 	  54.6250 	  12.8560 	  6.0963
 174.4630 	 -56.1560 	 -20.2920 	 -11.6631
-98.9750 	 -41.3750 	  42.2870 	  19.4870
-99.3070 	 -40.9010 	 -44.7290 	  19.7970
 120.0260 	 -19.5090 	 -33.9010 	 -31.6587
 122.2790 	 -23.1810 	  3.8160 	 -35.3625
-85.6880 	 -27.3200 	  16.5410 	  1.1675
 114.4160 	 -18.4210 	 -32.2140 	 -28.0943
 123.7490 	 -50.1750 	 -7.4370 	 -38.4080
 110.9650 	 -28.3520 	 -3.3150 	 -34.7487
-11.2820 	  51.3750 	  1.4690 	 -54.4114
 35.9710 	 -29.8550 	 -12.8240 	  63.8706
 108.7630 	 -41.4250 	 -5.7160 	 -37.6003
 161.1390 	  42.8800 	 -1.2250 	 -23.2682
 123.0930 	 -45.4390 	  5.5510 	 -40.2075
 148.8950 	 -29.7450 	  49.3580 	 -31.7579
 2.7540 	  50.2640 	  3.9860 	  15.3734
 63.6700 	 -29.0700 	 -38.7440 	  22.9659
 91.4890 	  47.9540 	 -23.1500 	 -25.5690
 100.3000 	  53.4780 	 -30.8740 	 -30.5008
 11.2090 	  54.6320 	 -7.1200 	  36.6949
 98.2690 	  40.3760 	 -32.5310 	 -30.9031
 133.2360 	  42.4030 	 -54.6920 	 -39.5611
-72.5440 	  22.9480 	 -28.5870 	 -23.0758
 83.0990 	 -45.4670 	 -5.9780 	 -17.0477
-179.1630 	 -59.4900 	 -5.9990 	 -7.3350
 10.3920 	  11.1640 	  8.1240 	  71.7024
 14.8920 	  50.1220 	 -3.1610 	  45.6407
 60.3420 	  42.9390 	 -11.2420 	  14.7926
 107.3180 	 -45.3260 	 -3.3680 	 -36.5696
 123.9070 	 -37.4380 	  6.8360 	 -41.1520
 138.2790 	  31.0330 	  6.1560 	 -37.5025
-160.5090 	  33.1460 	 -8.1540 	  13.5352
 179.7860 	  51.7090 	  5.7410 	 -7.3638
-159.9170 	  53.2070 	 -29.7110 	  7.8524
-113.4990 	  40.7490 	 -5.6950 	  27.5028
-107.7240 	  49.8780 	 -8.4970 	  21.5005
 120.5560 	  58.0480 	 -7.2040 	 -33.6658
 84.5150 	  42.1890 	 -12.7570 	 -17.8272
 40.5380 	 -40.9560 	  2.3450 	  45.0987
 47.4730 	 -44.8150 	 -13.5080 	  31.9076
-155.0730 	 -41.7560 	 -16.9180 	  15.9391
-102.0380 	 -28.5690 	 -3.7490 	  20.0085
-73.6320 	 -27.1580 	  6.9520 	 -17.0298
-51.4090 	  52.1610 	 -21.2860 	 -34.6760
-9.6270 	 -32.6010 	 -0.7950 	 -62.0501
-86.8100 	  33.0800 	  3.8800 	  6.0085
 33.8980 	  49.4580 	 -19.0000 	  42.8149
-1.2670 	 -31.0030 	 -16.4610 	 -20.7468
-14.1020 	 -58.3670 	 -9.3180 	 -51.0036
 106.6720 	 -34.6580 	 -0.7510 	 -35.3641
 117.0870 	 -31.5440 	  6.5860 	 -38.8619
-98.7840 	 -40.9270 	  18.2830 	  19.3926
-4.8210 	 -50.8650 	  2.6420 	 -38.5973
 4.5090 	 -48.4650 	 -7.1990 	  24.5819
-46.7080 	 -44.8370 	  0.6250 	 -45.8481
 121.2330 	 -25.4240 	 -11.2930 	 -36.7048
 122.7960 	 -27.2600 	 -15.0320 	 -38.0655
 128.7830 	 -23.9550 	 -10.1010 	 -36.4588
 138.7030 	 -29.6440 	 -7.7440 	 -36.9644
 143.9810 	  28.0180 	 -1.7420 	 -34.1059
-121.4730 	  42.7860 	 -2.2700 	  28.3159
-130.9150 	  58.9080 	 -26.8070 	  16.6963
-160.1960 	  29.4160 	 -24.1260 	  14.2301
-143.1100 	  24.6340 	  11.3850 	  25.5987
 174.3150 	  45.5960 	 -0.5600 	 -11.7055
-134.6270 	  43.5390 	 -4.8030 	  26.3139
-126.6300 	  43.4830 	 -11.0380 	  27.9387
 136.6570 	  32.6780 	 -8.2490 	 -38.4453
 163.8950 	  48.5290 	 -48.8870 	 -20.4715
 120.1740 	 -17.1260 	  2.4440 	 -29.3133
