data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	  1.3550 	  56.5552
-28.8570 	 -42.5230 	  37.9210 	 -50.5420
 3.5310 	  28.4590 	 -19.4480 	  31.7215
-94.3410 	  23.5930 	 -26.6010 	  28.3272
 124.9140 	 -20.3400 	 -53.3850 	 -40.3380
-98.7700 	  24.8510 	  51.0510 	  33.4146
-125.8390 	  44.6220 	 -34.6630 	  41.3736
 140.1430 	 -16.7670 	 -24.3660 	 -34.9403
 134.1590 	  49.7440 	 -30.5890 	 -31.5337
 133.9630 	 -28.7190 	 -33.2800 	 -39.9923
 114.0720 	 -36.2770 	 -8.6740 	 -40.5864
 92.1380 	 -25.3370 	  13.1740 	 -24.5417
-82.8230 	 -35.4210 	  11.1570 	  20.1778
-21.8170 	 -26.7110 	 -0.0460 	 -66.1253
-64.9270 	 -57.8270 	  6.3670 	 -1.6269
-161.5730 	  54.6250 	  36.8390 	  17.2167
 94.0020 	  27.4170 	  25.4850 	 -27.4720
 174.4630 	 -56.1560 	 -20.2920 	 -1.9528
-98.9750 	 -41.3750 	 -8.6770 	  35.8413
-99.3070 	 -40.9010 	 -17.7480 	  36.1915
 120.0260 	 -19.5090 	 -12.9160 	 -39.6127
 78.4260 	 -24.6980 	  33.2570 	 -6.0861
 122.2790 	 -23.1810 	  3.8160 	 -41.3189
-93.0130 	 -41.9960 	 -49.9240 	  31.0309
-21.4880 	 -56.6300 	 -4.2930 	 -41.5619
-85.6880 	 -27.3200 	  43.5220 	  20.5319
 114.4160 	 -18.4210 	 -44.2050 	 -37.4630
 123.7490 	 -50.1750 	 -7.4370 	 -33.5271
 110.9650 	 -28.3520 	 -27.2990 	 -39.9486
-11.2820 	  51.3750 	 -58.4890 	 -41.1427
 35.9710 	 -29.8550 	 -0.8320 	  57.2628
 108.7630 	 -41.4250 	  27.2610 	 -37.1844
 161.1390 	  42.8800 	  4.7710 	 -17.1500
 123.0930 	 -45.4390 	 -36.4200 	 -37.0341
 148.8950 	 -29.7450 	  22.3770 	 -30.9352
 2.7540 	  50.2640 	 -19.9980 	  23.0612
 63.6700 	 -29.0700 	  9.2220 	  14.6915
 91.4890 	  47.9540 	 -11.1580 	 -23.4132
 75.9890 	 -34.2220 	  6.9940 	 -7.2928
 100.3000 	  53.4780 	 -63.8510 	 -25.6798
 11.2090 	  54.6320 	 -37.0990 	  43.3668
 98.2690 	  40.3760 	 -11.5460 	 -31.7527
 133.2360 	  42.4030 	 -36.7050 	 -36.5395
-72.5440 	  22.9480 	  10.3860 	 -2.2676
 83.0990 	 -45.4670 	  38.9910 	 -16.3829
-179.1630 	 -59.4900 	 -35.9780 	  3.1412
 88.2160 	 -55.5640 	  29.4370 	 -16.3372
 10.3920 	  11.1640 	  2.1280 	  64.9885
 14.8920 	  50.1220 	 -33.1400 	  50.2848
 60.3420 	  42.9390 	 -17.2380 	  13.6704
 107.3180 	 -45.3260 	 -24.3530 	 -34.6285
 123.9070 	 -37.4380 	 -8.1540 	 -40.9311
 138.2790 	  31.0330 	 -32.8170 	 -37.8677
-160.5090 	  33.1460 	  0.8400 	  23.1535
 179.7860 	  51.7090 	 -3.2530 	  2.1240
