data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -10.6360 	  45.0626
-28.8570 	 -42.5230 	  16.9360 	 -50.2112
-94.3410 	  23.5930 	  9.3740 	  29.2247
 124.9140 	 -20.3400 	 -2.4200 	 -46.1065
 140.1430 	 -16.7670 	  35.5930 	 -39.1407
 114.0720 	 -36.2770 	 -35.6550 	 -51.1148
 92.1380 	 -25.3370 	  4.1800 	 -33.0145
-82.8230 	 -35.4210 	 -42.8060 	  21.8683
-21.8170 	 -26.7110 	  14.9430 	 -66.7356
-99.3070 	 -40.9010 	  111.1630 	  37.3147
 120.0260 	 -19.5090 	 -21.9100 	 -45.3412
 114.4160 	 -18.4210 	 -17.2240 	 -43.0689
-11.2820 	  51.3750 	  1.4690 	 -43.8218
 35.9710 	 -29.8550 	 -6.8280 	  47.9687
 123.0930 	 -45.4390 	 -30.4240 	 -48.8075
 148.8950 	 -29.7450 	 -49.5730 	 -37.5854
 2.7540 	  50.2640 	 -2.0100 	  15.0155
 98.2690 	  40.3760 	 -14.5440 	 -44.1922
 133.2360 	  42.4030 	 -105.6570 	 -46.9016
 88.2160 	 -55.5640 	  26.4390 	 -32.2233
 10.3920 	  11.1640 	  5.1260 	  62.5877
 14.8920 	  50.1220 	  35.8120 	  38.7654
 60.3420 	  42.9390 	 -2.2490 	 -0.3571
-113.4990 	  40.7490 	  27.2820 	  43.0165
-107.7240 	  49.8780 	 -8.4970 	  36.6969
 120.5560 	  58.0480 	 -130.1190 	 -40.1519
 84.5150 	  42.1890 	 -24.7490 	 -32.1428
-86.5340 	 -30.6110 	  55.3850 	  24.6390
-102.0380 	 -28.5690 	  5.2450 	  38.5090
-51.4090 	  52.1610 	 -21.2860 	 -16.6518
-9.6270 	 -32.6010 	  38.1780 	 -51.8688
-86.8100 	  33.0800 	  132.7900 	  25.9131
-154.5160 	 -46.3250 	 -7.5570 	  22.2898
 33.8980 	  49.4580 	 -36.9870 	  31.1293
-1.2670 	 -31.0030 	 -43.4420 	 -17.1433
-14.1020 	 -58.3670 	 -48.2910 	 -39.8368
 106.6720 	 -34.6580 	 -9.7450 	 -48.6906
 117.0870 	 -31.5440 	 -23.3930 	 -51.0488
-98.7840 	 -40.9270 	 -2.7020 	  36.9726
 4.5090 	 -48.4650 	  94.7300 	  22.7678
-46.7080 	 -44.8370 	 -2.3730 	 -26.8664
 122.7960 	 -27.2600 	  104.8850 	 -49.9163
 128.7830 	 -23.9550 	 -22.0930 	 -47.6020
 138.7030 	 -29.6440 	 -25.7320 	 -45.1086
 143.9810 	  28.0180 	 -7.7380 	 -41.2822
-130.9150 	  58.9080 	 -53.7890 	  27.4347
-160.1960 	  29.4160 	 -3.1410 	  20.7723
-143.1100 	  24.6340 	  26.3740 	  36.2618
-134.6270 	  43.5390 	  43.1630 	  37.9215
-126.6300 	  43.4830 	 -11.0380 	  40.9922
 163.8950 	  48.5290 	 -117.8390 	 -21.1061
 120.1740 	 -17.1260 	 -147.4520 	 -43.3466
