data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -16.6320 	  39.3622
-28.8570 	 -42.5230 	  10.9400 	 -45.7392
 3.5310 	  28.4590 	 -28.4410 	  27.7221
-94.3410 	  23.5930 	  6.3760 	  23.4487
-98.7700 	  24.8510 	 -17.9010 	  29.5462
 92.1380 	 -25.3370 	 -28.7970 	 -29.4619
-21.8170 	 -26.7110 	  23.9370 	 -71.4898
-161.5730 	  54.6250 	  30.8430 	  14.5904
-98.9750 	 -41.3750 	  15.3060 	  42.9194
-99.3070 	 -40.9010 	 -32.7370 	  42.9651
 120.0260 	 -19.5090 	  20.0610 	 -39.3568
 122.2790 	 -23.1810 	 -23.1650 	 -44.3976
-93.0130 	 -41.9960 	  28.0220 	  39.0622
-21.4880 	 -56.6300 	  7.6990 	 -31.4286
-85.6880 	 -27.3200 	 -13.4380 	  18.5134
 114.4160 	 -18.4210 	 -11.2280 	 -35.8623
 110.9650 	 -28.3520 	  20.6680 	 -47.7438
-11.2820 	  51.3750 	 -19.5160 	 -39.4895
 35.9710 	 -29.8550 	  14.1570 	  49.5772
 108.7630 	 -41.4250 	 -23.7040 	 -56.2343
 161.1390 	  42.8800 	 -13.2170 	 -27.8369
 148.8950 	 -29.7450 	 -4.6050 	 -37.9548
 2.7540 	  50.2640 	 -14.0020 	  12.7359
 63.6700 	 -29.0700 	  0.2290 	  6.0046
 91.4890 	  47.9540 	  0.8340 	 -49.6004
 100.3000 	  53.4780 	 -129.8050 	 -54.0857
 11.2090 	  54.6320 	 -76.0720 	  24.3746
 98.2690 	  40.3760 	  3.4440 	 -51.1477
 133.2360 	  42.4030 	 -0.7300 	 -52.4373
-72.5440 	  22.9480 	  25.3760 	 -8.1793
 83.0990 	 -45.4670 	 -23.9660 	 -41.4496
-179.1630 	 -59.4900 	 -35.9780 	 -5.1185
 88.2160 	 -55.5640 	 -84.4840 	 -47.9355
 10.3920 	  11.1640 	 -27.8510 	  70.3885
 14.8920 	  50.1220 	 -27.1440 	  31.7992
 123.9070 	 -37.4380 	 -11.1520 	 -55.1391
-160.5090 	  33.1460 	  27.8210 	  19.8653
-159.9170 	  53.2070 	 -59.6910 	  16.8512
-107.7240 	  49.8780 	  0.4970 	  46.0720
 84.5150 	  42.1890 	 -3.7630 	 -40.7713
 47.4730 	 -44.8150 	 -10.5100 	  7.8320
-102.0380 	 -28.5690 	 -0.7510 	  36.4744
-73.6320 	 -27.1580 	  36.9310 	  0.7827
-51.4090 	  52.1610 	 -18.2880 	 -3.5800
-9.6270 	 -32.6010 	  77.1510 	 -53.9511
-86.8100 	  33.0800 	  129.7930 	  26.8265
 33.8980 	  49.4580 	  4.9840 	  19.8429
-1.2670 	 -31.0030 	  10.5200 	 -18.4030
-14.1020 	 -58.3670 	  38.6490 	 -31.3273
 106.6720 	 -34.6580 	 -6.7470 	 -51.8371
-98.7840 	 -40.9270 	 -8.6980 	  42.6628
-4.8210 	 -50.8650 	  29.6230 	 -29.9908
 4.5090 	 -48.4650 	  19.7820 	  20.1048
 121.2330 	 -25.4240 	 -83.2430 	 -46.8396
 138.7030 	 -29.6440 	 -40.7210 	 -45.3572
 143.9810 	  28.0180 	 -46.7110 	 -40.9759
-130.9150 	  58.9080 	  9.1680 	  35.9478
-160.1960 	  29.4160 	 -15.1330 	  19.9744
-143.1100 	  24.6340 	  65.3470 	  33.6187
 174.3150 	  45.5960 	 -54.5230 	 -12.0402
-134.6270 	  43.5390 	  22.1780 	  42.0748
 136.6570 	  32.6780 	 -38.2280 	 -48.1099
 120.1740 	 -17.1260 	  11.4380 	 -35.8885
