data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -4.6410 	  51.7855
-28.8570 	 -42.5230 	 -16.0410 	 -63.6962
 3.5310 	  28.4590 	  13.5300 	  28.3885
 124.9140 	 -20.3400 	 -11.4140 	 -35.8754
-98.7700 	  24.8510 	 -5.9090 	  17.8904
 140.1430 	 -16.7670 	 -15.3720 	 -31.2113
 134.1590 	  49.7440 	 -12.6020 	 -39.8969
 133.9630 	 -28.7190 	 -0.3020 	 -40.4644
 114.0720 	 -36.2770 	 -5.6760 	 -42.7320
 92.1380 	 -25.3370 	 -7.8110 	 -19.3076
-82.8230 	 -35.4210 	 -0.8350 	  5.6954
-21.8170 	 -26.7110 	  8.9480 	 -80.3130
-64.9270 	 -57.8270 	  3.3690 	 -11.7269
-161.5730 	  54.6250 	 -35.1110 	  6.8243
 94.0020 	  27.4170 	 -79.4430 	 -23.5730
 174.4630 	 -56.1560 	 -11.2980 	 -12.3369
-98.9750 	 -41.3750 	 -11.6750 	  23.1041
-99.3070 	 -40.9010 	  24.2230 	  23.3909
 120.0260 	 -19.5090 	 -6.9200 	 -34.0698
 78.4260 	 -24.6980 	 -23.7030 	  0.3612
 122.2790 	 -23.1810 	 -14.1710 	 -37.8980
-93.0130 	 -41.9960 	  1.0400 	  18.1853
-21.4880 	 -56.6300 	 -1.2950 	 -52.2770
-85.6880 	 -27.3200 	 -7.4420 	  4.5387
 114.4160 	 -18.4210 	 -2.2340 	 -30.6076
 123.7490 	 -50.1750 	 -28.4220 	 -41.8119
 110.9650 	 -28.3520 	 -60.2760 	 -37.9342
-11.2820 	  51.3750 	 -4.5270 	 -52.5078
 35.9710 	 -29.8550 	 -0.8320 	  60.3329
 108.7630 	 -41.4250 	 -11.7120 	 -41.4402
 161.1390 	  42.8800 	 -10.2190 	 -24.6164
 123.0930 	 -45.4390 	 -36.4200 	 -43.5609
 2.7540 	  50.2640 	  0.9880 	  14.2813
 63.6700 	 -29.0700 	  0.2290 	  18.9193
 91.4890 	  47.9540 	 -11.1580 	 -30.1787
 75.9890 	 -34.2220 	 -10.9930 	 -6.4097
 100.3000 	  53.4780 	 -27.8760 	 -34.9219
 11.2090 	  54.6320 	 -19.1110 	  34.0362
 98.2690 	  40.3760 	 -23.5370 	 -35.0612
 133.2360 	  42.4030 	 -57.6900 	 -42.3662
-72.5440 	  22.9480 	 -13.5970 	 -19.8052
 83.0990 	 -45.4670 	 -14.9720 	 -21.7882
-179.1630 	 -59.4900 	 -17.9910 	 -7.6504
 10.3920 	  11.1640 	  11.1220 	  70.5726
 60.3420 	  42.9390 	  0.7490 	  9.9568
 107.3180 	 -45.3260 	 -0.3700 	 -40.5831
 123.9070 	 -37.4380 	 -29.1390 	 -44.2434
 138.2790 	  31.0330 	 -26.8210 	 -39.7409
-160.5090 	  33.1460 	 -5.1560 	  14.3049
 179.7860 	  51.7090 	 -3.2530 	 -7.7077
-159.9170 	  53.2070 	 -47.6990 	  8.6824
-113.4990 	  40.7490 	 -14.6880 	  30.5866
-107.7240 	  49.8780 	 -38.4760 	  24.9516
-92.3690 	  52.7450 	 -21.3490 	  14.9503
 120.5560 	  58.0480 	 -19.1950 	 -37.2474
-16.0220 	  47.2060 	 -2.4780 	 -60.6732
 84.5150 	  42.1890 	 -18.7530 	 -22.4143
 40.5380 	 -40.9560 	 -3.6510 	  40.7525
 47.4730 	 -44.8150 	  10.4760 	  27.1629
-155.0730 	 -41.7560 	  4.0680 	  17.0416
-86.5340 	 -30.6110 	 -10.5690 	  7.9453
-102.0380 	 -28.5690 	 -0.7510 	  23.0720
-73.6320 	 -27.1580 	 -5.0400 	 -13.5225
-51.4090 	  52.1610 	  29.6790 	 -30.2388
-9.6270 	 -32.6010 	  2.2030 	 -60.7465
-86.8100 	  33.0800 	  21.8670 	  9.6385
-154.5160 	 -46.3250 	 -19.5490 	  15.7966
 177.0830 	  39.9380 	  0.6990 	 -9.1352
 33.8980 	  49.4580 	 -7.0080 	  38.3651
 38.4020 	 -43.3340 	  10.4620 	  40.6430
-1.2670 	 -31.0030 	  28.5080 	 -20.6638
-14.1020 	 -58.3670 	  5.6720 	 -48.5601
 106.6720 	 -34.6580 	  5.2450 	 -39.0049
 117.0870 	 -31.5440 	 -8.4040 	 -41.9915
-98.7840 	 -40.9270 	 -2.7020 	  23.0035
-4.8210 	 -50.8650 	 -0.3560 	 -37.7282
 4.5090 	 -48.4650 	 -7.1990 	  23.1680
-46.7080 	 -44.8370 	  3.6230 	 -41.7163
 121.2330 	 -25.4240 	 -23.2850 	 -39.3906
 122.7960 	 -27.2600 	 -30.0210 	 -40.7842
 128.7830 	 -23.9550 	 -28.0890 	 -38.8007
 138.7030 	 -29.6440 	 -28.7300 	 -39.1364
 143.9810 	  28.0180 	 -34.7190 	 -35.9912
-121.4730 	  42.7860 	 -17.2600 	  31.1042
-130.9150 	  58.9080 	 -29.8050 	  19.0482
-160.1960 	  29.4160 	 -6.1390 	  14.9896
-143.1100 	  24.6340 	  2.3910 	  27.0537
 174.3150 	  45.5960 	 -9.5540 	 -12.3340
-134.6270 	  43.5390 	 -4.8030 	  28.4942
 136.6570 	  32.6780 	 -8.2490 	 -40.8115
 120.1740 	 -17.1260 	 -3.5510 	 -31.5842
