data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -4.6410 	  59.7098
-28.8570 	 -42.5230 	  7.9420 	 -58.6383
 3.5310 	  28.4590 	  1.5380 	  33.9809
-94.3410 	  23.5930 	 -8.6140 	  11.9654
 124.9140 	 -20.3400 	 -29.4020 	 -29.2041
-98.7700 	  24.8510 	 -5.9090 	  18.1727
 140.1430 	 -16.7670 	 -15.3720 	 -25.6287
 134.1590 	  49.7440 	 -51.5750 	 -32.3453
 133.9630 	 -28.7190 	 -18.2900 	 -33.8311
 92.1380 	 -25.3370 	 -10.8090 	 -11.2803
-82.8230 	 -35.4210 	  2.1630 	  8.8541
-21.8170 	 -26.7110 	  5.9500 	 -79.1473
-64.9270 	 -57.8270 	 -2.6270 	 -2.7607
 174.4630 	 -56.1560 	  3.6920 	 -4.3430
-98.9750 	 -41.3750 	  6.3120 	  28.1506
-99.3070 	 -40.9010 	  9.2340 	  28.3168
 120.0260 	 -19.5090 	 -81.8680 	 -27.1760
 122.2790 	 -23.1810 	  0.8180 	 -30.9960
-93.0130 	 -41.9960 	  13.0320 	  23.3306
-21.4880 	 -56.6300 	 -10.2890 	 -43.8905
-85.6880 	 -27.3200 	  1.5510 	  5.2507
 114.4160 	 -18.4210 	  3.7610 	 -23.4600
 123.7490 	 -50.1750 	 -13.4330 	 -34.2188
 110.9650 	 -28.3520 	 -0.3170 	 -30.4781
-11.2820 	  51.3750 	  7.4650 	 -45.3323
 35.9710 	 -29.8550 	 -6.8280 	  68.5133
 108.7630 	 -41.4250 	 -2.7180 	 -33.8403
 161.1390 	  42.8800 	 -1.2250 	 -17.7406
 123.0930 	 -45.4390 	 -6.4400 	 -36.0704
 148.8950 	 -29.7450 	 -7.6020 	 -27.3712
 2.7540 	  50.2640 	 -19.9980 	  21.9647
 63.6700 	 -29.0700 	 -5.7670 	  27.3313
 91.4890 	  47.9540 	 -23.1500 	 -22.4899
 100.3000 	  53.4780 	  2.1040 	 -27.3112
 11.2090 	  54.6320 	 -10.1180 	  41.9963
 98.2690 	  40.3760 	 -14.5440 	 -27.3202
 133.2360 	  42.4030 	 -6.7260 	 -35.0909
-72.5440 	  22.9480 	 -28.5870 	 -20.7517
 83.0990 	 -45.4670 	 -8.9760 	 -14.0042
-179.1630 	 -59.4900 	 -5.9990 	  0.6793
 10.3920 	  11.1640 	  8.1240 	  75.5613
 14.8920 	  50.1220 	  5.8330 	  50.5796
 60.3420 	  42.9390 	 -2.2490 	  17.9469
 107.3180 	 -45.3260 	 -0.3700 	 -32.9602
 123.9070 	 -37.4380 	  6.8360 	 -36.9665
 138.2790 	  31.0330 	 -2.8380 	 -33.1450
-160.5090 	  33.1460 	  0.8400 	  18.8974
 179.7860 	  51.7090 	 -6.2500 	 -0.1261
-159.9170 	  53.2070 	 -32.7090 	  16.4397
-113.4990 	  40.7490 	 -8.6930 	  35.6680
-107.7240 	  49.8780 	 -17.4910 	  32.0998
 120.5560 	  58.0480 	  4.7880 	 -29.5108
 84.5150 	  42.1890 	 -24.7490 	 -14.5577
 47.4730 	 -44.8150 	  1.4820 	  35.1280
-155.0730 	 -41.7560 	 -4.9260 	  23.0243
-102.0380 	 -28.5690 	  14.2390 	  24.5802
-73.6320 	 -27.1580 	  0.9560 	 -13.0726
-51.4090 	  52.1610 	  5.6950 	 -22.6289
-9.6270 	 -32.6010 	 -0.7950 	 -57.2110
-86.8100 	  33.0800 	  3.8800 	  12.1561
-154.5160 	 -46.3250 	 -16.5510 	  22.5324
 33.8980 	  49.4580 	 -27.9940 	  46.2155
-1.2670 	 -31.0030 	  10.5200 	 -16.1165
-14.1020 	 -58.3670 	 -9.3180 	 -39.9838
 106.6720 	 -34.6580 	 -0.7510 	 -31.3879
 117.0870 	 -31.5440 	 -5.4060 	 -34.6773
-98.7840 	 -40.9270 	  27.2770 	  27.9298
-4.8210 	 -50.8650 	  5.6400 	 -30.5524
 4.5090 	 -48.4650 	 -16.1930 	  30.8130
-46.7080 	 -44.8370 	  0.6250 	 -36.0613
 121.2330 	 -25.4240 	 -17.2890 	 -32.3731
 122.7960 	 -27.2600 	 -15.0320 	 -33.7733
 128.7830 	 -23.9550 	 -19.0950 	 -32.1699
 138.7030 	 -29.6440 	 -16.7380 	 -32.6373
 143.9810 	  28.0180 	  1.2560 	 -29.8137
-121.4730 	  42.7860 	  0.7280 	  36.7769
-130.9150 	  58.9080 	  30.1530 	  27.7487
-160.1960 	  29.4160 	  8.8510 	  18.8756
-143.1100 	  24.6340 	  32.3700 	  29.1301
 174.3150 	  45.5960 	 -6.5560 	 -5.3691
-134.6270 	  43.5390 	  7.1880 	  34.4991
-126.6300 	  43.4830 	  27.9350 	  36.3948
 136.6570 	  32.6780 	  3.7430 	 -34.0692
 163.8950 	  48.5290 	 -3.9180 	 -14.3829
 120.1740 	 -17.1260 	  11.4380 	 -24.7743
