data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -7.6380 	  47.4224
-28.8570 	 -42.5230 	  10.9400 	 -58.1912
 3.5310 	  28.4590 	 -4.4580 	  23.5567
-94.3410 	  23.5930 	  54.3430 	  32.1774
 124.9140 	 -20.3400 	 -47.3890 	 -52.1896
-98.7700 	  24.8510 	  36.0620 	  36.0626
-125.8390 	  44.6220 	 -31.6660 	  31.6749
 140.1430 	 -16.7670 	 -27.3640 	 -45.2014
 114.0720 	 -36.2770 	  6.3160 	 -49.9159
 92.1380 	 -25.3370 	 -67.7700 	 -37.9266
-21.8170 	 -26.7110 	  23.9370 	 -64.8624
-64.9270 	 -57.8270 	 -2.6270 	 -19.2767
 94.0020 	  27.4170 	 -19.4840 	 -40.0659
 174.4630 	 -56.1560 	 -26.2880 	 -11.9039
-98.9750 	 -41.3750 	  0.3160 	  27.6697
-99.3070 	 -40.9010 	 -8.7540 	  28.2984
 120.0260 	 -19.5090 	 -12.9160 	 -52.2085
 78.4260 	 -24.6980 	 -8.7140 	 -20.3913
-21.4880 	 -56.6300 	 -4.2930 	 -56.3553
-11.2820 	  51.3750 	 -19.5160 	 -51.9934
 35.9710 	 -29.8550 	 -3.8300 	  44.5228
 108.7630 	 -41.4250 	 -26.7020 	 -45.4511
 161.1390 	  42.8800 	 -1.2250 	 -25.4707
 123.0930 	 -45.4390 	 -18.4320 	 -44.6871
 2.7540 	  50.2640 	 -17.0000 	  13.4874
 63.6700 	 -29.0700 	 -14.7610 	  1.5967
 91.4890 	  47.9540 	 -17.1540 	 -29.9526
 75.9890 	 -34.2220 	 -28.9810 	 -18.2115
 100.3000 	  53.4780 	  11.0970 	 -31.2497
 98.2690 	  40.3760 	 -14.5440 	 -40.3275
 133.2360 	  42.4030 	 -30.7090 	 -44.6848
-72.5440 	  22.9480 	  7.3880 	  3.1994
 83.0990 	 -45.4670 	 -20.9680 	 -23.5228
-179.1630 	 -59.4900 	 -23.9860 	 -7.6669
 10.3920 	  11.1640 	  2.1280 	  54.5399
 14.8920 	  50.1220 	 -6.1590 	  41.8754
 60.3420 	  42.9390 	  6.7450 	  5.5445
 107.3180 	 -45.3260 	 -36.3450 	 -42.0398
 138.2790 	  31.0330 	 -32.8170 	 -47.0080
-160.5090 	  33.1460 	 -23.1440 	  17.3594
 179.7860 	  51.7090 	 -30.2340 	 -7.6469
-113.4990 	  40.7490 	 -11.6910 	  34.9043
-107.7240 	  49.8780 	  33.4740 	  23.6938
-92.3690 	  52.7450 	  5.6320 	  11.5772
 120.5560 	  58.0480 	  10.7840 	 -32.5084
-16.0220 	  47.2060 	 -11.4720 	 -58.1855
 84.5150 	  42.1890 	 -18.7530 	 -26.7778
 40.5380 	 -40.9560 	 -3.6510 	  34.1419
 47.4730 	 -44.8150 	 -7.5120 	  24.0426
-155.0730 	 -41.7560 	  4.0680 	  18.5568
-86.5340 	 -30.6110 	  58.3830 	  22.4028
-102.0380 	 -28.5690 	 -3.7490 	  37.5891
-73.6320 	 -27.1580 	  27.9370 	  5.2536
-51.4090 	  52.1610 	 -3.2980 	 -33.3595
-9.6270 	 -32.6010 	  38.1780 	 -52.7887
-86.8100 	  33.0800 	  0.8820 	  21.8352
-154.5160 	 -46.3250 	  7.4320 	  16.1967
 177.0830 	  39.9380 	 -11.2930 	 -9.3219
 33.8980 	  49.4580 	 -24.9960 	  38.5084
 38.4020 	 -43.3340 	 -10.5230 	  36.0006
-138.0210 	 -34.6500 	  4.8740 	  35.3607
-1.2670 	 -31.0030 	  34.5040 	 -18.5334
-14.1020 	 -58.3670 	 -12.3160 	 -52.3180
 106.6720 	 -34.6580 	 -15.7410 	 -48.0510
 117.0870 	 -31.5440 	 -32.3870 	 -52.1142
-98.7840 	 -40.9270 	  24.2790 	  27.9149
-4.8210 	 -50.8650 	  2.6420 	 -36.7941
 4.5090 	 -48.4650 	 -28.1850 	  21.7442
-46.7080 	 -44.8370 	 -5.3710 	 -38.4950
 121.2330 	 -25.4240 	 -26.2830 	 -53.0750
 122.7960 	 -27.2600 	 -21.0280 	 -52.9256
 128.7830 	 -23.9550 	 -28.0890 	 -51.8467
 138.7030 	 -29.6440 	  4.2480 	 -47.0102
 143.9810 	  28.0180 	 -25.7260 	 -43.6183
-121.4730 	  42.7860 	 -5.2680 	  33.8168
-130.9150 	  58.9080 	 -29.8050 	  14.9390
-160.1960 	  29.4160 	 -9.1370 	  18.9729
-143.1100 	  24.6340 	  8.3870 	  36.4452
-135.2470 	  28.3670 	 -12.2300 	  40.0610
 174.3150 	  45.5960 	  11.4310 	 -12.4052
-134.6270 	  43.5390 	 -25.7890 	  30.3337
-126.6300 	  43.4830 	 -20.0310 	  32.6504
 136.6570 	  32.6780 	 -26.2370 	 -47.5166
 163.8950 	  48.5290 	 -57.8810 	 -21.5663
 120.1740 	 -17.1260 	 -36.5290 	 -51.4093
