data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -7.6380 	  47.7428
-28.8570 	 -42.5230 	  28.9280 	 -52.9765
 3.5310 	  28.4590 	 -10.4540 	  28.3221
-94.3410 	  23.5930 	 -20.6060 	  23.0874
 124.9140 	 -20.3400 	 -20.4080 	 -41.1015
-98.7700 	  24.8510 	 -17.9010 	  28.5356
-125.8390 	  44.6220 	  64.2680 	  39.0405
 140.1430 	 -16.7670 	 -27.3640 	 -35.0154
 134.1590 	  49.7440 	 -27.5920 	 -41.7977
 133.9630 	 -28.7190 	 -6.2980 	 -44.1018
 114.0720 	 -36.2770 	 -2.6780 	 -47.7517
 92.1380 	 -25.3370 	 -7.8110 	 -26.8934
-82.8230 	 -35.4210 	  29.1450 	  17.6843
-21.8170 	 -26.7110 	 -0.0460 	 -71.4228
-64.9270 	 -57.8270 	 -5.6250 	  0.4967
-161.5730 	  54.6250 	 -32.1130 	  12.1791
 174.4630 	 -56.1560 	 -26.2880 	 -9.5189
-98.9750 	 -41.3750 	 -11.6750 	  34.2894
-99.3070 	 -40.9010 	  33.2170 	  34.5475
 120.0260 	 -19.5090 	 -24.9080 	 -39.8482
 122.2790 	 -23.1810 	 -8.1750 	 -43.1845
-93.0130 	 -41.9960 	 -43.9290 	  29.7619
-21.4880 	 -56.6300 	  1.7030 	 -42.3630
-85.6880 	 -27.3200 	 -4.4450 	  16.0899
 114.4160 	 -18.4210 	 -26.2180 	 -36.9971
 123.7490 	 -50.1750 	 -40.4140 	 -44.6725
 110.9650 	 -28.3520 	 -24.3010 	 -43.8858
-11.2820 	  51.3750 	 -25.5120 	 -44.7464
 35.9710 	 -29.8550 	 -0.8320 	  53.4355
 108.7630 	 -41.4250 	  3.2770 	 -46.4501
 161.1390 	  42.8800 	  1.7730 	 -24.0789
 123.0930 	 -45.4390 	  5.5510 	 -46.9302
 148.8950 	 -29.7450 	  19.3790 	 -35.3166
 2.7540 	  50.2640 	 -14.0020 	  15.7797
 63.6700 	 -29.0700 	  6.2250 	  10.7247
 91.4890 	  47.9540 	 -104.0940 	 -35.7290
 75.9890 	 -34.2220 	 -40.9730 	 -13.9899
 100.3000 	  53.4780 	 -90.8320 	 -39.2997
 11.2090 	  54.6320 	 -34.1010 	  32.9025
 98.2690 	  40.3760 	 -8.5480 	 -40.9576
 133.2360 	  42.4030 	 -54.6920 	 -44.9935
-72.5440 	  22.9480 	  25.3760 	 -8.0250
 83.0990 	 -45.4670 	 -26.9640 	 -28.0282
-179.1630 	 -59.4900 	 -23.9860 	 -4.0235
 88.2160 	 -55.5640 	  38.4310 	 -31.2295
 10.3920 	  11.1640 	 -12.8610 	  66.9735
 14.8920 	  50.1220 	 -12.1550 	  40.3921
 60.3420 	  42.9390 	 -20.2360 	  2.9869
 107.3180 	 -45.3260 	 -18.3570 	 -45.3320
 123.9070 	 -37.4380 	 -41.1310 	 -48.2381
 138.2790 	  31.0330 	 -71.7900 	 -42.7223
-160.5090 	  33.1460 	 -14.1500 	  18.9916
 179.7860 	  51.7090 	 -57.2150 	 -4.5062
-159.9170 	  53.2070 	 -77.6780 	  14.1877
-113.4990 	  40.7490 	  21.2870 	  40.6249
-92.3690 	  52.7450 	  23.6200 	  26.4472
 120.5560 	  58.0480 	  22.7760 	 -39.5651
 84.5150 	  42.1890 	 -30.7450 	 -28.9256
 40.5380 	 -40.9560 	  47.3130 	  34.3244
 47.4730 	 -44.8150 	 -13.5080 	  20.6770
-155.0730 	 -41.7560 	 -1.9280 	  22.7667
-86.5340 	 -30.6110 	 -4.5730 	  19.5989
-102.0380 	 -28.5690 	  2.2470 	  33.6619
-73.6320 	 -27.1580 	  84.8980 	 -1.5414
-51.4090 	  52.1610 	 -3.2980 	 -17.8665
-9.6270 	 -32.6010 	  80.1490 	 -54.3273
-86.8100 	  33.0800 	  84.8240 	  21.3692
-154.5160 	 -46.3250 	 -7.5570 	  21.7349
 33.8980 	  49.4580 	 -19.0000 	  33.2098
-138.0210 	 -34.6500 	  10.8700 	  37.1228
-1.2670 	 -31.0030 	  46.4950 	 -17.6445
-14.1020 	 -58.3670 	  5.6720 	 -39.9771
 106.6720 	 -34.6580 	 -6.7470 	 -44.7936
 117.0870 	 -31.5440 	 -20.3960 	 -47.1324
-98.7840 	 -40.9270 	 -2.7020 	  34.1966
-4.8210 	 -50.8650 	  62.6010 	 -32.0120
 4.5090 	 -48.4650 	  58.7550 	  23.8292
-46.7080 	 -44.8370 	  12.6170 	 -29.4712
 121.2330 	 -25.4240 	 -23.2850 	 -44.6129
 122.7960 	 -27.2600 	 -18.0300 	 -45.7101
 128.7830 	 -23.9550 	 -43.0780 	 -43.3566
 138.7030 	 -29.6440 	 -28.7300 	 -42.1745
 143.9810 	  28.0180 	 -64.6990 	 -38.5414
-121.4730 	  42.7860 	  72.6780 	  40.4512
-160.1960 	  29.4160 	  5.8530 	  19.5133
-143.1100 	  24.6340 	  2.3910 	  33.3782
 174.3150 	  45.5960 	 -6.5560 	 -10.0716
-134.6270 	  43.5390 	 -103.7350 	  36.5432
-126.6300 	  43.4830 	  45.9230 	  39.3635
 136.6570 	  32.6780 	 -38.2280 	 -43.8487
 163.8950 	  48.5290 	 -45.8890 	 -20.4993
 120.1740 	 -17.1260 	 -6.5490 	 -37.5169
