data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -16.6320 	 -13.3824
-28.8570 	 -42.5230 	  10.9400 	  2.3071
 3.5310 	  28.4590 	 -28.4410 	 -5.9502
-94.3410 	  23.5930 	  6.3760 	  18.8470
-98.7700 	  24.8510 	 -17.9010 	  18.2323
 92.1380 	 -25.3370 	 -28.7970 	 -26.5860
-21.8170 	 -26.7110 	  23.9370 	  3.9033
-161.5730 	  54.6250 	  30.8430 	 -3.3300
-98.9750 	 -41.3750 	  15.3060 	  12.0374
-99.3070 	 -40.9010 	 -32.7370 	  12.2140
 120.0260 	 -19.5090 	  20.0610 	 -23.5217
 122.2790 	 -23.1810 	 -23.1650 	 -23.1303
-93.0130 	 -41.9960 	  28.0220 	  11.9822
-21.4880 	 -56.6300 	  7.6990 	 -3.0633
-85.6880 	 -27.3200 	 -13.4380 	  17.5852
 114.4160 	 -18.4210 	 -11.2280 	 -24.5361
 110.9650 	 -28.3520 	  20.6680 	 -25.0204
-11.2820 	  51.3750 	 -19.5160 	 -4.5151
 35.9710 	 -29.8550 	  14.1570 	 -17.4676
 108.7630 	 -41.4250 	 -23.7040 	 -24.0436
 161.1390 	  42.8800 	 -13.2170 	 -12.4660
 148.8950 	 -29.7450 	 -4.6050 	 -15.9491
 2.7540 	  50.2640 	 -14.0020 	 -8.1947
 63.6700 	 -29.0700 	  0.2290 	 -24.1619
 91.4890 	  47.9540 	  0.8340 	 -23.8181
 100.3000 	  53.4780 	 -129.8050 	 -22.3213
 11.2090 	  54.6320 	 -76.0720 	 -10.6765
 98.2690 	  40.3760 	  3.4440 	 -25.0004
 133.2360 	  42.4030 	 -0.7300 	 -19.8919
-72.5440 	  22.9480 	  25.3760 	  18.0625
 83.0990 	 -45.4670 	 -23.9660 	 -24.1943
-179.1630 	 -59.4900 	 -35.9780 	 -8.1414
 88.2160 	 -55.5640 	 -84.4840 	 -22.0194
 10.3920 	  11.1640 	 -27.8510 	 -6.2629
 14.8920 	  50.1220 	 -27.1440 	 -11.5108
 123.9070 	 -37.4380 	 -11.1520 	 -22.2586
-160.5090 	  33.1460 	  27.8210 	  1.6634
-159.9170 	  53.2070 	 -59.6910 	 -2.6257
-107.7240 	  49.8780 	  0.4970 	  7.8693
 84.5150 	  42.1890 	 -3.7630 	 -24.8221
 47.4730 	 -44.8150 	 -10.5100 	 -19.8032
-102.0380 	 -28.5690 	 -0.7510 	  16.7313
-73.6320 	 -27.1580 	  36.9310 	  16.8051
-51.4090 	  52.1610 	 -18.2880 	  4.2845
-9.6270 	 -32.6010 	  77.1510 	 -1.7065
-86.8100 	  33.0800 	  129.7930 	  15.5202
 33.8980 	  49.4580 	  4.9840 	 -16.3527
-1.2670 	 -31.0030 	  10.5200 	 -4.5068
-14.1020 	 -58.3670 	  38.6490 	 -5.0522
 106.6720 	 -34.6580 	 -6.7470 	 -25.0848
-98.7840 	 -40.9270 	 -8.6980 	  12.2303
-4.8210 	 -50.8650 	  29.6230 	 -6.1777
 4.5090 	 -48.4650 	  19.7820 	 -8.5292
 121.2330 	 -25.4240 	 -83.2430 	 -23.3512
 138.7030 	 -29.6440 	 -40.7210 	 -19.0432
 143.9810 	  28.0180 	 -46.7110 	 -17.4497
-130.9150 	  58.9080 	  9.1680 	  1.4259
-160.1960 	  29.4160 	 -15.1330 	  2.5933
-143.1100 	  24.6340 	  65.3470 	  9.5425
 174.3150 	  45.5960 	 -54.5230 	 -8.6275
-134.6270 	  43.5390 	  22.1780 	  6.1700
 136.6570 	  32.6780 	 -38.2280 	 -19.5831
 120.1740 	 -17.1260 	  11.4380 	 -23.3922
