data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	  1.3550 	 -2.6214
-28.8570 	 -42.5230 	  37.9210 	  4.5502
 3.5310 	  28.4590 	 -19.4480 	  0.0593
-94.3410 	  23.5930 	 -26.6010 	  18.6470
 124.9140 	 -20.3400 	 -53.3850 	 -22.1249
-98.7700 	  24.8510 	  51.0510 	  19.2032
-125.8390 	  44.6220 	 -34.6630 	  13.4062
 140.1430 	 -16.7670 	 -24.3660 	 -21.3999
 134.1590 	  49.7440 	 -30.5890 	 -9.8641
 133.9630 	 -28.7190 	 -33.2800 	 -16.7111
 114.0720 	 -36.2770 	 -8.6740 	 -16.0118
 92.1380 	 -25.3370 	  13.1740 	 -17.2230
-82.8230 	 -35.4210 	  11.1570 	  14.3931
-21.8170 	 -26.7110 	 -0.0460 	  1.8787
-64.9270 	 -57.8270 	  6.3670 	  8.5170
-161.5730 	  54.6250 	  36.8390 	  4.7266
 94.0020 	  27.4170 	  25.4850 	 -17.1220
 174.4630 	 -56.1560 	 -20.2920 	 -0.6777
-98.9750 	 -41.3750 	 -8.6770 	  15.0291
-99.3070 	 -40.9010 	 -17.7480 	  15.1697
 120.0260 	 -19.5090 	 -12.9160 	 -22.9175
 78.4260 	 -24.6980 	  33.2570 	 -13.7783
 122.2790 	 -23.1810 	  3.8160 	 -20.7891
-93.0130 	 -41.9960 	 -49.9240 	  14.4457
-21.4880 	 -56.6300 	 -4.2930 	  3.3747
-85.6880 	 -27.3200 	  43.5220 	  16.0244
 114.4160 	 -18.4210 	 -44.2050 	 -23.4760
 123.7490 	 -50.1750 	 -7.4370 	 -10.9577
 110.9650 	 -28.3520 	 -27.2990 	 -18.7255
-11.2820 	  51.3750 	 -58.4890 	  2.0759
 35.9710 	 -29.8550 	 -0.8320 	 -3.8499
 108.7630 	 -41.4250 	  27.2610 	 -14.4359
 161.1390 	  42.8800 	  4.7710 	 -5.5141
 123.0930 	 -45.4390 	 -36.4200 	 -12.4952
 148.8950 	 -29.7450 	  22.3770 	 -12.3911
 2.7540 	  50.2640 	 -19.9980 	  0.1271
 63.6700 	 -29.0700 	  9.2220 	 -9.8294
 91.4890 	  47.9540 	 -11.1580 	 -11.9455
 75.9890 	 -34.2220 	  6.9940 	 -12.5194
 100.3000 	  53.4780 	 -63.8510 	 -10.7635
 11.2090 	  54.6320 	 -37.0990 	 -0.9685
 98.2690 	  40.3760 	 -11.5460 	 -14.3807
 133.2360 	  42.4030 	 -36.7050 	 -12.1797
-72.5440 	  22.9480 	  10.3860 	  12.4699
 83.0990 	 -45.4670 	  38.9910 	 -11.7901
-179.1630 	 -59.4900 	 -35.9780 	  0.7353
 88.2160 	 -55.5640 	  29.4370 	 -9.7548
 10.3920 	  11.1640 	  2.1280 	  4.2102
 14.8920 	  50.1220 	 -33.1400 	 -1.5678
 60.3420 	  42.9390 	 -17.2380 	 -8.8895
 107.3180 	 -45.3260 	 -24.3530 	 -13.2495
 123.9070 	 -37.4380 	 -8.1540 	 -15.0138
 138.2790 	  31.0330 	 -32.8170 	 -14.9134
-160.5090 	  33.1460 	  0.8400 	  8.1682
 179.7860 	  51.7090 	 -3.2530 	  0.4644
-159.9170 	  53.2070 	  12.2600 	  5.2756
-113.4990 	  40.7490 	  3.2990 	  15.4457
-107.7240 	  49.8780 	  6.4920 	  12.8761
-92.3690 	  52.7450 	  17.6240 	  11.7778
 120.5560 	  58.0480 	  19.7780 	 -8.7887
-16.0220 	  47.2060 	 -26.4620 	  2.7342
 84.5150 	  42.1890 	 -36.7410 	 -12.6326
 40.5380 	 -40.9560 	  44.3160 	 -5.5314
 47.4730 	 -44.8150 	 -7.5120 	 -6.6309
-155.0730 	 -41.7560 	 -7.9240 	  8.3538
-86.5340 	 -30.6110 	  82.3660 	  15.7531
-102.0380 	 -28.5690 	 -9.7450 	  18.6265
-73.6320 	 -27.1580 	  108.8810 	  12.9893
-51.4090 	  52.1610 	  8.6930 	  7.6962
-9.6270 	 -32.6010 	  83.1470 	  1.3533
