data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -4.6410 	 -10.5081
-28.8570 	 -42.5230 	 -16.0410 	 -8.9870
 3.5310 	  28.4590 	  13.5300 	 -6.6157
 124.9140 	 -20.3400 	 -11.4140 	 -18.6857
-98.7700 	  24.8510 	 -5.9090 	  3.6519
 140.1430 	 -16.7670 	 -15.3720 	 -18.3070
 134.1590 	  49.7440 	 -12.6020 	 -16.4412
 133.9630 	 -28.7190 	 -0.3020 	 -16.9459
 114.0720 	 -36.2770 	 -5.6760 	 -17.1659
 92.1380 	 -25.3370 	 -7.8110 	 -14.5294
-82.8230 	 -35.4210 	 -0.8350 	 -2.3785
-21.8170 	 -26.7110 	  8.9480 	 -7.8657
-64.9270 	 -57.8270 	  3.3690 	 -9.0014
-161.5730 	  54.6250 	 -35.1110 	 -9.4761
 94.0020 	  27.4170 	 -79.4430 	 -15.0463
 174.4630 	 -56.1560 	 -11.2980 	 -12.5926
-98.9750 	 -41.3750 	 -11.6750 	 -2.4954
-99.3070 	 -40.9010 	  24.2230 	 -2.3138
 120.0260 	 -19.5090 	 -6.9200 	 -18.8369
 78.4260 	 -24.6980 	 -23.7030 	 -11.4068
 122.2790 	 -23.1810 	 -14.1710 	 -18.1308
-93.0130 	 -41.9960 	  1.0400 	 -3.1461
-21.4880 	 -56.6300 	 -1.2950 	 -11.1372
-85.6880 	 -27.3200 	 -7.4420 	  0.3083
 114.4160 	 -18.4210 	 -2.2340 	 -18.7256
 123.7490 	 -50.1750 	 -28.4220 	 -16.9315
 110.9650 	 -28.3520 	 -60.2760 	 -17.1709
-11.2820 	  51.3750 	 -4.5270 	 -10.8418
 35.9710 	 -29.8550 	 -0.8320 	 -6.6471
 108.7630 	 -41.4250 	 -11.7120 	 -17.0142
 161.1390 	  42.8800 	 -10.2190 	 -13.1631
 123.0930 	 -45.4390 	 -36.4200 	 -17.0245
 2.7540 	  50.2640 	  0.9880 	 -11.1392
 63.6700 	 -29.0700 	  0.2290 	 -9.6751
 91.4890 	  47.9540 	 -11.1580 	 -16.3249
 75.9890 	 -34.2220 	 -10.9930 	 -13.0818
 100.3000 	  53.4780 	 -27.8760 	 -16.8617
 11.2090 	  54.6320 	 -19.1110 	 -12.1402
 98.2690 	  40.3760 	 -23.5370 	 -16.4074
 133.2360 	  42.4030 	 -57.6900 	 -16.5723
-72.5440 	  22.9480 	 -13.5970 	 -1.7493
 83.0990 	 -45.4670 	 -14.9720 	 -15.5237
-179.1630 	 -59.4900 	 -17.9910 	 -12.2947
 10.3920 	  11.1640 	  11.1220 	  2.9085
 60.3420 	  42.9390 	  0.7490 	 -12.9303
 107.3180 	 -45.3260 	 -0.3700 	 -17.0062
 123.9070 	 -37.4380 	 -29.1390 	 -17.1311
 138.2790 	  31.0330 	 -26.8210 	 -16.3590
-160.5090 	  33.1460 	 -5.1560 	 -3.1879
 179.7860 	  51.7090 	 -3.2530 	 -11.3099
-159.9170 	  53.2070 	 -47.6990 	 -8.9534
-113.4990 	  40.7490 	 -14.6880 	 -1.6290
-107.7240 	  49.8780 	 -38.4760 	 -4.9459
-92.3690 	  52.7450 	 -21.3490 	 -6.3233
 120.5560 	  58.0480 	 -19.1950 	 -16.8241
-16.0220 	  47.2060 	 -2.4780 	 -10.0858
 84.5150 	  42.1890 	 -18.7530 	 -15.3287
 40.5380 	 -40.9560 	 -3.6510 	 -10.7063
 47.4730 	 -44.8150 	  10.4760 	 -12.1780
-155.0730 	 -41.7560 	  4.0680 	 -5.0815
-86.5340 	 -30.6110 	 -10.5690 	 -0.4937
-102.0380 	 -28.5690 	 -0.7510 	  2.5402
-73.6320 	 -27.1580 	 -5.0400 	 -2.1248
-51.4090 	  52.1610 	  29.6790 	 -8.8703
-9.6270 	 -32.6010 	  2.2030 	 -8.0381
-86.8100 	  33.0800 	  21.8670 	 -1.1677
-154.5160 	 -46.3250 	 -19.5490 	 -6.4198
 177.0830 	  39.9380 	  0.6990 	 -9.8217
 33.8980 	  49.4580 	 -7.0080 	 -12.2548
 38.4020 	 -43.3340 	  10.4620 	 -11.1745
-1.2670 	 -31.0030 	  28.5080 	 -7.4593
-14.1020 	 -58.3670 	  5.6720 	 -11.6755
 106.6720 	 -34.6580 	  5.2450 	 -16.8241
 117.0870 	 -31.5440 	 -8.4040 	 -17.3349
-98.7840 	 -40.9270 	 -2.7020 	 -2.3592
-4.8210 	 -50.8650 	 -0.3560 	 -10.9897
 4.5090 	 -48.4650 	 -7.1990 	 -10.8878
-46.7080 	 -44.8370 	  3.6230 	 -8.1436
 121.2330 	 -25.4240 	 -23.2850 	 -17.8227
 122.7960 	 -27.2600 	 -30.0210 	 -17.6379
 128.7830 	 -23.9550 	 -28.0890 	 -17.8484
 138.7030 	 -29.6440 	 -28.7300 	 -16.3767
 143.9810 	  28.0180 	 -34.7190 	 -15.7114
-121.4730 	  42.7860 	 -17.2600 	 -2.4248
-130.9150 	  58.9080 	 -29.8050 	 -8.1640
-160.1960 	  29.4160 	 -6.1390 	 -1.7523
-143.1100 	  24.6340 	  2.3910 	  4.1307
 174.3150 	  45.5960 	 -9.5540 	 -11.2386
-134.6270 	  43.5390 	 -4.8030 	 -3.3395
 136.6570 	  32.6780 	 -8.2490 	 -16.4706
 120.1740 	 -17.1260 	 -3.5510 	 -19.5973
