data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -16.6320 	 -10.6188
-28.8570 	 -42.5230 	  22.9320 	 -6.3539
 3.5310 	  28.4590 	 -7.4560 	 -6.4121
-94.3410 	  23.5930 	 -17.6080 	  1.5362
 124.9140 	 -20.3400 	 -62.3790 	 -10.8191
-98.7700 	  24.8510 	 -17.9010 	  1.2550
-125.8390 	  44.6220 	 -10.6800 	 -4.6381
 140.1430 	 -16.7670 	 -30.3620 	 -9.2237
 134.1590 	  49.7440 	 -60.5690 	 -13.2603
 133.9630 	 -28.7190 	  2.6960 	 -11.2321
 114.0720 	 -36.2770 	  0.3200 	 -13.1181
 92.1380 	 -25.3370 	 -25.7990 	 -11.9934
-21.8170 	 -26.7110 	  8.9480 	 -3.8379
-64.9270 	 -57.8270 	 -11.6210 	 -7.4846
-161.5730 	  54.6250 	  12.8560 	 -9.0490
 174.4630 	 -56.1560 	 -20.2920 	 -11.0378
-98.9750 	 -41.3750 	  42.2870 	 -3.0782
-99.3070 	 -40.9010 	 -44.7290 	 -2.9590
 120.0260 	 -19.5090 	 -33.9010 	 -10.9637
 122.2790 	 -23.1810 	  3.8160 	 -11.3027
-85.6880 	 -27.3200 	  16.5410 	  0.3693
 114.4160 	 -18.4210 	 -32.2140 	 -11.0260
 123.7490 	 -50.1750 	 -7.4370 	 -13.7956
 110.9650 	 -28.3520 	 -3.3150 	 -12.3465
-11.2820 	  51.3750 	  1.4690 	 -9.1953
 35.9710 	 -29.8550 	 -12.8240 	 -9.4832
 108.7630 	 -41.4250 	 -5.7160 	 -13.7163
 161.1390 	  42.8800 	 -1.2250 	 -10.5659
 123.0930 	 -45.4390 	  5.5510 	 -13.5310
 148.8950 	 -29.7450 	  49.3580 	 -10.0312
 2.7540 	  50.2640 	  3.9860 	 -10.0440
 63.6700 	 -29.0700 	 -38.7440 	 -11.3626
 91.4890 	  47.9540 	 -23.1500 	 -14.2909
 100.3000 	  53.4780 	 -30.8740 	 -14.5130
 11.2090 	  54.6320 	 -7.1200 	 -11.1853
 98.2690 	  40.3760 	 -32.5310 	 -13.7623
 133.2360 	  42.4030 	 -54.6920 	 -12.7492
-72.5440 	  22.9480 	 -28.5870 	  0.8377
 83.0990 	 -45.4670 	 -5.9780 	 -14.0338
-179.1630 	 -59.4900 	 -5.9990 	 -10.9715
 10.3920 	  11.1640 	  8.1240 	 -3.0272
 14.8920 	  50.1220 	 -3.1610 	 -10.9047
 60.3420 	  42.9390 	 -11.2420 	 -13.0206
 107.3180 	 -45.3260 	 -3.3680 	 -14.0270
 123.9070 	 -37.4380 	  6.8360 	 -12.8225
 138.2790 	  31.0330 	  6.1560 	 -11.1739
-160.5090 	  33.1460 	 -8.1540 	 -4.7202
 179.7860 	  51.7090 	  5.7410 	 -10.0637
-159.9170 	  53.2070 	 -29.7110 	 -8.6862
-113.4990 	  40.7490 	 -5.6950 	 -3.1717
-107.7240 	  49.8780 	 -8.4970 	 -5.3024
 120.5560 	  58.0480 	 -7.2040 	 -14.2051
 84.5150 	  42.1890 	 -12.7570 	 -13.8049
 40.5380 	 -40.9560 	  2.3450 	 -11.5873
 47.4730 	 -44.8150 	 -13.5080 	 -12.5010
-155.0730 	 -41.7560 	 -16.9180 	 -6.0600
-102.0380 	 -28.5690 	 -3.7490 	  0.2587
-73.6320 	 -27.1580 	  6.9520 	 -0.0791
-51.4090 	  52.1610 	 -21.2860 	 -6.8502
-9.6270 	 -32.6010 	 -0.7950 	 -6.0491
-86.8100 	  33.0800 	  3.8800 	 -1.0591
 33.8980 	  49.4580 	 -19.0000 	 -12.1326
-1.2670 	 -31.0030 	 -16.4610 	 -6.4806
-14.1020 	 -58.3670 	 -9.3180 	 -10.0394
 106.6720 	 -34.6580 	 -0.7510 	 -13.1396
 117.0870 	 -31.5440 	  6.5860 	 -12.5190
-98.7840 	 -40.9270 	  18.2830 	 -2.9632
-4.8210 	 -50.8650 	  2.6420 	 -9.5798
 4.5090 	 -48.4650 	 -7.1990 	 -9.9206
-46.7080 	 -44.8370 	  0.6250 	 -5.5928
 121.2330 	 -25.4240 	 -11.2930 	 -11.6267
 122.7960 	 -27.2600 	 -15.0320 	 -11.7696
 128.7830 	 -23.9550 	 -10.1010 	 -11.0177
 138.7030 	 -29.6440 	 -7.7440 	 -10.9674
 143.9810 	  28.0180 	 -1.7420 	 -10.2844
-121.4730 	  42.7860 	 -2.2700 	 -3.9830
-130.9150 	  58.9080 	 -26.8070 	 -8.0763
-160.1960 	  29.4160 	 -24.1260 	 -3.8296
-143.1100 	  24.6340 	  11.3850 	 -0.7513
 174.3150 	  45.5960 	 -0.5600 	 -9.6849
-134.6270 	  43.5390 	 -4.8030 	 -4.8727
-126.6300 	  43.4830 	 -11.0380 	 -4.4000
 136.6570 	  32.6780 	 -8.2490 	 -11.5000
 163.8950 	  48.5290 	 -48.8870 	 -11.0068
 120.1740 	 -17.1260 	  2.4440 	 -10.6827
