data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -4.6410 	 -3.6221
-28.8570 	 -42.5230 	  7.9420 	 -2.6181
 3.5310 	  28.4590 	  1.5380 	 -1.9117
-94.3410 	  23.5930 	 -8.6140 	  7.0347
 124.9140 	 -20.3400 	 -29.4020 	 -14.6404
-98.7700 	  24.8510 	 -5.9090 	  7.4925
 140.1430 	 -16.7670 	 -15.3720 	 -14.5018
 134.1590 	  49.7440 	 -51.5750 	 -8.8454
 133.9630 	 -28.7190 	 -18.2900 	 -11.8453
 92.1380 	 -25.3370 	 -10.8090 	 -10.1934
-82.8230 	 -35.4210 	  2.1630 	  3.0497
-21.8170 	 -26.7110 	  5.9500 	 -3.9538
-64.9270 	 -57.8270 	 -2.6270 	 -0.9369
 174.4630 	 -56.1560 	  3.6920 	 -4.5081
-98.9750 	 -41.3750 	  6.3120 	  3.7013
-99.3070 	 -40.9010 	  9.2340 	  3.8206
 120.0260 	 -19.5090 	 -81.8680 	 -14.9476
 122.2790 	 -23.1810 	  0.8180 	 -13.7788
-93.0130 	 -41.9960 	  13.0320 	  3.1396
-21.4880 	 -56.6300 	 -10.2890 	 -3.1124
-85.6880 	 -27.3200 	  1.5510 	  4.5977
 114.4160 	 -18.4210 	  3.7610 	 -15.0600
 123.7490 	 -50.1750 	 -13.4330 	 -9.2803
 110.9650 	 -28.3520 	 -0.3170 	 -12.2321
-11.2820 	  51.3750 	  7.4650 	 -3.3167
 35.9710 	 -29.8550 	 -6.8280 	 -1.4155
 108.7630 	 -41.4250 	 -2.7180 	 -10.3556
 161.1390 	  42.8800 	 -1.2250 	 -6.4233
 123.0930 	 -45.4390 	 -6.4400 	 -9.8816
 148.8950 	 -29.7450 	 -7.6020 	 -9.6118
 2.7540 	  50.2640 	 -19.9980 	 -3.6604
 63.6700 	 -29.0700 	 -5.7670 	 -4.7265
 91.4890 	  47.9540 	 -23.1500 	 -8.9232
 100.3000 	  53.4780 	  2.1040 	 -8.8816
 11.2090 	  54.6320 	 -10.1180 	 -4.1769
 98.2690 	  40.3760 	 -14.5440 	 -9.9004
 133.2360 	  42.4030 	 -6.7260 	 -9.7813
-72.5440 	  22.9480 	 -28.5870 	  1.9112
 83.0990 	 -45.4670 	 -8.9760 	 -8.4101
-179.1630 	 -59.4900 	 -5.9990 	 -3.9360
 10.3920 	  11.1640 	  8.1240 	  7.7890
 14.8920 	  50.1220 	  5.8330 	 -3.9969
 60.3420 	  42.9390 	 -2.2490 	 -6.1091
 107.3180 	 -45.3260 	 -0.3700 	 -9.8868
 123.9070 	 -37.4380 	  6.8360 	 -10.9384
 138.2790 	  31.0330 	 -2.8380 	 -10.9690
-160.5090 	  33.1460 	  0.8400 	  1.8982
 179.7860 	  51.7090 	 -6.2500 	 -3.6911
-159.9170 	  53.2070 	 -32.7090 	 -1.2730
-113.4990 	  40.7490 	 -8.6930 	  4.4570
-107.7240 	  49.8780 	 -17.4910 	  2.2776
 120.5560 	  58.0480 	  4.7880 	 -8.4333
 84.5150 	  42.1890 	 -24.7490 	 -8.6106
 47.4730 	 -44.8150 	  1.4820 	 -5.1325
-155.0730 	 -41.7560 	 -4.9260 	  1.2030
-102.0380 	 -28.5690 	  14.2390 	  6.9220
-73.6320 	 -27.1580 	  0.9560 	  2.1368
-51.4090 	  52.1610 	  5.6950 	 -1.3715
-9.6270 	 -32.6010 	 -0.7950 	 -2.9570
-86.8100 	  33.0800 	  3.8800 	  3.9339
-154.5160 	 -46.3250 	 -16.5510 	  0.4501
 33.8980 	  49.4580 	 -27.9940 	 -4.7253
-1.2670 	 -31.0030 	  10.5200 	 -2.4830
-14.1020 	 -58.3670 	 -9.3180 	 -3.4627
 106.6720 	 -34.6580 	 -0.7510 	 -11.0427
 117.0870 	 -31.5440 	 -5.4060 	 -11.9233
-98.7840 	 -40.9270 	  27.2770 	  3.7796
-4.8210 	 -50.8650 	  5.6400 	 -3.4871
 4.5090 	 -48.4650 	 -16.1930 	 -3.5955
-46.7080 	 -44.8370 	  0.6250 	 -1.5046
 121.2330 	 -25.4240 	 -17.2890 	 -13.1950
 122.7960 	 -27.2600 	 -15.0320 	 -12.7611
 128.7830 	 -23.9550 	 -19.0950 	 -13.3533
 138.7030 	 -29.6440 	 -16.7380 	 -11.1623
 143.9810 	  28.0180 	  1.2560 	 -10.7169
-121.4730 	  42.7860 	  0.7280 	  3.9222
-130.9150 	  58.9080 	  30.1530 	  0.0071
-160.1960 	  29.4160 	  8.8510 	  2.7408
-143.1100 	  24.6340 	  32.3700 	  7.6385
 174.3150 	  45.5960 	 -6.5560 	 -4.2663
-134.6270 	  43.5390 	  7.1880 	  3.1118
-126.6300 	  43.4830 	  27.9350 	  3.5868
 136.6570 	  32.6780 	  3.7430 	 -10.8708
 163.8950 	  48.5290 	 -3.9180 	 -5.8452
 120.1740 	 -17.1260 	  11.4380 	 -15.9470
