data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -7.6380 	 -12.8433
-28.8570 	 -42.5230 	  10.9400 	 -2.2017
 3.5310 	  28.4590 	 -4.4580 	 -6.4769
-94.3410 	  23.5930 	  54.3430 	  13.8549
 124.9140 	 -20.3400 	 -47.3890 	 -22.8154
-98.7700 	  24.8510 	  36.0620 	  13.6494
-125.8390 	  44.6220 	 -31.6660 	  3.9083
 140.1430 	 -16.7670 	 -27.3640 	 -19.8868
 114.0720 	 -36.2770 	  6.3160 	 -22.8675
 92.1380 	 -25.3370 	 -67.7700 	 -23.3352
-21.8170 	 -26.7110 	  23.9370 	 -0.9021
-64.9270 	 -57.8270 	 -2.6270 	 -1.0856
 94.0020 	  27.4170 	 -19.4840 	 -23.4884
 174.4630 	 -56.1560 	 -26.2880 	 -11.1683
-98.9750 	 -41.3750 	  0.3160 	  7.0611
-99.3070 	 -40.9010 	 -8.7540 	  7.2536
 120.0260 	 -19.5090 	 -12.9160 	 -23.5439
 78.4260 	 -24.6980 	 -8.7140 	 -21.5587
-21.4880 	 -56.6300 	 -4.2930 	 -6.4745
-11.2820 	  51.3750 	 -19.5160 	 -7.3055
 35.9710 	 -29.8550 	 -3.8300 	 -13.7350
 108.7630 	 -41.4250 	 -26.7020 	 -22.7479
 161.1390 	  42.8800 	 -1.2250 	 -13.5534
 123.0930 	 -45.4390 	 -18.4320 	 -21.0961
 2.7540 	  50.2640 	 -17.0000 	 -9.7908
 63.6700 	 -29.0700 	 -14.7610 	 -19.4261
 91.4890 	  47.9540 	 -17.1540 	 -22.1991
 75.9890 	 -34.2220 	 -28.9810 	 -21.7795
 100.3000 	  53.4780 	  11.0970 	 -21.4519
 98.2690 	  40.3760 	 -14.5440 	 -23.0734
 133.2360 	  42.4030 	 -30.7090 	 -19.8975
-72.5440 	  22.9480 	  7.3880 	  10.8774
 83.0990 	 -45.4670 	 -20.9680 	 -22.0796
-179.1630 	 -59.4900 	 -23.9860 	 -10.2219
 10.3920 	  11.1640 	  2.1280 	 -2.2051
 14.8920 	  50.1220 	 -6.1590 	 -12.0774
 60.3420 	  42.9390 	  6.7450 	 -19.7217
 107.3180 	 -45.3260 	 -36.3450 	 -22.3908
 138.2790 	  31.0330 	 -32.8170 	 -19.4816
-160.5090 	  33.1460 	 -23.1440 	  0.0528
 179.7860 	  51.7090 	 -30.2340 	 -9.5076
-113.4990 	  40.7490 	 -11.6910 	  6.7904
-107.7240 	  49.8780 	  33.4740 	  3.3516
-92.3690 	  52.7450 	  5.6320 	  2.3882
 120.5560 	  58.0480 	  10.7840 	 -19.6216
-16.0220 	  47.2060 	 -11.4720 	 -5.6702
 84.5150 	  42.1890 	 -18.7530 	 -22.4203
 40.5380 	 -40.9560 	 -3.6510 	 -16.2319
 47.4730 	 -44.8150 	 -7.5120 	 -17.6998
-155.0730 	 -41.7560 	  4.0680 	 -0.9180
-86.5340 	 -30.6110 	  58.3830 	  10.6291
-102.0380 	 -28.5690 	 -3.7490 	  12.2454
-73.6320 	 -27.1580 	  27.9370 	  10.0062
-51.4090 	  52.1610 	 -3.2980 	 -0.7771
-9.6270 	 -32.6010 	  38.1780 	 -4.4243
-86.8100 	  33.0800 	  0.8820 	  9.7730
-154.5160 	 -46.3250 	  7.4320 	 -2.1278
 177.0830 	  39.9380 	 -11.2930 	 -8.6352
 33.8980 	  49.4580 	 -24.9960 	 -15.5016
 38.4020 	 -43.3340 	 -10.5230 	 -16.0041
-138.0210 	 -34.6500 	  4.8740 	  5.6980
-1.2670 	 -31.0030 	  34.5040 	 -5.9364
-14.1020 	 -58.3670 	 -12.3160 	 -7.9770
 106.6720 	 -34.6580 	 -15.7410 	 -23.3970
 117.0870 	 -31.5440 	 -32.3870 	 -22.9474
-98.7840 	 -40.9270 	  24.2790 	  7.2424
-4.8210 	 -50.8650 	  2.6420 	 -8.4351
 4.5090 	 -48.4650 	 -28.1850 	 -9.9017
-46.7080 	 -44.8370 	 -5.3710 	  0.5793
 121.2330 	 -25.4240 	 -26.2830 	 -22.8973
 122.7960 	 -27.2600 	 -21.0280 	 -22.5702
 128.7830 	 -23.9550 	 -28.0890 	 -21.8498
 138.7030 	 -29.6440 	  4.2480 	 -19.4336
 143.9810 	  28.0180 	 -25.7260 	 -18.1296
-121.4730 	  42.7860 	 -5.2680 	  5.1909
-130.9150 	  58.9080 	 -29.8050 	 -2.1841
-160.1960 	  29.4160 	 -9.1370 	  1.2758
-143.1100 	  24.6340 	  8.3870 	  8.4170
-135.2470 	  28.3670 	 -12.2300 	  8.8301
 174.3150 	  45.5960 	  11.4310 	 -10.1656
-134.6270 	  43.5390 	 -25.7890 	  2.9720
-126.6300 	  43.4830 	 -20.0310 	  4.2545
 136.6570 	  32.6780 	 -26.2370 	 -19.7791
 163.8950 	  48.5290 	 -57.8810 	 -13.0925
 120.1740 	 -17.1260 	 -36.5290 	 -23.8358
