data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -16.6320 	 -9.9431
-28.8570 	 -42.5230 	  22.9320 	 -6.8379
 3.5310 	  28.4590 	 -7.4560 	 -6.1017
-94.3410 	  23.5930 	 -17.6080 	  1.8541
 124.9140 	 -20.3400 	 -62.3790 	 -12.7514
-98.7700 	  24.8510 	 -17.9010 	  1.8190
-125.8390 	  44.6220 	 -10.6800 	 -3.9083
 140.1430 	 -16.7670 	 -30.3620 	 -11.8354
 134.1590 	  49.7440 	 -60.5690 	 -13.5037
 133.9630 	 -28.7190 	  2.6960 	 -12.4715
 114.0720 	 -36.2770 	  0.3200 	 -13.5691
 92.1380 	 -25.3370 	 -25.7990 	 -11.9339
-21.8170 	 -26.7110 	  8.9480 	 -4.8646
-64.9270 	 -57.8270 	 -11.6210 	 -7.5636
-161.5730 	  54.6250 	  12.8560 	 -8.6507
 174.4630 	 -56.1560 	 -20.2920 	 -10.8817
-98.9750 	 -41.3750 	  42.2870 	 -2.7788
-99.3070 	 -40.9010 	 -44.7290 	 -2.6603
 120.0260 	 -19.5090 	 -33.9010 	 -12.8396
 122.2790 	 -23.1810 	  3.8160 	 -12.8441
-85.6880 	 -27.3200 	  16.5410 	  0.1751
 114.4160 	 -18.4210 	 -32.2140 	 -12.7767
 123.7490 	 -50.1750 	 -7.4370 	 -13.9917
 110.9650 	 -28.3520 	 -3.3150 	 -13.1048
-11.2820 	  51.3750 	  1.4690 	 -9.1810
 35.9710 	 -29.8550 	 -12.8240 	 -8.0126
 108.7630 	 -41.4250 	 -5.7160 	 -13.9011
 161.1390 	  42.8800 	 -1.2250 	 -10.7991
 123.0930 	 -45.4390 	  5.5510 	 -13.8093
 148.8950 	 -29.7450 	  49.3580 	 -10.9991
 2.7540 	  50.2640 	  3.9860 	 -9.7959
 63.6700 	 -29.0700 	 -38.7440 	 -10.0456
 91.4890 	  47.9540 	 -23.1500 	 -14.0319
 100.3000 	  53.4780 	 -30.8740 	 -14.3472
 11.2090 	  54.6320 	 -7.1200 	 -10.8210
 98.2690 	  40.3760 	 -32.5310 	 -13.6912
 133.2360 	  42.4030 	 -54.6920 	 -13.2322
-72.5440 	  22.9480 	 -28.5870 	 -0.2309
 83.0990 	 -45.4670 	 -5.9780 	 -13.6098
-179.1630 	 -59.4900 	 -5.9990 	 -10.7431
 10.3920 	  11.1640 	  8.1240 	 -1.3113
 14.8920 	  50.1220 	 -3.1610 	 -10.4451
 60.3420 	  42.9390 	 -11.2420 	 -12.1645
 107.3180 	 -45.3260 	 -3.3680 	 -14.0886
 123.9070 	 -37.4380 	  6.8360 	 -13.4540
 138.2790 	  31.0330 	  6.1560 	 -12.2122
-160.5090 	  33.1460 	 -8.1540 	 -3.9113
 179.7860 	  51.7090 	  5.7410 	 -9.8646
-159.9170 	  53.2070 	 -29.7110 	 -8.2692
-113.4990 	  40.7490 	 -5.6950 	 -2.5614
-107.7240 	  49.8780 	 -8.4970 	 -4.8856
 120.5560 	  58.0480 	 -7.2040 	 -14.1683
 84.5150 	  42.1890 	 -12.7570 	 -13.4100
 40.5380 	 -40.9560 	  2.3450 	 -10.5981
 47.4730 	 -44.8150 	 -13.5080 	 -11.6158
-155.0730 	 -41.7560 	 -16.9180 	 -5.3743
-102.0380 	 -28.5690 	 -3.7490 	  0.8971
-73.6320 	 -27.1580 	  6.9520 	 -0.8723
-51.4090 	  52.1610 	 -21.2860 	 -7.1226
-9.6270 	 -32.6010 	 -0.7950 	 -6.3138
-86.8100 	  33.0800 	  3.8800 	 -1.1338
 33.8980 	  49.4580 	 -19.0000 	 -11.4285
-1.2670 	 -31.0030 	 -16.4610 	 -6.4073
-14.1020 	 -58.3670 	 -9.3180 	 -9.9733
 106.6720 	 -34.6580 	 -0.7510 	 -13.4997
 117.0870 	 -31.5440 	  6.5860 	 -13.3291
-98.7840 	 -40.9270 	  18.2830 	 -2.6771
-4.8210 	 -50.8650 	  2.6420 	 -9.4654
 4.5090 	 -48.4650 	 -7.1990 	 -9.6390
-46.7080 	 -44.8370 	  0.6250 	 -6.1152
 121.2330 	 -25.4240 	 -11.2930 	 -12.9188
 122.7960 	 -27.2600 	 -15.0320 	 -12.9245
 128.7830 	 -23.9550 	 -10.1010 	 -12.5661
 138.7030 	 -29.6440 	 -7.7440 	 -12.0629
 143.9810 	  28.0180 	 -1.7420 	 -11.4517
-121.4730 	  42.7860 	 -2.2700 	 -3.2362
-130.9150 	  58.9080 	 -26.8070 	 -7.6403
-160.1960 	  29.4160 	 -24.1260 	 -2.9147
-143.1100 	  24.6340 	  11.3850 	  0.9326
 174.3150 	  45.5960 	 -0.5600 	 -9.6075
-134.6270 	  43.5390 	 -4.8030 	 -4.1034
-126.6300 	  43.4830 	 -11.0380 	 -3.6662
 136.6570 	  32.6780 	 -8.2490 	 -12.4096
 163.8950 	  48.5290 	 -48.8870 	 -11.0608
 120.1740 	 -17.1260 	  2.4440 	 -12.9031
