data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -10.6360 	 -12.9104
-28.8570 	 -42.5230 	  16.9360 	  3.0976
-94.3410 	  23.5930 	  9.3740 	  23.5954
 124.9140 	 -20.3400 	 -2.4200 	 -29.4777
 140.1430 	 -16.7670 	  35.5930 	 -25.6307
 114.0720 	 -36.2770 	 -35.6550 	 -27.9165
 92.1380 	 -25.3370 	  4.1800 	 -30.1611
-82.8230 	 -35.4210 	 -42.8060 	  17.7517
-21.8170 	 -26.7110 	  14.9430 	  3.3678
-99.3070 	 -40.9010 	  111.1630 	  16.2759
 120.0260 	 -19.5090 	 -21.9100 	 -30.6246
 114.4160 	 -18.4210 	 -17.2240 	 -31.6475
-11.2820 	  51.3750 	  1.4690 	 -3.6805
 35.9710 	 -29.8550 	 -6.8280 	 -16.4697
 123.0930 	 -45.4390 	 -30.4240 	 -24.2806
 148.8950 	 -29.7450 	 -49.5730 	 -19.5844
 2.7540 	  50.2640 	 -2.0100 	 -7.5441
 98.2690 	  40.3760 	 -14.5440 	 -27.8755
 133.2360 	  42.4030 	 -105.6570 	 -22.8606
 88.2160 	 -55.5640 	  26.4390 	 -23.4844
 10.3920 	  11.1640 	  5.1260 	 -3.3032
 14.8920 	  50.1220 	  35.8120 	 -11.0101
 60.3420 	  42.9390 	 -2.2490 	 -23.1332
-113.4990 	  40.7490 	  27.2820 	  15.4415
-107.7240 	  49.8780 	 -8.4970 	  11.4944
 120.5560 	  58.0480 	 -130.1190 	 -21.1266
 84.5150 	  42.1890 	 -24.7490 	 -26.9103
-86.5340 	 -30.6110 	  55.3850 	  20.0616
-102.0380 	 -28.5690 	  5.2450 	  21.8342
-51.4090 	  52.1610 	 -21.2860 	  6.0676
-9.6270 	 -32.6010 	  38.1780 	 -1.4584
-86.8100 	  33.0800 	  132.7900 	  19.1591
-154.5160 	 -46.3250 	 -7.5570 	  3.1091
 33.8980 	  49.4580 	 -36.9870 	 -16.2005
-1.2670 	 -31.0030 	 -43.4420 	 -4.0908
-14.1020 	 -58.3670 	 -48.2910 	 -4.0634
 106.6720 	 -34.6580 	 -9.7450 	 -28.8790
 117.0870 	 -31.5440 	 -23.3930 	 -28.5103
-98.7840 	 -40.9270 	 -2.7020 	  16.2698
 4.5090 	 -48.4650 	  94.7300 	 -7.9073
-46.7080 	 -44.8370 	 -2.3730 	  7.4228
 122.7960 	 -27.2600 	  104.8850 	 -28.3448
 128.7830 	 -23.9550 	 -22.0930 	 -27.6490
 138.7030 	 -29.6440 	 -25.7320 	 -23.5432
 143.9810 	  28.0180 	 -7.7380 	 -21.8538
-130.9150 	  58.9080 	 -53.7890 	  4.2252
-160.1960 	  29.4160 	 -3.1410 	  5.8903
-143.1100 	  24.6340 	  26.3740 	  15.4307
-134.6270 	  43.5390 	  43.1630 	  10.1065
-126.6300 	  43.4830 	 -11.0380 	  11.9743
 163.8950 	  48.5290 	 -117.8390 	 -12.4245
 120.1740 	 -17.1260 	 -147.4520 	 -31.3384
