data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -16.6320 	 -10.3939
-28.8570 	 -42.5230 	  10.9400 	  0.9814
 3.5310 	  28.4590 	 -28.4410 	 -4.4593
-94.3410 	  23.5930 	  6.3760 	  20.4383
-98.7700 	  24.8510 	 -17.9010 	  20.6998
 92.1380 	 -25.3370 	 -28.7970 	 -26.2376
-21.8170 	 -26.7110 	  23.9370 	  0.3007
-161.5730 	  54.6250 	  30.8430 	 -1.3204
-98.9750 	 -41.3750 	  15.3060 	  13.6279
-99.3070 	 -40.9010 	 -32.7370 	  13.8135
 120.0260 	 -19.5090 	  20.0610 	 -30.0687
 122.2790 	 -23.1810 	 -23.1650 	 -28.2931
-93.0130 	 -41.9960 	  28.0220 	  13.0192
-21.4880 	 -56.6300 	  7.6990 	 -2.6153
-85.6880 	 -27.3200 	 -13.4380 	  17.3338
 114.4160 	 -18.4210 	 -11.2280 	 -30.7404
 110.9650 	 -28.3520 	  20.6680 	 -27.4339
-11.2820 	  51.3750 	 -19.5160 	 -3.9318
 35.9710 	 -29.8550 	  14.1570 	 -11.5785
 108.7630 	 -41.4250 	 -23.7040 	 -24.2838
 161.1390 	  42.8800 	 -13.2170 	 -12.7295
 148.8950 	 -29.7450 	 -4.6050 	 -19.0705
 2.7540 	  50.2640 	 -14.0020 	 -6.7494
 63.6700 	 -29.0700 	  0.2290 	 -19.0136
 91.4890 	  47.9540 	  0.8340 	 -22.3809
 100.3000 	  53.4780 	 -129.8050 	 -21.1659
 11.2090 	  54.6320 	 -76.0720 	 -8.7634
 98.2690 	  40.3760 	  3.4440 	 -24.4470
 133.2360 	  42.4030 	 -0.7300 	 -21.0198
-72.5440 	  22.9480 	  25.3760 	  14.5707
 83.0990 	 -45.4670 	 -23.9660 	 -22.1504
-179.1630 	 -59.4900 	 -35.9780 	 -6.7078
 88.2160 	 -55.5640 	 -84.4840 	 -20.2880
 10.3920 	  11.1640 	 -27.8510 	  0.8293
 14.8920 	  50.1220 	 -27.1440 	 -9.2839
 123.9070 	 -37.4380 	 -11.1520 	 -23.9507
-160.5090 	  33.1460 	  27.8210 	  4.8750
-159.9170 	  53.2070 	 -59.6910 	 -0.5469
-107.7240 	  49.8780 	  0.4970 	  9.8176
 84.5150 	  42.1890 	 -3.7630 	 -22.8668
 47.4730 	 -44.8150 	 -10.5100 	 -16.0436
-102.0380 	 -28.5690 	 -0.7510 	  19.4122
-73.6320 	 -27.1580 	  36.9310 	  14.3055
-51.4090 	  52.1610 	 -18.2880 	  3.8093
-9.6270 	 -32.6010 	  77.1510 	 -2.3686
-86.8100 	  33.0800 	  129.7930 	  15.6523
 33.8980 	  49.4580 	  4.9840 	 -13.2246
-1.2670 	 -31.0030 	  10.5200 	 -3.8873
-14.1020 	 -58.3670 	  38.6490 	 -4.2288
 106.6720 	 -34.6580 	 -6.7470 	 -25.9226
-98.7840 	 -40.9270 	 -8.6980 	  13.7832
-4.8210 	 -50.8650 	  29.6230 	 -5.2187
 4.5090 	 -48.4650 	  19.7820 	 -6.9686
 121.2330 	 -25.4240 	 -83.2430 	 -27.6760
 138.7030 	 -29.6440 	 -40.7210 	 -22.6633
 143.9810 	  28.0180 	 -46.7110 	 -21.3439
-130.9150 	  58.9080 	  9.1680 	  3.5511
-160.1960 	  29.4160 	 -15.1330 	  6.2318
-143.1100 	  24.6340 	  65.3470 	  15.8471
 174.3150 	  45.5960 	 -54.5230 	 -7.8360
-134.6270 	  43.5390 	  22.1780 	  9.3739
 136.6570 	  32.6780 	 -38.2280 	 -22.5274
 120.1740 	 -17.1260 	  11.4380 	 -31.3002
