data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -4.6410 	 -10.4388
-28.8570 	 -42.5230 	 -16.0410 	 -8.9382
 3.5310 	  28.4590 	  13.5300 	 -6.5682
 124.9140 	 -20.3400 	 -11.4140 	 -19.1153
-98.7700 	  24.8510 	 -5.9090 	  3.8253
 140.1430 	 -16.7670 	 -15.3720 	 -18.9656
 134.1590 	  49.7440 	 -12.6020 	 -16.5188
 133.9630 	 -28.7190 	 -0.3020 	 -17.2470
 114.0720 	 -36.2770 	 -5.6760 	 -17.2746
 92.1380 	 -25.3370 	 -7.8110 	 -14.5526
-82.8230 	 -35.4210 	 -0.8350 	 -2.2619
-21.8170 	 -26.7110 	  8.9480 	 -7.8632
-64.9270 	 -57.8270 	  3.3690 	 -8.8837
-161.5730 	  54.6250 	 -35.1110 	 -9.3399
 94.0020 	  27.4170 	 -79.4430 	 -15.1271
 174.4630 	 -56.1560 	 -11.2980 	 -12.5354
-98.9750 	 -41.3750 	 -11.6750 	 -2.2802
-99.3070 	 -40.9010 	  24.2230 	 -2.1297
 120.0260 	 -19.5090 	 -6.9200 	 -19.2754
 78.4260 	 -24.6980 	 -23.7030 	 -11.2969
 122.2790 	 -23.1810 	 -14.1710 	 -18.5282
-93.0130 	 -41.9960 	  1.0400 	 -2.9646
-21.4880 	 -56.6300 	 -1.2950 	 -11.0567
-85.6880 	 -27.3200 	 -7.4420 	  0.3774
 114.4160 	 -18.4210 	 -2.2340 	 -19.0408
 123.7490 	 -50.1750 	 -28.4220 	 -17.0290
 110.9650 	 -28.3520 	 -60.2760 	 -17.3604
-11.2820 	  51.3750 	 -4.5270 	 -10.7722
 35.9710 	 -29.8550 	 -0.8320 	 -6.5330
 108.7630 	 -41.4250 	 -11.7120 	 -17.1540
 161.1390 	  42.8800 	 -10.2190 	 -13.1983
 123.0930 	 -45.4390 	 -36.4200 	 -17.1725
 2.7540 	  50.2640 	  0.9880 	 -11.0684
 63.6700 	 -29.0700 	  0.2290 	 -9.5518
 91.4890 	  47.9540 	 -11.1580 	 -16.3257
 75.9890 	 -34.2220 	 -10.9930 	 -13.0436
 100.3000 	  53.4780 	 -27.8760 	 -16.8954
 11.2090 	  54.6320 	 -19.1110 	 -12.0677
 98.2690 	  40.3760 	 -23.5370 	 -16.4809
 133.2360 	  42.4030 	 -57.6900 	 -16.7673
-72.5440 	  22.9480 	 -13.5970 	 -1.8633
 83.0990 	 -45.4670 	 -14.9720 	 -15.5488
-179.1630 	 -59.4900 	 -17.9910 	 -12.2138
 10.3920 	  11.1640 	  11.1220 	  2.6170
 60.3420 	  42.9390 	  0.7490 	 -12.8772
 107.3180 	 -45.3260 	 -0.3700 	 -17.1144
 123.9070 	 -37.4380 	 -29.1390 	 -17.3329
 138.2790 	  31.0330 	 -26.8210 	 -16.6632
-160.5090 	  33.1460 	 -5.1560 	 -2.9297
 179.7860 	  51.7090 	 -3.2530 	 -11.2395
-159.9170 	  53.2070 	 -47.6990 	 -8.8101
-113.4990 	  40.7490 	 -14.6880 	 -1.4082
-107.7240 	  49.8780 	 -38.4760 	 -4.7415
-92.3690 	  52.7450 	 -21.3490 	 -6.1419
 120.5560 	  58.0480 	 -19.1950 	 -16.8599
-16.0220 	  47.2060 	 -2.4780 	 -10.0179
 84.5150 	  42.1890 	 -18.7530 	 -15.3592
 40.5380 	 -40.9560 	 -3.6510 	 -10.6317
 47.4730 	 -44.8150 	  10.4760 	 -12.1132
-155.0730 	 -41.7560 	  4.0680 	 -4.8701
-86.5340 	 -30.6110 	 -10.5690 	 -0.3863
-102.0380 	 -28.5690 	 -0.7510 	  2.7797
-73.6320 	 -27.1580 	 -5.0400 	 -2.1513
-51.4090 	  52.1610 	  29.6790 	 -8.7800
-9.6270 	 -32.6010 	  2.2030 	 -8.0044
-86.8100 	  33.0800 	  21.8670 	 -1.0378
-154.5160 	 -46.3250 	 -19.5490 	 -6.2062
 177.0830 	  39.9380 	  0.6990 	 -9.7811
 33.8980 	  49.4580 	 -7.0080 	 -12.1895
 38.4020 	 -43.3340 	  10.4620 	 -11.1002
-1.2670 	 -31.0030 	  28.5080 	 -7.4144
-14.1020 	 -58.3670 	  5.6720 	 -11.5947
 106.6720 	 -34.6580 	  5.2450 	 -16.9596
 117.0870 	 -31.5440 	 -8.4040 	 -17.5401
-98.7840 	 -40.9270 	 -2.7020 	 -2.1753
-4.8210 	 -50.8650 	 -0.3560 	 -10.9191
 4.5090 	 -48.4650 	 -7.1990 	 -10.8195
-46.7080 	 -44.8370 	  3.6230 	 -8.0807
 121.2330 	 -25.4240 	 -23.2850 	 -18.1631
 122.7960 	 -27.2600 	 -30.0210 	 -17.9468
 128.7830 	 -23.9550 	 -28.0890 	 -18.2400
 138.7030 	 -29.6440 	 -28.7300 	 -16.6438
 143.9810 	  28.0180 	 -34.7190 	 -15.9941
-121.4730 	  42.7860 	 -17.2600 	 -2.2095
-130.9150 	  58.9080 	 -29.8050 	 -7.9582
-160.1960 	  29.4160 	 -6.1390 	 -1.4889
-143.1100 	  24.6340 	  2.3910 	  4.5857
 174.3150 	  45.5960 	 -9.5540 	 -11.2035
-134.6270 	  43.5390 	 -4.8030 	 -3.1246
 136.6570 	  32.6780 	 -8.2490 	 -16.7591
 120.1740 	 -17.1260 	 -3.5510 	 -20.0486
