data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -7.6380 	 -12.1500
-28.8570 	 -42.5230 	  28.9280 	  1.4416
 3.5310 	  28.4590 	 -10.4540 	 -5.4438
-94.3410 	  23.5930 	 -20.6060 	  18.0508
 124.9140 	 -20.3400 	 -20.4080 	 -23.5245
-98.7700 	  24.8510 	 -17.9010 	  17.7194
-125.8390 	  44.6220 	  64.2680 	  7.7105
 140.1430 	 -16.7670 	 -27.3640 	 -20.0558
 134.1590 	  49.7440 	 -27.5920 	 -18.3642
 133.9630 	 -28.7190 	 -6.2980 	 -20.7444
 114.0720 	 -36.2770 	 -2.6780 	 -23.4533
 92.1380 	 -25.3370 	 -7.8110 	 -25.2418
-82.8230 	 -35.4210 	  29.1450 	  13.3143
-21.8170 	 -26.7110 	 -0.0460 	  2.4173
-64.9270 	 -57.8270 	 -5.6250 	  3.2518
-161.5730 	  54.6250 	 -32.1130 	 -2.9707
 174.4630 	 -56.1560 	 -26.2880 	 -8.9541
-98.9750 	 -41.3750 	 -11.6750 	  11.5146
-99.3070 	 -40.9010 	  33.2170 	  11.6878
 120.0260 	 -19.5090 	 -24.9080 	 -24.3985
 122.2790 	 -23.1810 	 -8.1750 	 -23.7195
-93.0130 	 -41.9960 	 -43.9290 	  11.3032
-21.4880 	 -56.6300 	  1.7030 	 -3.1966
-85.6880 	 -27.3200 	 -4.4450 	  16.2798
 114.4160 	 -18.4210 	 -26.2180 	 -25.2466
 123.7490 	 -50.1750 	 -40.4140 	 -19.9757
 110.9650 	 -28.3520 	 -24.3010 	 -24.6519
-11.2820 	  51.3750 	 -25.5120 	 -4.5021
 35.9710 	 -29.8550 	 -0.8320 	 -15.0900
 108.7630 	 -41.4250 	  3.2770 	 -23.1730
 161.1390 	  42.8800 	  1.7730 	 -12.2330
 123.0930 	 -45.4390 	  5.5510 	 -20.9225
 148.8950 	 -29.7450 	  19.3790 	 -16.2979
 2.7540 	  50.2640 	 -14.0020 	 -7.7294
 63.6700 	 -29.0700 	  6.2250 	 -21.5775
 91.4890 	  47.9540 	 -104.0940 	 -22.4824
 75.9890 	 -34.2220 	 -40.9730 	 -23.3800
 100.3000 	  53.4780 	 -90.8320 	 -21.2125
 11.2090 	  54.6320 	 -34.1010 	 -9.9653
 98.2690 	  40.3760 	 -8.5480 	 -23.8033
 133.2360 	  42.4030 	 -54.6920 	 -19.5637
-72.5440 	  22.9480 	  25.3760 	  15.7818
 83.0990 	 -45.4670 	 -26.9640 	 -22.6799
-179.1630 	 -59.4900 	 -23.9860 	 -7.7290
 88.2160 	 -55.5640 	  38.4310 	 -20.7728
 10.3920 	  11.1640 	 -12.8610 	 -4.0720
 14.8920 	  50.1220 	 -12.1550 	 -10.6397
 60.3420 	  42.9390 	 -20.2360 	 -20.4764
 107.3180 	 -45.3260 	 -18.3570 	 -22.6277
 123.9070 	 -37.4380 	 -41.1310 	 -21.9120
 138.2790 	  31.0330 	 -71.7900 	 -19.4632
-160.5090 	  33.1460 	 -14.1500 	  2.2514
 179.7860 	  51.7090 	 -57.2150 	 -7.2643
-159.9170 	  53.2070 	 -77.6780 	 -2.2744
-113.4990 	  40.7490 	  21.2870 	  10.8507
-92.3690 	  52.7450 	  23.6200 	  6.8590
 120.5560 	  58.0480 	  22.7760 	 -18.7148
 84.5150 	  42.1890 	 -30.7450 	 -23.2714
 40.5380 	 -40.9560 	  47.3130 	 -16.6637
 47.4730 	 -44.8150 	 -13.5080 	 -18.0012
-155.0730 	 -41.7560 	 -1.9280 	  1.8486
-86.5340 	 -30.6110 	 -4.5730 	  15.2659
-102.0380 	 -28.5690 	  2.2470 	  16.3664
-73.6320 	 -27.1580 	  84.8980 	  14.8824
-51.4090 	  52.1610 	 -3.2980 	  3.5082
-9.6270 	 -32.6010 	  80.1490 	 -2.0892
-86.8100 	  33.0800 	  84.8240 	  14.4062
-154.5160 	 -46.3250 	 -7.5570 	  0.7878
 33.8980 	  49.4580 	 -19.0000 	 -14.9545
-138.0210 	 -34.6500 	  10.8700 	  8.7964
-1.2670 	 -31.0030 	  46.4950 	 -4.3494
-14.1020 	 -58.3670 	  5.6720 	 -4.9787
 106.6720 	 -34.6580 	 -6.7470 	 -24.3007
 117.0870 	 -31.5440 	 -20.3960 	 -23.6385
-98.7840 	 -40.9270 	 -2.7020 	  11.6890
-4.8210 	 -50.8650 	  62.6010 	 -5.9644
 4.5090 	 -48.4650 	  58.7550 	 -8.0034
-46.7080 	 -44.8370 	  12.6170 	  4.8989
 121.2330 	 -25.4240 	 -23.2850 	 -23.6922
 122.7960 	 -27.2600 	 -18.0300 	 -23.1994
 128.7830 	 -23.9550 	 -43.0780 	 -22.3142
 138.7030 	 -29.6440 	 -28.7300 	 -19.3646
 143.9810 	  28.0180 	 -64.6990 	 -18.0123
-121.4730 	  42.7860 	  72.6780 	  9.0482
-160.1960 	  29.4160 	  5.8530 	  3.3358
-143.1100 	  24.6340 	  2.3910 	  10.8047
 174.3150 	  45.5960 	 -6.5560 	 -8.3146
-134.6270 	  43.5390 	 -103.7350 	  6.4571
-126.6300 	  43.4830 	  45.9230 	  7.9865
 136.6570 	  32.6780 	 -38.2280 	 -19.7810
 163.8950 	  48.5290 	 -45.8890 	 -11.4616
 120.1740 	 -17.1260 	 -6.5490 	 -24.6606
