data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	  1.3550 	 -2.7381
-28.8570 	 -42.5230 	  37.9210 	  4.6269
 3.5310 	  28.4590 	 -19.4480 	  0.0365
-94.3410 	  23.5930 	 -26.6010 	  19.0186
 124.9140 	 -20.3400 	 -53.3850 	 -21.6989
-98.7700 	  24.8510 	  51.0510 	  19.4432
-125.8390 	  44.6220 	 -34.6630 	  13.3072
 140.1430 	 -16.7670 	 -24.3660 	 -20.5126
 134.1590 	  49.7440 	 -30.5890 	 -9.8467
 133.9630 	 -28.7190 	 -33.2800 	 -16.4279
 114.0720 	 -36.2770 	 -8.6740 	 -16.0199
 92.1380 	 -25.3370 	  13.1740 	 -17.6354
-82.8230 	 -35.4210 	  11.1570 	  14.6479
-21.8170 	 -26.7110 	 -0.0460 	  1.8825
-64.9270 	 -57.8270 	  6.3670 	  8.5853
-161.5730 	  54.6250 	  36.8390 	  4.6487
 94.0020 	  27.4170 	  25.4850 	 -17.4538
 174.4630 	 -56.1560 	 -20.2920 	 -0.7114
-98.9750 	 -41.3750 	 -8.6770 	  15.1031
-99.3070 	 -40.9010 	 -17.7480 	  15.2436
 120.0260 	 -19.5090 	 -12.9160 	 -22.5846
 78.4260 	 -24.6980 	  33.2570 	 -14.4122
 122.2790 	 -23.1810 	  3.8160 	 -20.5147
-93.0130 	 -41.9960 	 -49.9240 	  14.5573
-21.4880 	 -56.6300 	 -4.2930 	  3.3860
-85.6880 	 -27.3200 	  43.5220 	  16.4345
 114.4160 	 -18.4210 	 -44.2050 	 -23.2938
 123.7490 	 -50.1750 	 -7.4370 	 -10.9720
 110.9650 	 -28.3520 	 -27.2990 	 -18.7417
-11.2820 	  51.3750 	 -58.4890 	  2.0692
 35.9710 	 -29.8550 	 -0.8320 	 -4.0652
 108.7630 	 -41.4250 	  27.2610 	 -14.5044
 161.1390 	  42.8800 	  4.7710 	 -5.4563
 123.0930 	 -45.4390 	 -36.4200 	 -12.4881
 148.8950 	 -29.7450 	  22.3770 	 -12.1042
 2.7540 	  50.2640 	 -19.9980 	  0.0778
 63.6700 	 -29.0700 	  9.2220 	 -10.3241
 91.4890 	  47.9540 	 -11.1580 	 -12.1044
 75.9890 	 -34.2220 	  6.9940 	 -12.8903
 100.3000 	  53.4780 	 -63.8510 	 -10.8710
 11.2090 	  54.6320 	 -37.0990 	 -1.0428
 98.2690 	  40.3760 	 -11.5460 	 -14.5340
 133.2360 	  42.4030 	 -36.7050 	 -12.1075
-72.5440 	  22.9480 	  10.3860 	  13.1895
 83.0990 	 -45.4670 	  38.9910 	 -11.9982
-179.1630 	 -59.4900 	 -35.9780 	  0.6887
 88.2160 	 -55.5640 	  29.4370 	 -9.8931
 10.3920 	  11.1640 	  2.1280 	  5.8718
 14.8920 	  50.1220 	 -33.1400 	 -1.6556
 60.3420 	  42.9390 	 -17.2380 	 -9.1504
 107.3180 	 -45.3260 	 -24.3530 	 -13.3300
 123.9070 	 -37.4380 	 -8.1540 	 -14.9430
 138.2790 	  31.0330 	 -32.8170 	 -14.6598
-160.5090 	  33.1460 	  0.8400 	  7.9492
 179.7860 	  51.7090 	 -3.2530 	  0.4236
-159.9170 	  53.2070 	  12.2600 	  5.1909
-113.4990 	  40.7490 	  3.2990 	  15.4070
-107.7240 	  49.8780 	  6.4920 	  12.8751
-92.3690 	  52.7450 	  17.6240 	  11.8302
 120.5560 	  58.0480 	  19.7780 	 -8.8380
-16.0220 	  47.2060 	 -26.4620 	  2.7496
 84.5150 	  42.1890 	 -36.7410 	 -12.8613
 40.5380 	 -40.9560 	  44.3160 	 -5.7404
 47.4730 	 -44.8150 	 -7.5120 	 -6.8461
-155.0730 	 -41.7560 	 -7.9240 	  8.1965
-86.5340 	 -30.6110 	  82.3660 	  16.0688
-102.0380 	 -28.5690 	 -9.7450 	  18.7518
-73.6320 	 -27.1580 	  108.8810 	  13.5036
-51.4090 	  52.1610 	  8.6930 	  7.7935
-9.6270 	 -32.6010 	  83.1470 	  1.3451
-86.8100 	  33.0800 	  93.8170 	  15.6880
-154.5160 	 -46.3250 	 -1.5610 	  7.5279
 177.0830 	  39.9380 	 -104.2280 	 -0.6152
 33.8980 	  49.4580 	 -19.0000 	 -4.4783
 38.4020 	 -43.3340 	  7.4640 	 -5.3681
-138.0210 	 -34.6500 	  4.8740 	  14.2423
-1.2670 	 -31.0030 	  37.5020 	  0.4308
-14.1020 	 -58.3670 	  38.6490 	  2.3562
 106.6720 	 -34.6580 	 -18.7380 	 -16.5598
 117.0870 	 -31.5440 	 -8.4040 	 -17.4960
-98.7840 	 -40.9270 	  15.2850 	  15.2095
-4.8210 	 -50.8650 	  38.6170 	  1.1536
 4.5090 	 -48.4650 	  49.7610 	 -0.1865
-46.7080 	 -44.8370 	  24.6090 	  7.5758
 121.2330 	 -25.4240 	 -47.2680 	 -19.5949
 122.7960 	 -27.2600 	 -60.0010 	 -18.6964
 128.7830 	 -23.9550 	 -31.0870 	 -19.3420
 138.7030 	 -29.6440 	 -10.7420 	 -15.0320
 143.9810 	  28.0180 	  16.2450 	 -14.1673
-121.4730 	  42.7860 	 -8.2660 	  14.2940
-130.9150 	  58.9080 	  21.1590 	  8.7162
-160.1960 	  29.4160 	  2.8550 	  8.7220
-143.1100 	  24.6340 	  20.3780 	  16.1599
-135.2470 	  28.3670 	 -3.2370 	  16.8665
 174.3150 	  45.5960 	 -9.5540 	 -1.2632
-134.6270 	  43.5390 	  52.1570 	  12.3830
-126.6300 	  43.4830 	  42.9250 	  13.5487
 136.6570 	  32.6780 	 -20.2410 	 -14.4778
