data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -4.6410 	 -10.4268
-28.8570 	 -42.5230 	 -16.0410 	 -9.1216
 3.5310 	  28.4590 	  13.5300 	 -6.5776
 124.9140 	 -20.3400 	 -11.4140 	 -18.7805
-98.7700 	  24.8510 	 -5.9090 	  3.7575
 140.1430 	 -16.7670 	 -15.3720 	 -18.3185
 134.1590 	  49.7440 	 -12.6020 	 -16.4562
 133.9630 	 -28.7190 	 -0.3020 	 -16.9917
 114.0720 	 -36.2770 	 -5.6760 	 -17.2051
 92.1380 	 -25.3370 	 -7.8110 	 -14.6356
-82.8230 	 -35.4210 	 -0.8350 	 -2.4129
-21.8170 	 -26.7110 	  8.9480 	 -8.1420
-64.9270 	 -57.8270 	  3.3690 	 -9.0792
-161.5730 	  54.6250 	 -35.1110 	 -9.4929
 94.0020 	  27.4170 	 -79.4430 	 -15.1296
 174.4630 	 -56.1560 	 -11.2980 	 -12.6086
-98.9750 	 -41.3750 	 -11.6750 	 -2.5142
-99.3070 	 -40.9010 	  24.2230 	 -2.3305
 120.0260 	 -19.5090 	 -6.9200 	 -18.9618
 78.4260 	 -24.6980 	 -23.7030 	 -11.4634
 122.2790 	 -23.1810 	 -14.1710 	 -18.2235
-93.0130 	 -41.9960 	  1.0400 	 -3.1776
-21.4880 	 -56.6300 	 -1.2950 	 -11.2009
-85.6880 	 -27.3200 	 -7.4420 	  0.3493
 114.4160 	 -18.4210 	 -2.2340 	 -18.8942
 123.7490 	 -50.1750 	 -28.4220 	 -16.9429
 110.9650 	 -28.3520 	 -60.2760 	 -17.2533
-11.2820 	  51.3750 	 -4.5270 	 -10.8931
 35.9710 	 -29.8550 	 -0.8320 	 -6.4116
 108.7630 	 -41.4250 	 -11.7120 	 -17.0331
 161.1390 	  42.8800 	 -10.2190 	 -13.1799
 123.0930 	 -45.4390 	 -36.4200 	 -17.0424
 2.7540 	  50.2640 	  0.9880 	 -11.1447
 63.6700 	 -29.0700 	  0.2290 	 -9.5847
 91.4890 	  47.9540 	 -11.1580 	 -16.3072
 75.9890 	 -34.2220 	 -10.9930 	 -13.0473
 100.3000 	  53.4780 	 -27.8760 	 -16.8517
 11.2090 	  54.6320 	 -19.1110 	 -12.1265
 98.2690 	  40.3760 	 -23.5370 	 -16.4163
 133.2360 	  42.4030 	 -57.6900 	 -16.5959
-72.5440 	  22.9480 	 -13.5970 	 -1.7245
 83.0990 	 -45.4670 	 -14.9720 	 -15.4921
-179.1630 	 -59.4900 	 -17.9910 	 -12.3117
 10.3920 	  11.1640 	  11.1220 	  4.2601
 60.3420 	  42.9390 	  0.7490 	 -12.8410
 107.3180 	 -45.3260 	 -0.3700 	 -17.0142
 123.9070 	 -37.4380 	 -29.1390 	 -17.1662
 138.2790 	  31.0330 	 -26.8210 	 -16.3952
-160.5090 	  33.1460 	 -5.1560 	 -3.1931
 179.7860 	  51.7090 	 -3.2530 	 -11.3253
-159.9170 	  53.2070 	 -47.6990 	 -8.9695
-113.4990 	  40.7490 	 -14.6880 	 -1.6304
-107.7240 	  49.8780 	 -38.4760 	 -4.9749
-92.3690 	  52.7450 	 -21.3490 	 -6.3737
 120.5560 	  58.0480 	 -19.1950 	 -16.8273
-16.0220 	  47.2060 	 -2.4780 	 -10.1624
 84.5150 	  42.1890 	 -18.7530 	 -15.3040
 40.5380 	 -40.9560 	 -3.6510 	 -10.5771
 47.4730 	 -44.8150 	  10.4760 	 -12.0746
-155.0730 	 -41.7560 	  4.0680 	 -5.0892
-86.5340 	 -30.6110 	 -10.5690 	 -0.4836
-102.0380 	 -28.5690 	 -0.7510 	  2.6031
-73.6320 	 -27.1580 	 -5.0400 	 -2.1490
-51.4090 	  52.1610 	  29.6790 	 -8.9713
-9.6270 	 -32.6010 	  2.2030 	 -8.1414
-86.8100 	  33.0800 	  21.8670 	 -1.1752
-154.5160 	 -46.3250 	 -19.5490 	 -6.4310
 177.0830 	  39.9380 	  0.6990 	 -9.8348
 33.8980 	  49.4580 	 -7.0080 	 -12.1772
 38.4020 	 -43.3340 	  10.4620 	 -11.0603
-1.2670 	 -31.0030 	  28.5080 	 -7.4836
-14.1020 	 -58.3670 	  5.6720 	 -11.7219
 106.6720 	 -34.6580 	  5.2450 	 -16.8673
 117.0870 	 -31.5440 	 -8.4040 	 -17.3939
-98.7840 	 -40.9270 	 -2.7020 	 -2.3768
-4.8210 	 -50.8650 	 -0.3560 	 -11.0211
 4.5090 	 -48.4650 	 -7.1990 	 -10.8852
-46.7080 	 -44.8370 	  3.6230 	 -8.2752
 121.2330 	 -25.4240 	 -23.2850 	 -17.9066
 122.7960 	 -27.2600 	 -30.0210 	 -17.7094
 128.7830 	 -23.9550 	 -28.0890 	 -17.9164
 138.7030 	 -29.6440 	 -28.7300 	 -16.4136
 143.9810 	  28.0180 	 -34.7190 	 -15.7410
-121.4730 	  42.7860 	 -17.2600 	 -2.4291
-130.9150 	  58.9080 	 -29.8050 	 -8.1901
-160.1960 	  29.4160 	 -6.1390 	 -1.7574
-143.1100 	  24.6340 	  2.3910 	  4.1440
 174.3150 	  45.5960 	 -9.5540 	 -11.2533
-134.6270 	  43.5390 	 -4.8030 	 -3.3446
 136.6570 	  32.6780 	 -8.2490 	 -16.5066
 120.1740 	 -17.1260 	 -3.5510 	 -19.7372
